variante,mult,low_win,range_win,bottom,k,total_x,cagr,vol,sharpe,max_dd,days,rotations,exces_log_an,sharpe_exces,a_priori
mult=3 low=14 range=90 bottom=0.1 k=2,3.0,14,90,0.1,2,2.3273079136977395,0.3701682696630746,1.2532856905387744,0.8430411943623334,-0.9131950873830433,979,0,0.3981088653750241,0.7197345826792307,False
mult=3 low=14 range=90 bottom=0.1 k=3,3.0,14,90,0.1,3,1.754852592619969,0.23327547797890102,1.167326549846552,0.7368589352078092,-0.9088822095203877,979,0,0.2928489286406556,0.5942632640799831,False
mult=3 low=14 range=90 bottom=0.2 k=1,3.0,14,90,0.2,1,3.8187805453142376,0.648005465261349,1.3207346439990406,0.9982694185042039,-0.9123133483308926,979,0,0.5827410562868642,0.8832837130470733,False
mult=3 low=14 range=90 bottom=0.2 k=2,3.0,14,90,0.2,2,2.3273079136977395,0.3701682696630746,1.2532856905387744,0.8430411943623334,-0.9131950873830433,979,0,0.3981088653750241,0.7197345826792307,False
mult=3 low=14 range=90 bottom=0.2 k=3,3.0,14,90,0.2,3,1.754852592619969,0.23327547797890102,1.167326549846552,0.7368589352078092,-0.9088822095203877,979,0,0.2928489286406556,0.5942632640799831,False
mult=3 low=14 range=90 bottom=0.3 k=1,3.0,14,90,0.3,1,3.8187805453142376,0.648005465261349,1.3207346439990406,0.9982694185042039,-0.9123133483308926,979,0,0.5827410562868642,0.8832837130470733,False
mult=3 low=14 range=90 bottom=0.3 k=2,3.0,14,90,0.3,2,2.3273079136977395,0.3701682696630746,1.2532856905387744,0.8430411943623334,-0.9131950873830433,979,0,0.3981088653750241,0.7197345826792307,False
mult=3 low=14 range=90 bottom=0.3 k=3,3.0,14,90,0.3,3,1.754852592619969,0.23327547797890102,1.167326549846552,0.7368589352078092,-0.9088822095203877,979,0,0.2928489286406556,0.5942632640799831,False
mult=3 low=30 range=30 bottom=0.1 k=1,3.0,30,30,0.1,1,0.14853666294984721,-0.5088261616824215,1.3805141259180373,0.1470005189046796,-0.9872248290294622,979,1,-0.6277818558160025,-0.7332541643531176,False
mult=3 low=30 range=30 bottom=0.1 k=2,3.0,30,30,0.1,2,5.11382581388749,0.8375591718334803,1.7076816168755362,1.062447727143192,-0.8993176712421105,979,4,0.6916134624504494,0.6611768573279799,False
mult=3 low=30 range=30 bottom=0.1 k=3,3.0,30,30,0.1,3,3.4178912373724266,0.5812508550357904,1.6703579847304706,0.9645988240015053,-0.9099253743167396,979,4,0.5413915227333645,0.5339362781433034,False
mult=3 low=30 range=30 bottom=0.2 k=1,3.0,30,30,0.2,1,0.8076761149409784,-0.07654589934394107,1.7088739705513787,0.7541050062933778,-0.964570697124359,979,2,0.0035411264183080227,0.003021517712677569,False
mult=3 low=30 range=30 bottom=0.2 k=2,3.0,30,30,0.2,2,0.8789108549448694,-0.046982264307310895,1.393757996270639,0.6484179826563838,-0.9433294014708741,979,5,0.035053543385193876,0.04075453740702745,False
mult=3 low=30 range=30 bottom=0.2 k=3,3.0,30,30,0.2,3,0.5946145980773221,-0.17618749892248375,1.339878990696055,0.5166018529923112,-0.9502190279773446,979,5,-0.11063701369576949,-0.1360903942076815,False
mult=3 low=30 range=30 bottom=0.3 k=1,3.0,30,30,0.3,1,0.8247346613781404,-0.06932191082550421,1.7087264747594402,0.7585634857634168,-0.963822411521801,979,2,0.011333478130717077,0.009672577701576075,False
mult=3 low=30 range=30 bottom=0.3 k=2,3.0,30,30,0.3,2,0.8874401281634487,-0.04354461436331414,1.393767772907252,0.651095951425557,-0.9427229921110256,979,5,0.03865417396706234,0.04494955451726678,False
mult=3 low=30 range=30 bottom=0.3 k=3,3.0,30,30,0.3,3,0.6003007802230373,-0.17325912733337567,1.3400516360874681,0.5194414684466879,-0.9497022294117567,979,5,-0.10708865869163184,-0.13172386513729065,False
mult=3 low=30 range=60 bottom=0.1 k=1,3.0,30,60,0.1,1,0.026022084342211437,-0.7434376585727465,1.2872064971323145,-0.45010324337933383,-0.9913936660088337,979,0,-1.277208288896593,-1.662804803529828,False
mult=3 low=30 range=60 bottom=0.1 k=2,3.0,30,60,0.1,2,0.433253473293007,-0.2679061625047183,1.5442002555712744,0.5377233731254346,-0.9655799992185472,979,2,-0.22867127143159877,-0.2226915523987086,False
mult=3 low=30 range=60 bottom=0.1 k=3,3.0,30,60,0.1,3,0.5674474095557553,-0.19042659786920912,1.1984351059014113,0.40703633024108427,-0.9390501175162201,979,2,-0.12807252558220722,-0.2362131203838909,False
mult=3 low=30 range=60 bottom=0.2 k=1,3.0,30,60,0.2,1,0.026022084342211437,-0.7434376585727465,1.2872064971323145,-0.45010324337933383,-0.9913936660088337,979,0,-1.277208288896593,-1.662804803529828,False
mult=3 low=30 range=60 bottom=0.2 k=2,3.0,30,60,0.2,2,0.4168490996415977,-0.2783660737607381,1.540449931310757,0.5262486724942144,-0.9668495724166856,979,2,-0.24306198753487485,-0.23745539677092106,True
mult=3 low=30 range=60 bottom=0.2 k=3,3.0,30,60,0.2,3,0.3248147586024507,-0.34245808442351755,1.3611602248123191,0.3520266868120002,-0.9750809976933051,979,3,-0.33607145853022585,-0.4005767623189115,False
mult=3 low=30 range=60 bottom=0.3 k=1,3.0,30,60,0.3,1,0.026022084342211437,-0.7434376585727465,1.2872064971323145,-0.45010324337933383,-0.9913936660088337,979,0,-1.277208288896593,-1.662804803529828,False
mult=3 low=30 range=60 bottom=0.3 k=2,3.0,30,60,0.3,2,0.4168490996415977,-0.2783660737607381,1.540449931310757,0.5262486724942144,-0.9668495724166856,979,2,-0.24306198753487485,-0.23745539677092106,False
mult=3 low=30 range=60 bottom=0.3 k=3,3.0,30,60,0.3,3,0.3256734672744402,-0.34181051842560006,1.3601562652936792,0.3521190510837211,-0.9749673842528053,979,3,-0.3350871146867829,-0.40003899675305604,False
mult=3 low=30 range=90 bottom=0.1 k=1,3.0,30,90,0.1,1,0.8404848622438011,-0.06273472933027868,1.7089216121057602,0.7629749337093817,-0.963131517453623,979,2,0.018386378066060867,0.015697462790676242,False
mult=3 low=30 range=90 bottom=0.1 k=2,3.0,30,90,0.1,2,0.8381600721625284,-0.06370212390326457,1.242363306596231,0.544005540696791,-0.9329590653159785,979,2,0.01735369906548825,0.03019442753944038,False
mult=3 low=30 range=90 bottom=0.1 k=3,3.0,30,90,0.1,3,0.7620873649298239,-0.09633408035850444,1.107100221020714,0.4440562225615672,-0.92224341388395,979,2,-0.01812023630629647,-0.037911936521793824,False
mult=3 low=30 range=90 bottom=0.2 k=1,3.0,30,90,0.2,1,0.7740414681821689,-0.09107503551151763,1.7110141501110763,0.7462015349042036,-0.9660461054781397,979,2,-0.012317427023553875,-0.010516775107516958,False
mult=3 low=30 range=90 bottom=0.2 k=2,3.0,30,90,0.2,2,0.45868183536115104,-0.2521723043285613,1.4262426271313453,0.4799436325908919,-0.9740027635557792,979,3,-0.2074073724177817,-0.23136996793983158,False
mult=3 low=30 range=90 bottom=0.2 k=3,3.0,30,90,0.2,3,0.5091018737289039,-0.22252189884988427,1.1249939107409064,0.3205124155385318,-0.9510507368931964,979,3,-0.1685244925430124,-0.27897552678197596,False
mult=3 low=30 range=90 bottom=0.3 k=1,3.0,30,90,0.3,1,0.8076761149409784,-0.07654589934394107,1.7088739705513787,0.7541050062933778,-0.964570697124359,979,2,0.0035411264183080227,0.003021517712677569,False
mult=3 low=30 range=90 bottom=0.3 k=2,3.0,30,90,0.3,2,0.47941179803119455,-0.2397458192637142,1.4229004447312128,0.48921700994624273,-0.9727942454921014,979,3,-0.1909271447741972,-0.21298166256557263,False
mult=3 low=30 range=90 bottom=0.3 k=3,3.0,30,90,0.3,3,0.522921848842262,-0.2147192498000956,1.1276741793395768,0.33101810152055683,-0.949815088309552,979,3,-0.15853867306646413,-0.25994583087677575,False
mult=4 low=14 range=30 bottom=0.1 k=1,4.0,14,30,0.1,1,3.8187805453142376,0.648005465261349,1.3207346439990406,0.9982694185042039,-0.9123133483308926,979,0,0.5827410562868642,0.8832837130470733,False
mult=4 low=14 range=30 bottom=0.1 k=2,4.0,14,30,0.1,2,2.068293914701102,0.3112017885640017,1.2391148145889914,0.8142773603872769,-0.9117679683785994,979,0,0.3541194210187807,0.6189143694448767,False
mult=4 low=14 range=30 bottom=0.1 k=3,4.0,14,30,0.1,3,1.3875366379148142,0.12988155513056387,1.2029403371298464,0.6837558002596597,-0.9131863609695088,979,0,0.20528811726760252,0.38112132689638284,False
mult=4 low=14 range=30 bottom=0.2 k=1,4.0,14,30,0.2,1,3.8187805453142376,0.648005465261349,1.3207346439990406,0.9982694185042039,-0.9123133483308926,979,0,0.5827410562868642,0.8832837130470733,False
mult=4 low=14 range=30 bottom=0.2 k=2,4.0,14,30,0.2,2,2.068293914701102,0.3112017885640017,1.2391148145889914,0.8142773603872769,-0.9117679683785994,979,0,0.3541194210187807,0.6189143694448767,False
mult=4 low=14 range=30 bottom=0.2 k=3,4.0,14,30,0.2,3,1.3875366379148142,0.12988155513056387,1.2029403371298464,0.6837558002596597,-0.9131863609695088,979,0,0.20528811726760252,0.38112132689638284,False
mult=4 low=14 range=30 bottom=0.3 k=1,4.0,14,30,0.3,1,3.8187805453142376,0.648005465261349,1.3207346439990406,0.9982694185042039,-0.9123133483308926,979,0,0.5827410562868642,0.8832837130470733,False
mult=4 low=14 range=30 bottom=0.3 k=2,4.0,14,30,0.3,2,2.068293914701102,0.3112017885640017,1.2391148145889914,0.8142773603872769,-0.9117679683785994,979,0,0.3541194210187807,0.6189143694448767,False
mult=4 low=14 range=30 bottom=0.3 k=3,4.0,14,30,0.3,3,1.3875366379148142,0.12988155513056387,1.2029403371298464,0.6837558002596597,-0.9131863609695088,979,0,0.20528811726760252,0.38112132689638284,False
mult=4 low=14 range=60 bottom=0.1 k=1,4.0,14,60,0.1,1,0.026022084342211437,-0.7434376585727465,1.2872064971323145,-0.45010324337933383,-0.9913936660088337,979,0,-1.277208288896593,-1.662804803529828,False
mult=4 low=14 range=60 bottom=0.1 k=2,4.0,14,60,0.1,2,1.9224013148282184,0.27592578377951327,1.2492891182243004,0.7914081275970788,-0.9137862298548757,979,0,0.32684732855457826,0.5444433695712262,False
mult=4 low=14 range=60 bottom=0.1 k=3,4.0,14,60,0.1,3,1.560212637245893,0.18038749625720718,1.2126055583030895,0.7162628758281085,-0.9144137482414348,979,0,0.24901807973484974,0.47632803990288786,False
mult=4 low=14 range=60 bottom=0.2 k=1,4.0,14,60,0.2,1,0.026022084342211437,-0.7434376585727465,1.2872064971323145,-0.45010324337933383,-0.9913936660088337,979,0,-1.277208288896593,-1.662804803529828,False
mult=4 low=14 range=60 bottom=0.2 k=2,4.0,14,60,0.2,2,1.9224013148282184,0.27592578377951327,1.2492891182243004,0.7914081275970788,-0.9137862298548757,979,0,0.32684732855457826,0.5444433695712262,False
mult=4 low=14 range=60 bottom=0.2 k=3,4.0,14,60,0.2,3,1.560212637245893,0.18038749625720718,1.2126055583030895,0.7162628758281085,-0.9144137482414348,979,0,0.24901807973484974,0.47632803990288786,False
mult=4 low=14 range=60 bottom=0.3 k=1,4.0,14,60,0.3,1,0.026022084342211437,-0.7434376585727465,1.2872064971323145,-0.45010324337933383,-0.9913936660088337,979,0,-1.277208288896593,-1.662804803529828,False
mult=4 low=14 range=60 bottom=0.3 k=2,4.0,14,60,0.3,2,1.9224013148282184,0.27592578377951327,1.2492891182243004,0.7914081275970788,-0.9137862298548757,979,0,0.32684732855457826,0.5444433695712262,False
mult=4 low=14 range=60 bottom=0.3 k=3,4.0,14,60,0.3,3,1.560212637245893,0.18038749625720718,1.2126055583030895,0.7162628758281085,-0.9144137482414348,979,0,0.24901807973484974,0.47632803990288786,False
