variante,trigger,mult,range_win,bottom,k,total_x,detenteur_x,rotations,exces_detenteur_log_an,sharpe_exces,bat_detenteur,bat_panier,a_priori
range mult=4 range=60 bottom=0.2 k=2,range,4.0,60,0.2,2,1.0315497977619348,1.9224013148282184,2,-0.23209106986427616,-0.20231477021775252,False,True,False
range mult=4 range=60 bottom=0.2 k=3,range,4.0,60,0.2,3,0.7346152240160081,1.560212637245893,3,-0.28082650348535165,-0.29383207371940145,False,True,False
range mult=4 range=60 bottom=0.2 k=5,range,4.0,60,0.2,5,0.6263189813200806,1.1216774292580132,3,-0.21725543884061999,-0.39100699223283925,False,False,False
range mult=4 range=60 bottom=0.3 k=1,range,4.0,60,0.3,1,0.026022084342211437,0.026022084342211437,0,0.0,,False,False,False
range mult=4 range=60 bottom=0.3 k=2,range,4.0,60,0.3,2,1.0315497977619348,1.9224013148282184,2,-0.23209106986427616,-0.20231477021775252,False,True,False
range mult=4 range=60 bottom=0.3 k=3,range,4.0,60,0.3,3,0.7354739326879968,1.560212637245893,3,-0.2803909490985096,-0.29369637728238707,False,True,False
range mult=4 range=60 bottom=0.3 k=5,range,4.0,60,0.3,5,0.6268342065232777,1.1216774292580132,3,-0.2169488663876817,-0.39014160767199146,False,False,False
range mult=4 range=90 bottom=0.1 k=1,range,4.0,90,0.1,1,0.6908046412465937,3.8187805453142376,2,-0.637474683571051,-0.4989706704510797,False,False,False
range mult=4 range=90 bottom=0.1 k=2,range,4.0,90,0.1,2,0.4248356675497878,2.3273079136977395,3,-0.6340952423018636,-0.6446082149982382,False,False,False
range mult=4 range=90 bottom=0.1 k=3,range,4.0,90,0.1,3,0.4865377618546583,1.754852592619969,3,-0.47827512957416907,-0.6937660324330115,False,False,False
range mult=4 range=90 bottom=0.1 k=5,range,4.0,90,0.1,5,16.437814413564237,1.3303931633213066,8,0.9373341404905323,0.7858007182898952,True,True,False
range mult=4 range=90 bottom=0.2 k=1,range,4.0,90,0.2,1,0.636194014619226,3.8187805453142376,2,-0.6681784886606656,-0.5226402145950709,False,False,False
range mult=4 range=90 bottom=0.2 k=2,range,4.0,90,0.2,2,0.38975810857967863,2.3273079136977395,3,-0.6662242339310749,-0.6703461540735485,False,False,False
range mult=4 range=90 bottom=0.2 k=3,range,4.0,90,0.2,3,0.4631527225412541,1.754852592619969,3,-0.49663983578311083,-0.7239435297500328,False,False,False
range mult=4 range=90 bottom=0.2 k=5,range,4.0,90,0.2,5,0.6953220029447351,1.3303931633213066,5,-0.2419121338872103,-0.4241307480572124,False,False,False
range mult=4 range=90 bottom=0.3 k=1,range,4.0,90,0.3,1,0.6638387362929067,3.8187805453142376,2,-0.6523199352188048,-0.5099148448583178,False,False,False
range mult=4 range=90 bottom=0.3 k=2,range,4.0,90,0.3,2,0.40749310870715905,2.3273079136977395,3,-0.6496341789542713,-0.6533703395543166,False,False,False
range mult=4 range=90 bottom=0.3 k=3,range,4.0,90,0.3,3,0.47497605595957104,1.754852592619969,3,-0.4872417232241437,-0.7029634613964112,False,False,False
range mult=4 range=90 bottom=0.3 k=5,range,4.0,90,0.3,5,0.7117942984953722,1.3303931633213066,5,-0.23318273900483227,-0.402691904618474,False,True,False
entry mult=2 range=30 bottom=0.1 k=1,entry,2.0,30,0.1,1,0.14853666294984721,3.8187805453142376,1,-1.2105229121028667,-1.1486070165569864,False,False,False
entry mult=2 range=30 bottom=0.1 k=2,entry,2.0,30,0.1,2,0.23487676526088247,2.068293914701102,2,-0.8110599669754276,-0.6915452252835954,False,False,False
entry mult=2 range=30 bottom=0.1 k=3,entry,2.0,30,0.1,3,0.165258538287992,1.3875366379148142,2,-0.7932967805954503,-0.7276926780152607,False,False,False
entry mult=2 range=30 bottom=0.1 k=5,entry,2.0,30,0.1,5,0.3081816104634518,0.9687162600264554,4,-0.4269950069665755,-0.5845824456710162,False,False,False
entry mult=2 range=30 bottom=0.2 k=1,entry,2.0,30,0.2,1,0.9699289529659623,3.8187805453142376,1,-0.5109491450275679,-0.3292810228153601,False,True,False
entry mult=2 range=30 bottom=0.2 k=2,entry,2.0,30,0.2,2,0.5109369894548605,2.068293914701102,2,-0.521302423760761,-0.3758895987640992,False,False,False
entry mult=2 range=30 bottom=0.2 k=3,entry,2.0,30,0.2,3,0.34929868775064105,1.3875366379148142,2,-0.5142651863415206,-0.3945172980608714,False,False,False
entry mult=2 range=30 bottom=0.2 k=5,entry,2.0,30,0.2,5,0.41725941840065145,0.9687162600264554,4,-0.31402065388328776,-0.3924537081890377,False,False,False
entry mult=2 range=30 bottom=0.3 k=1,entry,2.0,30,0.3,1,0.990414365099424,3.8187805453142376,1,-0.5031567933151585,-0.3242877482292789,False,True,False
entry mult=2 range=30 bottom=0.3 k=2,entry,2.0,30,0.3,2,0.521179695521587,2.068293914701102,2,-0.513902276922654,-0.37011671316978256,False,False,False
entry mult=2 range=30 bottom=0.3 k=3,entry,2.0,30,0.3,3,0.3561271584617958,1.3875366379148142,2,-0.507047037774864,-0.38824648999171735,False,False,False
entry mult=2 range=30 bottom=0.3 k=5,entry,2.0,30,0.3,5,0.8205923643149844,0.9687162600264554,5,-0.061869280908786614,-0.08401094958091564,False,True,False
entry mult=2 range=60 bottom=0.1 k=1,entry,2.0,60,0.1,1,0.026022084342211437,0.026022084342211437,0,0.0,,False,False,False
entry mult=2 range=60 bottom=0.1 k=2,entry,2.0,60,0.1,2,0.5176753422163346,1.9224013148282184,1,-0.4891455131823181,-0.3436877005738768,False,False,False
entry mult=2 range=60 bottom=0.1 k=3,entry,2.0,60,0.1,3,0.3928058318551524,1.560212637245893,2,-0.5142294385851591,-0.4257520114347869,False,False,False
entry mult=2 range=60 bottom=0.1 k=5,entry,2.0,60,0.1,5,0.8550025232287215,1.1216774292580132,5,-0.10121428691516368,-0.17001645342820296,False,True,False
entry mult=2 range=60 bottom=0.2 k=1,entry,2.0,60,0.2,1,0.026022084342211437,0.026022084342211437,0,0.0,,False,False,False
entry mult=2 range=60 bottom=0.2 k=2,entry,2.0,60,0.2,2,0.49797551865408934,1.9224013148282184,1,-0.5036103165868235,-0.3544984972367168,False,False,False
entry mult=2 range=60 bottom=0.2 k=3,entry,2.0,60,0.2,3,0.3788990379441124,1.560212637245893,2,-0.5276683151652106,-0.4363246554152397,False,False,False
entry mult=2 range=60 bottom=0.2 k=5,entry,2.0,60,0.2,5,0.7259112762564088,1.1216774292580132,5,-0.1622377464992083,-0.26072808085593285,False,True,False
entry mult=2 range=60 bottom=0.3 k=1,entry,2.0,60,0.3,1,0.026022084342211437,0.026022084342211437,0,0.0,,False,False,False
entry mult=2 range=60 bottom=0.3 k=2,entry,2.0,60,0.3,2,0.03979416695844212,1.9224013148282184,1,-1.4456870882173594,-1.5948400532894798,False,False,False
entry mult=2 range=60 bottom=0.3 k=3,entry,2.0,60,0.3,3,0.3440283897692292,1.560212637245893,2,-0.5636633537260725,-0.43803382905816685,False,False,False
entry mult=2 range=60 bottom=0.3 k=5,entry,2.0,60,0.3,5,0.35175744375605644,1.1216774292580132,5,-0.43234741788398323,-0.5135041096146977,False,False,False
entry mult=2 range=90 bottom=0.1 k=1,entry,2.0,90,0.1,1,1.0093286000904529,3.8187805453142376,1,-0.49610389337981475,-0.3200025207006963,False,True,False
entry mult=2 range=90 bottom=0.1 k=2,entry,2.0,90,0.1,2,0.5840976469717183,2.3273079136977395,2,-0.5153991276971408,-0.4119282829218943,False,False,False
entry mult=2 range=90 bottom=0.1 k=3,entry,2.0,90,0.1,3,0.7079469192657682,1.754852592619969,4,-0.3384437414055484,-0.34711343015225704,False,True,False
entry mult=2 range=90 bottom=0.1 k=5,entry,2.0,90,0.1,5,1.3754610018776303,1.3303931633213066,6,0.012420602877391109,0.01416463726615266,True,True,False
entry mult=2 range=90 bottom=0.2 k=1,entry,2.0,90,0.2,1,0.9295374926879362,3.8187805453142376,1,-0.5268076984694293,-0.3396454233214083,False,True,False
entry mult=2 range=90 bottom=0.2 k=2,entry,2.0,90,0.2,2,0.5364298476140323,2.3273079136977395,2,-0.5471389827655747,-0.43412839084118193,False,False,False
entry mult=2 range=90 bottom=0.2 k=3,entry,2.0,90,0.2,3,0.426801742620054,1.754852592619969,3,-0.5271138877030314,-0.47142517355352337,False,False,False
entry mult=2 range=90 bottom=0.2 k=5,entry,2.0,90,0.2,5,0.4058290680331147,1.3303931633213066,5,-0.44265952244245577,-0.5434198024362501,False,False,False
entry mult=2 range=90 bottom=0.3 k=1,entry,2.0,90,0.3,1,0.9699289529659623,3.8187805453142376,1,-0.5109491450275679,-0.3292810228153601,False,True,False
entry mult=2 range=90 bottom=0.3 k=2,entry,2.0,90,0.3,2,0.5605382170436869,2.3273079136977395,2,-0.5307487939044819,-0.4212032839352786,False,False,False
entry mult=2 range=90 bottom=0.3 k=3,entry,2.0,90,0.3,3,0.4428739889064884,1.754852592619969,3,-0.5133319955892989,-0.4576090177434804,False,False,False
entry mult=2 range=90 bottom=0.3 k=5,entry,2.0,90,0.3,5,0.3504136321420032,1.3303931633213066,5,-0.4973975148868584,-0.5600395843331324,False,False,False
entry mult=3 range=30 bottom=0.1 k=1,entry,3.0,30,0.1,1,0.14853666294984721,3.8187805453142376,1,-1.2105229121028667,-1.1486070165569864,False,False,False
entry mult=3 range=30 bottom=0.1 k=2,entry,3.0,30,0.1,2,0.41479804418959176,2.068293914701102,2,-0.5990203984812134,-0.7773624203263267,False,False,False
entry mult=3 range=30 bottom=0.1 k=3,entry,3.0,30,0.1,3,0.2852060575738007,1.3875366379148142,2,-0.589843475859551,-0.8011445202014804,False,False,False
entry mult=3 range=30 bottom=0.1 k=5,entry,3.0,30,0.1,5,0.2883695281494267,0.9687162600264554,3,-0.45176822135755473,-0.583702772372622,False,False,False
entry mult=3 range=30 bottom=0.2 k=1,entry,3.0,30,0.2,1,0.9699289529659623,3.8187805453142376,1,-0.5109491450275679,-0.3292810228153601,False,True,False
entry mult=3 range=30 bottom=0.2 k=2,entry,3.0,30,0.2,2,0.7211340789479366,2.068293914701102,2,-0.39283330732897864,-0.3756419557317875,False,True,False
entry mult=3 range=30 bottom=0.2 k=3,entry,3.0,30,0.2,3,0.48943008074603017,1.3875366379148142,2,-0.38850452259494955,-0.3863344147659883,False,False,False
entry mult=3 range=30 bottom=0.2 k=5,entry,3.0,30,0.2,5,0.32305615366418833,0.9687162600264554,3,-0.4094209821561601,-0.4444427543864547,False,False,False
entry mult=3 range=30 bottom=0.3 k=1,entry,3.0,30,0.3,1,0.990414365099424,3.8187805453142376,1,-0.5031567933151585,-0.3242877482292789,False,True,False
entry mult=3 range=30 bottom=0.3 k=2,entry,3.0,30,0.3,2,0.7313767850146697,2.068293914701102,2,-0.387575039684253,-0.3689614688317328,False,True,False
entry mult=3 range=30 bottom=0.3 k=3,entry,3.0,30,0.3,3,0.49625855145717995,1.3875366379148142,2,-0.383338803108554,-0.37941820093457557,False,False,False
entry mult=3 range=30 bottom=0.3 k=5,entry,3.0,30,0.3,5,0.3263314274787042,0.9687162600264554,3,-0.40566011940083674,-0.437853032299713,False,False,False
entry mult=3 range=60 bottom=0.1 k=1,entry,3.0,60,0.1,1,0.026022084342211437,0.026022084342211437,0,0.0,,False,False,False
entry mult=3 range=60 bottom=0.1 k=2,entry,3.0,60,0.1,2,0.5176753422163346,1.9224013148282184,1,-0.4891455131823181,-0.3436877005738768,False,False,False
entry mult=3 range=60 bottom=0.1 k=3,entry,3.0,60,0.1,3,0.3928058318551524,1.560212637245893,2,-0.5142294385851591,-0.4257520114347869,False,False,False
entry mult=3 range=60 bottom=0.1 k=5,entry,3.0,60,0.1,5,0.34007984762357274,1.1216774292580132,4,-0.44493466913358226,-0.4777406806253886,False,False,False
entry mult=3 range=60 bottom=0.2 k=1,entry,3.0,60,0.2,1,0.026022084342211437,0.026022084342211437,0,0.0,,False,False,False
entry mult=3 range=60 bottom=0.2 k=2,entry,3.0,60,0.2,2,0.49797551865408934,1.9224013148282184,1,-0.5036103165868235,-0.3544984972367168,False,False,False
entry mult=3 range=60 bottom=0.2 k=3,entry,3.0,60,0.2,3,0.3788990379441124,1.560212637245893,2,-0.5276683151652106,-0.4363246554152397,False,False,False
entry mult=3 range=60 bottom=0.2 k=5,entry,3.0,60,0.2,5,0.33173577127694553,1.1216774292580132,4,-0.4541963683793857,-0.48907993400527866,False,False,False
entry mult=3 range=60 bottom=0.3 k=1,entry,3.0,60,0.3,1,0.026022084342211437,0.026022084342211437,0,0.0,,False,False,False
entry mult=3 range=60 bottom=0.3 k=2,entry,3.0,60,0.3,2,0.49797551865408934,1.9224013148282184,1,-0.5036103165868235,-0.3544984972367168,False,False,False
entry mult=3 range=60 bottom=0.3 k=3,entry,3.0,60,0.3,3,0.37975774661610234,1.560212637245893,2,-0.5268243182552727,-0.43624627465694366,False,False,False
entry mult=3 range=60 bottom=0.3 k=5,entry,3.0,60,0.3,5,0.32592655400916304,1.1216774292580132,4,-0.46078304163258094,-0.506078510601731,False,False,False
entry mult=3 range=90 bottom=0.1 k=1,entry,3.0,90,0.1,1,1.0093286000904529,3.8187805453142376,1,-0.49610389337981475,-0.3200025207006963,False,True,False
entry mult=3 range=90 bottom=0.1 k=2,entry,3.0,90,0.1,2,0.5840976469717183,2.3273079136977395,2,-0.5153991276971408,-0.4119282829218943,False,False,False
entry mult=3 range=90 bottom=0.1 k=3,entry,3.0,90,0.1,3,0.5927124148026132,1.754852592619969,2,-0.40468054244550894,-0.4649466408452605,False,False,False
entry mult=3 range=90 bottom=0.1 k=5,entry,3.0,90,0.1,5,0.4562373059585814,1.3303931633213066,4,-0.3990082717985359,-0.45876203445676633,False,False,False
entry mult=3 range=90 bottom=0.2 k=1,entry,3.0,90,0.2,1,0.9295374926879362,3.8187805453142376,1,-0.5268076984694293,-0.3396454233214083,False,True,False
entry mult=3 range=90 bottom=0.2 k=2,entry,3.0,90,0.2,2,0.5364298476140323,2.3273079136977395,2,-0.5471389827655747,-0.43412839084118193,False,False,False
