cellule,instant_s,mesure,n,median,p25,p75
ETH 5m,-30,bid_up_052,21,0,0,0
ETH 5m,-30,bid_dn_048,21,41.25,0,71.25
ETH 5m,-30,bid_dn_049,21,30,0,45.21
ETH 5m,-30,bid_dn_050,21,0,0,20
ETH 5m,-30,bid_dn_051,21,0,0,0
ETH 5m,-30,bid_dn_052,21,0,0,0
ETH 5m,0,spread,21,0.14,0.06,0.17
ETH 5m,0,mid,21,0.5,0.44,0.565
ETH 5m,0,depth_best_bid,21,30,10,30
ETH 5m,0,depth_best_ask,21,30,10,30
ETH 5m,0,depth_bid_10c,21,60,8.41,130.41
ETH 5m,0,depth_ask_10c,21,90,5,250
ETH 5m,0,bid_up_048,21,0,0,20.41
ETH 5m,0,bid_up_049,21,0,0,0
ETH 5m,0,bid_up_050,21,0,0,0
ETH 5m,0,bid_up_051,21,0,0,0
ETH 5m,0,bid_up_052,21,0,0,0
ETH 5m,0,bid_dn_048,21,10.41,0,20.41
ETH 5m,0,bid_dn_049,21,0,0,10
ETH 5m,0,bid_dn_050,21,0,0,0
ETH 5m,0,bid_dn_051,21,0,0,0
ETH 5m,0,bid_dn_052,21,0,0,0
ETH 5m,30,spread,21,0.01,0.01,0.01
ETH 5m,30,mid,21,0.465,0.405,0.565
ETH 5m,30,depth_best_bid,21,65,25,92.6
ETH 5m,30,depth_best_ask,21,65,40,101.34
ETH 5m,30,depth_bid_10c,21,1422,1201.98,1615.82
ETH 5m,30,depth_ask_10c,21,1459.82,1281,1588.42
ETH 5m,30,bid_up_048,21,0,0,71.01
ETH 5m,30,bid_up_049,21,0,0,65
ETH 5m,30,bid_up_050,21,0,0,25
ETH 5m,30,bid_up_051,21,0,0,49
ETH 5m,30,bid_up_052,21,0,0,69
ETH 5m,30,bid_dn_048,21,25,0,133
ETH 5m,30,bid_dn_049,21,15.21,0,138
ETH 5m,30,bid_dn_050,21,0,0,71
ETH 5m,30,bid_dn_051,21,5,0,138
ETH 5m,30,bid_dn_052,21,0,0,74
