slug,asset,duration,start,start_ts,slot,resolved_up,price_to_beat,final_price,n_snapshots,n_pc,n_trades_msgs,coverage_start_rel,coverage_end_rel,format,n_files,usable,reason,bba_n,bba_agree_rate,mid_-60,spread_-60,depth_best_bid_-60,depth_best_ask_-60,mid_-30,spread_-30,depth_best_bid_-30,depth_best_ask_-30,mid_+0,spread_+0,depth_best_bid_+0,depth_best_ask_+0,mid_+30,spread_+30,depth_best_bid_+30,depth_best_ask_+30,mid_end,n_trades,gap_m30,seconds
btc-updown-5m-1790398200,btc,5m,2026-09-26 04:50:00+00:00,1790398200,1989331,True,83971.9,83972.2,2488,111231,1194,-130.998,419.657,2,2,True,,3354,0.986285,0.505,0.01,21,234.56,0.545,0.01,371.36,39,0.55,0.02,5,10,0.485,0.01,564.21,899.74,,1194,0.000190612,3.61337
eth-updown-5m-1790398200,eth,5m,2026-09-26 04:50:00+00:00,1790398200,1989331,True,2688.79,,400,40322,171,-130.999,419.656,2,2,True,,1360,0.961765,0.495,0.01,45.45,15,0.505,0.03,15.45,8.48,0.645,0.49,30,204,0.695,0.01,158.82,40,,171,0.000190007,1.10691
eth-updown-5m-1790398500,eth,5m,2026-09-26 04:55:00+00:00,1790398500,1989331,False,2689.24,,712,41757,355,-141.804,418.93,2,1,True,,3400,0.994118,0.495,0.01,40.19,25,0.495,0.01,38.22,20,0.43,0.14,10,15,0.575,0.01,61,22,,355,-1.11531e-06,0.885009
btc-updown-5m-1790398500,btc,5m,2026-09-26 04:55:00+00:00,1790398500,1989331,False,83972.2,83964,1596,56411,797,-143.457,419.832,2,1,True,,1998,0.982983,0.495,0.01,158.4,61,0.495,0.01,48.37,78,0.475,0.01,30,21.76,0.515,0.01,150.59,65.38,,797,-5.15982e-08,1.41569
btc-updown-5m-1790398800,btc,5m,2026-09-26 05:00:00+00:00,1790398800,1989332,True,83964,83979.2,1290,47922,645,-138.739,420.048,2,1,True,,1596,0.984962,0.495,0.01,338.44,155,0.495,0.01,274.84,6.32,0.645,0.05,40.32,0.24,0.735,0.01,262.93,40,,645,-3.57262e-08,1.12133
btc-updown-15m-1790398800,btc,15m,2026-09-26 05:00:00+00:00,1790398800,1989332,,,,1240,164070,618,-138.812,1020.05,2,1,True,,2870,0.969338,0.505,0.01,179.45,256.6,0.505,0.01,98.01,58.21,0.525,0.05,25,2,0.585,0.01,180.36,75,,618,-3.57262e-08,3.46958
eth-updown-5m-1790398800,eth,5m,2026-09-26 05:00:00+00:00,1790398800,1989332,False,2689.07,2688.94,768,48663,383,-137.19,419.622,2,1,True,,4086,0.994616,0.49,0.02,55.83,25,0.495,0.01,30,20,0.5,0.04,10.41,28.31,0.585,0.01,5,67,,383,1.61118e-06,1.14766
eth-updown-5m-1790399100,eth,5m,2026-09-26 05:05:00+00:00,1790399100,1989332,True,2688.94,,528,37475,262,-136.888,419.631,2,1,True,,3312,0.995169,0.495,0.01,35.26,5,0.495,0.01,3.45,40,0.43,0.14,10,10,0.395,0.01,92.21,55,,262,-2.6647e-05,0.881962
btc-updown-5m-1790399100,btc,5m,2026-09-26 05:05:00+00:00,1790399100,1989332,True,83979.2,83988.9,1652,64055,827,-138.535,420.102,2,1,True,,2164,0.965804,0.5,0.02,135.46,76.62,0.495,0.01,61.13,510.32,0.51,0.02,45.32,10,0.505,0.01,20.4,514.21,,827,-4.7623e-08,1.55706
btc-updown-5m-1790399400,btc,5m,2026-09-26 05:10:00+00:00,1790399400,1989332,,83988.9,,1416,42993,706,-133.572,420.021,2,1,True,,1866,0.928189,0.505,0.03,31.36,87.07,0.415,0.01,10,42.75,0.365,0.01,29.06,15,0.245,0.01,621.15,90,,706,-8.09412e-05,1.07779
eth-updown-5m-1790399400,eth,5m,2026-09-26 05:10:00+00:00,1790399400,1989332,,,,310,23444,154,-132.38,420.261,2,1,True,,1209,0.962779,0.495,0.01,30,15,0.475,0.01,21.28,30,0.45,0.12,30,10,0.265,0.01,25,98.86,,154,3.09831e-06,0.649365
btc-updown-15m-1790399700,btc,15m,2026-09-26 05:15:00+00:00,1790399700,1989333,,,,74,29301,36,-140.534,166.33,2,1,False,fenêtre en cours,,,,,,,,,,,,,,,,,,,,,,
btc-updown-5m-1790399700,btc,5m,2026-09-26 05:15:00+00:00,1790399700,1989333,,,,1154,28784,576,-130.998,178.178,2,1,False,fenêtre en cours,,,,,,,,,,,,,,,,,,,,,,
eth-updown-5m-1790399700,eth,5m,2026-09-26 05:15:00+00:00,1790399700,1989333,,,,182,23243,90,-131.57,181.833,2,1,False,fenêtre en cours,,,,,,,,,,,,,,,,,,,,,,
