ticker,model,horizon,n,n_eff,accuracy,balanced_accuracy,auc,brier,log_loss,bss,acc_w,up_rate,p_binom
ETHUSDT,logit,10,87444,43722.0,0.5260052147660217,0.5261554908073012,0.536179892297161,0.2499705530851157,0.693203273399165,7.379665235729416e-05,0.5062090209818941,0.4966835917844563,7.757064577396861e-28
ETHUSDT,logit,15,87484,29161.333333333332,0.5297197201774039,0.5297778492474279,0.5401020301032173,0.24986462752024055,0.6930427769558573,0.0005364731763188857,0.5124898206406273,0.498879795162544,1.7350680726880594e-24
ETHUSDT,hgb,5,87326,87326.0,0.5257311682660376,0.5257289233185738,0.5368502883514221,0.24900904057841436,0.6911680311809518,0.003963835596527021,0.5016174899249285,0.5000229026864851,1.5748681795897496e-52
ETHUSDT,hgb,10,87444,43722.0,0.5266913681899272,0.526974724964492,0.5394017141513858,0.24909756674998895,0.6913707397754147,0.0035658956251528595,0.5023282032294734,0.4966835917844563,3.1969482312077484e-29
ETHUSDT,hgb,15,87484,29161.333333333332,0.5328174294728178,0.5328547023545515,0.5442472830522603,0.24852349110028082,0.6901875508477994,0.005901045783283987,0.5059883234674996,0.498879795162544,2.0249351537484787e-29
ETHUSDT,reversal_h,5,87326,87326.0,0.5161921993449832,0.5161922597002573,0.5164081792714856,0.24974444724366165,0.6926360151493234,0.0010222089293658865,0.5005152503413429,0.5000229026864851,5.484173203795667e-22
ETHUSDT,reversal_h,10,87444,43722.0,0.5212250125794794,0.5212415726319353,0.5212788231749016,0.24955052833813643,0.6922479705719987,0.0017539695582277082,0.5018275900290934,0.4966835917844563,3.568060959268189e-19
ETHUSDT,reversal_h,15,87484,29161.333333333332,0.5264619816194961,0.5264631644336024,0.526475636256888,0.24934192309450873,0.6918305374589064,0.0026273013740234497,0.505058835942995,0.498879795162544,8.429269656125617e-20
ETHUSDT,momentum_h,5,87326,87326.0,0.4834757117009825,0.4834757913953359,0.48359182072851437,0.2510531067494217,0.6952547314059171,-0.004212429104657245,0.4993959494439002,0.5000229026864851,1.0
ETHUSDT,momentum_h,10,87444,43722.0,0.478786423310919,0.47875825787026016,0.4787211768250984,0.2512480719088788,0.6956448701668995,-0.005036503466535613,0.498191090958681,0.4966835917844563,1.0
