indicator,horizon,family,n_tickers,ic_mean,ic_std,ic_t_cross,frac_same_sign,ic_daily_t_mean,ic_train_mean,ic_test_mean,hit_rate_oos_mean,auc_oos_mean,z_combined,p_combined,q_value,q_value_by
session_europe,10,calendrier,6,-0.003563083784002951,0.00213658879145416,-4.08489327310016,0.8333333333333334,-0.1443381412334323,-0.004792364672444473,-0.0019637247317477436,0.5026095823775639,0.5008350106368592,-0.7534694953498334,0.4511678354234734,0.5293561722415929,1.0
hour_sin,5,calendrier,6,-0.003524120687423634,0.002125741970162529,-4.0608397431764445,1.0,-1.3117299817622288,-0.0028223060866231033,-0.004726134995419929,0.5016435962520944,0.5024131807519315,-3.1336453748449076,0.0017264937243256268,0.0024027037663531636,0.016325938255311152
rv_15,15,volatilite,6,0.0034605379905659327,0.0028336059487153015,2.9914365179272213,0.8333333333333334,2.6313960919832238,0.003955368947979838,0.0032094361267335975,0.5017617501939253,0.5020540627975681,1.9173934900354141,0.05518796065457404,0.07162996965787978,0.48671271017288925
garman_klass_60,5,volatilite,6,-0.0034479010824882282,0.0025451283877397568,-3.318338821872237,0.8333333333333334,0.9083931507888604,-0.005121244507065938,-0.0008402135425069282,0.4983391135564697,0.49937183465412444,-0.22583096025457872,0.8213328962340882,0.8717961462145725,1.0
ls_ratio_accounts_z_1440,5,derives,6,0.003444291873006409,0.0037007039237814884,2.2797710348737463,0.6666666666666666,5.796487246570293,0.0027559432387762365,0.004366330475593491,0.5021278803625887,0.5028485438736298,3.255337605048334,0.0011325764651370384,0.001593878677060832,0.010830117816666113
parkinson_60,10,volatilite,6,-0.003368978305586224,0.0030297384235143006,-2.7237591665158996,0.8333333333333334,1.3074183533573651,-0.004625262034621352,-0.0007518357864822991,0.4979540048263457,0.499069141990612,-0.036496832594363385,0.970886204252017,0.9810200036230889,1.0
funding_rate_z_30d,10,derives,6,-0.003354206224725929,0.0027311093513622178,-3.0083356928010376,0.8333333333333334,-3.4389349286586186,-0.006214979325413647,0.0012089624711061617,0.5014319049587657,0.5003564259361895,-2.0907534120172717,0.03655017430776299,0.04818851928470858,0.32743228752294967
ls_ratio_top_log,10,derives,6,0.003320927223486376,0.0034843952614722,2.334573594564681,0.6666666666666666,4.01707036250471,0.002119504191528922,0.0038603866589004125,0.49872484823332464,0.5015258581902634,1.8520264528882067,0.06402202444173581,0.082243677552076,0.5588309388813577
oi_z_1440,10,derives,6,-0.003286452953801951,0.0028973953641843356,-2.7784032859262897,0.8333333333333334,-2.447972223466566,-0.007058547668488595,0.002479484453124753,0.4994150578716152,0.4991818097479946,-2.161249751932063,0.030676052122847387,0.04065794209932948,0.27626337528456796
efficiency_ratio_30,15,tendance,6,0.0031703969275867117,0.003502481274265924,2.217243761368168,0.8333333333333334,0.8802610399096574,-0.003463540472318115,0.01388138672772677,0.49866754314430906,0.4987308673962138,1.943177654032918,0.05199469705346078,0.06766063175008792,0.45974177580113584
parkinson_60,5,volatilite,6,-0.003167099905945319,0.002667043874534579,-2.90875557318547,0.8333333333333334,1.0331903913478688,-0.004482227717360132,-0.001068723191025261,0.4988111357292182,0.5000238724853837,-0.06259476404760139,0.9500891989277567,0.9635520013417127,1.0
cs_spread_60,15,microstructure,6,-0.0030850414895437113,0.00248107926495791,-3.0457622178491963,1.0,1.000249530210507,-0.005129222905025739,0.001411371527299023,0.49851627194163534,0.4984961536879516,0.0,1.0,1.0,1.0
avg_trade_size_rel_60,5,flux,6,-0.003078110089140157,0.0025440844673148724,-2.9636591030580166,1.0,-1.7132376353536163,-0.00289089925909942,-0.003249108973204133,0.5011893887172318,0.5022805148708416,-4.038055538941917,5.389609443918215e-05,7.895305062581947e-05,0.0005364717230797074
avg_trade_size_rel_60,10,flux,6,-0.0030613137555835688,0.0021766961135341635,-3.4449717611559048,1.0,-1.437237645267392,-0.002461289037322882,-0.0038163655107845396,0.5003257128541322,0.50079705225213,-3.3444180404204746,0.0008245538869103175,0.0011735837992672418,0.007974290011353085
roll_spread_60,5,microstructure,6,-0.003035388280015476,0.0013023849581990869,-5.708874638373717,1.0,-0.5158076668692172,-0.0038595526022967546,-0.0020168822873891045,0.5011422327478852,0.5015135286648249,-1.4193971381336024,0.1557832663140631,0.19366604571549784,1.0
beta_bench_240,10,marche,5,-0.003027371974708798,0.0035009060677029216,-1.9336164403486311,1.0,1.0742006108188342,-0.004233169574208289,-0.0013349065838740403,0.4981374669019713,0.497873266369157,-0.0640828819067674,0.9489042320867653,0.9635520013417127,1.0
rv_ratio_15_240,5,volatilite,6,0.0030147082626015113,0.002119066389153904,3.4847879257216485,1.0,0.9117218100263621,0.0037833915107162636,0.0015701078657944102,0.49966101600109486,0.49981917832119693,2.2332532219312875,0.02553225039690088,0.034202292643976846,0.23239840288058808
vr_5_240,5,statistique,6,-0.0029980785806363237,0.0016300018951841255,-4.505370670441503,1.0,-0.3841920141402067,-0.0033418223086189754,-0.00187029854942656,0.5003136624588578,0.5003108349160441,-1.2123210251825616,0.22538951864767875,0.2754149971767977,1.0
oi_chg_5,5,derives,6,-0.002980497456376566,0.004399171402354618,-1.6595620584090258,0.6666666666666666,-1.140605125714123,-0.001116632788194076,-0.006276447499411422,0.5017333580369365,0.5021209212542049,-2.6700520958979053,0.00758394792311957,0.010241395982433706,0.06958843649343507
zero_ret_frac_60,5,microstructure,6,0.002888898054494588,0.0028014489545469317,2.525952200894269,0.8333333333333334,-0.3594964579008099,0.0033699682361084376,0.001320397157953898,0.4994526892242704,0.5002322018623319,0.31096914451291857,0.7558240785979757,0.8196274099081945,1.0
