market,t_event,t_prev,t0,dP,p_prev,p_event,mid0,phase,delay_first_ms,delay_ask_ms,delay_bid_ms,delay_placebo_ms,delay_50_ms,delay_90_ms,censored_50,censored_90,jump,asset,duration
btc-updown-5m-1790421300,1790421393.9,1790421392.9,1790421393.8418562,0.06314267015007202,0.6433813171819636,0.7065239873320356,0.795,3,713.219404220581,713.219404220581,726.4881134033203,538.5427474975586,754.2388439178467,,False,True,0.05,btc,5m
btc-updown-5m-1790421300,1790421299.4,1790421298.4,1790421299.3595755,-0.1291095653100155,0.5000000000036154,0.37089043469359995,0.435,3,62.15023994445801,67.97671318054199,62.15023994445801,2631.6723823547363,436.68627738952637,473.2861518859863,False,False,0.1,btc,5m
btc-updown-5m-1790421300,1790421391.9,1790421390.9,1790421391.669205,0.14681531564430877,0.4997171646347827,0.6465324802790915,0.645,3,116.22858047485352,116.22858047485352,119.30131912231445,42.519330978393555,489.21918869018555,1039.5896434783936,False,False,0.1,btc,5m
btc-updown-5m-1790421600,1790421635.4,1790421634.4,1790421635.3131714,-0.07463281495906415,0.49027622637370777,0.4156434114146436,0.365,3,481.3833236694336,481.9180965423584,481.3833236694336,,481.9180965423584,807.6748847961426,False,False,0.05,btc,5m
btc-updown-5m-1790421600,1790421638.3,1790421637.3,1790421638.2127185,-0.08757259908349785,0.41555248715053156,0.3279798880670337,0.255,3,346.5549945831299,346.5549945831299,346.5549945831299,581.8362236022949,959.1715335845947,,False,True,0.05,btc,5m
btc-updown-5m-1790421600,1790421780.5,1790421779.5,1790421780.4103026,-0.05417227352136322,0.19060667748097548,0.13643440395961226,0.065,3,228.23476791381836,229.54964637756348,228.23476791381836,415.7416820526123,1188.7907981872559,,False,True,0.05,btc,5m
eth-updown-5m-1790418900,1790418888.8,1790418887.8,1790418888.7839587,-0.11601503190289658,0.5187710822635905,0.4027560503606939,0.435,2,12.64190673828125,12.64190673828125,82.22532272338867,500.67615509033203,299.29614067077637,2066.4026737213135,False,False,0.05,eth,5m
eth-updown-5m-1790418900,1790418937.1,1790418936.1,1790418937.0862973,-0.10284960921786873,0.39771508777958176,0.294865478561713,0.245,3,221.41003608703613,221.41003608703613,221.41003608703613,1023.7085819244385,221.41003608703613,,False,True,0.05,eth,5m
eth-updown-5m-1790418900,1790418965.5,1790418964.5,1790418965.470116,-0.06423362054577031,0.3011085818964139,0.23687496135064356,0.245,3,256.00242614746094,256.11305236816406,256.00242614746094,,256.11305236816406,281.12244606018066,False,False,0.05,eth,5m
eth-updown-5m-1790418900,1790418997.0,1790418996.0,1790418996.844857,0.053648611665583656,0.23789121237874145,0.2915398240443251,0.215,3,158.34355354309082,158.34355354309082,158.9066982269287,,158.34355354309082,217.4851894378662,False,False,0.05,eth,5m
eth-updown-5m-1790418900,1790419000.0,1790418999.0,1790418999.886563,0.06603864624742078,0.36201581618448087,0.42805446243190165,0.315,3,226.66621208190918,226.66621208190918,226.7758846282959,116.6374683380127,235.60070991516113,236.2983226776123,False,False,0.05,eth,5m
eth-updown-5m-1790418900,1790419036.3,1790419035.3,1790419036.243369,0.055686720822732516,0.4207613038271038,0.4764480246498363,0.425,3,37.98389434814453,37.98389434814453,61.514854431152344,,37.98389434814453,74.62120056152344,False,False,0.05,eth,5m
eth-updown-5m-1790418900,1790419117.4,1790419116.4,1790419117.3403277,-0.06576014104963723,0.4590016851211185,0.39324154407148126,0.175,3,112.70785331726074,115.20910263061523,112.70785331726074,,150.5870819091797,481.93812370300293,False,False,0.05,eth,5m
eth-updown-5m-1790418900,1790419129.1,1790419128.1,1790419129.0156114,-0.1501168966200917,0.37711018761831644,0.22699329099822474,0.065,3,178.969144821167,179.12554740905762,178.969144821167,268.1872844696045,,,True,True,0.05,eth,5m
eth-updown-5m-1790418900,1790419135.6,1790419134.6,1790419135.5241158,-0.1473650407082672,0.1771281357496593,0.02976309504139209,0.035,3,4823.060989379883,4834.065914154053,4823.060989379883,5.080938339233398,,,True,True,0.05,eth,5m
