lag_ms,corr,n,asset,horloge,horizon_s
2700,0.09149471817133734,3402,btc,rx,1.0
2800,0.07932464446605328,3402,btc,rx,1.0
2900,0.08276935969345543,3402,btc,rx,1.0
3000,0.07899796962850245,3402,btc,rx,1.0
3100,0.07173478370175537,3402,btc,rx,1.0
3200,0.06881732331897793,3402,btc,rx,1.0
3300,0.06997451637092518,3402,btc,rx,1.0
3400,0.06050894285518067,3402,btc,rx,1.0
3500,0.06749240757604792,3402,btc,rx,1.0
3600,0.05453703333355406,3402,btc,rx,1.0
3700,0.06218776922529814,3401,btc,rx,1.0
3800,0.04709455864071594,3401,btc,rx,1.0
3900,0.0526057489036033,3401,btc,rx,1.0
4000,0.042846613964087135,3401,btc,rx,1.0
4100,0.04563805450246044,3401,btc,rx,1.0
4200,0.04474692324372687,3401,btc,rx,1.0
4300,0.04469294996824719,3401,btc,rx,1.0
4400,0.04685927904937649,3401,btc,rx,1.0
4500,0.03464421327593321,3401,btc,rx,1.0
4600,0.03253458806655539,3401,btc,rx,1.0
4700,0.018382939330846247,3400,btc,rx,1.0
4800,0.02664763054355211,3400,btc,rx,1.0
4900,0.019232240240722728,3400,btc,rx,1.0
5000,0.024085089902055462,3400,btc,rx,1.0
5100,0.024085018636336355,3400,btc,rx,1.0
5200,0.029157598259380118,3400,btc,rx,1.0
5300,0.0358395557589641,3400,btc,rx,1.0
5400,0.03364762825059843,3400,btc,rx,1.0
5500,0.0332821434044433,3400,btc,rx,1.0
5600,0.03375233865464757,3400,btc,rx,1.0
5700,0.04580949345231364,3399,btc,rx,1.0
5800,0.0362337362587707,3399,btc,rx,1.0
5900,0.035922396058193556,3399,btc,rx,1.0
6000,0.03749291538292827,3399,btc,rx,1.0
6100,0.03966901927827988,3399,btc,rx,1.0
6200,0.042947192464721944,3399,btc,rx,1.0
6300,0.039784759811416874,3399,btc,rx,1.0
6400,0.052804355787820625,3399,btc,rx,1.0
6500,0.05533002733048578,3399,btc,rx,1.0
6600,0.05569738784118167,3399,btc,rx,1.0
6700,0.0552174096988494,3398,btc,rx,1.0
6800,0.04778194033896312,3398,btc,rx,1.0
6900,0.04434029683967819,3398,btc,rx,1.0
7000,0.056423782437350495,3398,btc,rx,1.0
7100,0.05410577297951423,3398,btc,rx,1.0
7200,0.05094393672990032,3398,btc,rx,1.0
7300,0.048182824800700214,3398,btc,rx,1.0
7400,0.061751228455618444,3398,btc,rx,1.0
7500,0.05787887408815855,3398,btc,rx,1.0
7600,0.048679764206915076,3398,btc,rx,1.0
7700,0.05176192644510994,3397,btc,rx,1.0
7800,0.05995089052839225,3397,btc,rx,1.0
7900,0.056412792298784105,3397,btc,rx,1.0
8000,0.029385303513634255,3397,btc,rx,1.0
8100,0.03609684068255743,3397,btc,rx,1.0
8200,0.03857114750360069,3397,btc,rx,1.0
8300,0.03685409899529775,3397,btc,rx,1.0
8400,0.0034941726132368986,3397,btc,rx,1.0
8500,0.0021152804039063595,3397,btc,rx,1.0
8600,0.015593603834678001,3397,btc,rx,1.0
8700,0.006347081233799957,3396,btc,rx,1.0
8800,-0.009771967127755287,3396,btc,rx,1.0
8900,-0.005626330557440108,3396,btc,rx,1.0
9000,0.005154891894252159,3396,btc,rx,1.0
9100,-0.0035424397908618054,3396,btc,rx,1.0
9200,-0.006473283666739937,3396,btc,rx,1.0
9300,-0.0039548433256996205,3396,btc,rx,1.0
9400,-0.0007648209598483227,3396,btc,rx,1.0
9500,0.0017469632256840613,3396,btc,rx,1.0
9600,0.02272027539120681,3396,btc,rx,1.0
9700,0.021278405883851954,3395,btc,rx,1.0
9800,0.027187101901751363,3395,btc,rx,1.0
9900,0.03117694576010339,3395,btc,rx,1.0
10000,0.03364568644041065,3395,btc,rx,1.0
-3000,0.3777400896607667,3394,btc,rx,5.0
-2900,0.3895458543409016,3394,btc,rx,5.0
-2800,0.4087245820834845,3394,btc,rx,5.0
-2700,0.4206132436692014,3394,btc,rx,5.0
-2600,0.4432338786782163,3394,btc,rx,5.0
-2500,0.44864115409825783,3394,btc,rx,5.0
-2400,0.4600367528154435,3394,btc,rx,5.0
-2300,0.4849424046238775,3393,btc,rx,5.0
-2200,0.5022605018517602,3393,btc,rx,5.0
-2100,0.5279503779004469,3393,btc,rx,5.0
-2000,0.5390769155334117,3393,btc,rx,5.0
-1900,0.5530368700394335,3393,btc,rx,5.0
-1800,0.5685432079961042,3393,btc,rx,5.0
-1700,0.5823345208948368,3393,btc,rx,5.0
-1600,0.6084010931571708,3393,btc,rx,5.0
-1500,0.6149307629262063,3393,btc,rx,5.0
-1400,0.6301612082291971,3393,btc,rx,5.0
-1300,0.6521797098766472,3393,btc,rx,5.0
-1200,0.6711360399644133,3393,btc,rx,5.0
-1100,0.6931063784412754,3393,btc,rx,5.0
-1000,0.7035959481021417,3393,btc,rx,5.0
-900,0.7102489097279363,3393,btc,rx,5.0
-800,0.72455094680492,3393,btc,rx,5.0
-700,0.7367828067872162,3393,btc,rx,5.0
-600,0.7639352634199985,3393,btc,rx,5.0
-500,0.7668380260535554,3393,btc,rx,5.0
-400,0.7827971470931168,3393,btc,rx,5.0
-300,0.8075241315848065,3392,btc,rx,5.0
-200,0.8259256803288191,3392,btc,rx,5.0
-100,0.8469395327478052,3392,btc,rx,5.0
0,0.8552456869423922,3392,btc,rx,5.0
100,0.8628769780878899,3392,btc,rx,5.0
200,0.874513351651164,3392,btc,rx,5.0
300,0.8863778389034828,3392,btc,rx,5.0
400,0.8937394099079409,3392,btc,rx,5.0
500,0.8935205194948487,3392,btc,rx,5.0
600,0.8934231438150371,3392,btc,rx,5.0
700,0.8985494487294329,3391,btc,rx,5.0
800,0.8874845035759709,3391,btc,rx,5.0
900,0.8767981986886699,3391,btc,rx,5.0
1000,0.8764179420676065,3391,btc,rx,5.0
1100,0.868770774418513,3391,btc,rx,5.0
1200,0.8634617570981591,3391,btc,rx,5.0
1300,0.853498699324317,3391,btc,rx,5.0
1400,0.8406457823362672,3391,btc,rx,5.0
1500,0.8339756936906002,3391,btc,rx,5.0
1600,0.8190579817025524,3391,btc,rx,5.0
1700,0.8019648533231162,3390,btc,rx,5.0
1800,0.7723033008292647,3390,btc,rx,5.0
1900,0.7477948856238931,3390,btc,rx,5.0
2000,0.7438670516744473,3390,btc,rx,5.0
2100,0.7314755028031719,3390,btc,rx,5.0
2200,0.7221925028303082,3390,btc,rx,5.0
2300,0.7104829466400754,3390,btc,rx,5.0
2400,0.6887557365075734,3390,btc,rx,5.0
2500,0.6820388467356436,3390,btc,rx,5.0
2600,0.6624608885901172,3390,btc,rx,5.0
2700,0.6430888317397765,3389,btc,rx,5.0
2800,0.6107765051492674,3389,btc,rx,5.0
2900,0.5850213481212556,3389,btc,rx,5.0
3000,0.5801262314768663,3389,btc,rx,5.0
3100,0.5652501122388293,3389,btc,rx,5.0
3200,0.5552885887610752,3389,btc,rx,5.0
3300,0.5436768661405125,3389,btc,rx,5.0
3400,0.5222272410369327,3389,btc,rx,5.0
3500,0.513945101652051,3389,btc,rx,5.0
3600,0.4865253373900162,3389,btc,rx,5.0
3700,0.4667256995303769,3388,btc,rx,5.0
3800,0.4341262821907567,3388,btc,rx,5.0
3900,0.40894214563268133,3388,btc,rx,5.0
4000,0.4015790530739378,3388,btc,rx,5.0
4100,0.39278019081556614,3388,btc,rx,5.0
4200,0.38393426660734886,3388,btc,rx,5.0
