latency_ms,n_opp,n_filled,fill_rate,shares,total,per_opp,per_share,n_groups,margin,trigger,valeur,per_opp_lo,per_opp_hi,per_hour,per_hour_lo,per_hour_hi,hours,mean_edge_fill_c,edge_per_hour
1000,4125,3858,0.9352727272727273,157980.90999999997,-3273.565685159999,-0.7935916812509088,-0.02072127376124115,21,0.0,persistante,pnl,-4.484558569097349,3.094371731445376,-3813.862934166989,-21424.166446271647,14682.230258099991,0.8583333333333333,9.734985660809524,17557.91905756446
2000,4125,3758,0.9110303030303031,152136.1,-4296.819042450001,-1.0416531012,-0.028243257467819936,21,0.0,persistante,pnl,-4.539556480330758,2.7279974381369088,-5006.002767902914,-22015.65131236515,12850.415582028889,0.8583333333333333,10.327817190353061,18191.418388546437
5000,4125,3444,0.8349090909090909,143793.45,-4208.69416633,-1.020289494867879,-0.02926902558030286,21,0.0,persistante,pnl,-4.226907965247721,2.4688740577582533,-4903.333009316506,-20625.41455840982,11374.130614575708,0.8583333333333333,11.881625587145084,20420.274749472654
0,4229,4229,1.0,87384.13,-2184.79211687,-0.5166214511397493,-0.02500216134062329,22,0.0,persistante,markout,-1.1175646943998132,0.02533640883046498,-2545.388874023301,-5328.465121152815,119.57459506718384,0.8583333333333333,8.244812605900053,8457.444953956157
25,4229,4184,0.9893591865689289,143756.84,-3609.88212999,-0.8536018278529204,-0.025111028664723017,22,0.0,persistante,markout,-1.6406731610712937,-0.1342194901558193,-4205.687918434952,-7739.757090853108,-703.8794552312668,0.8583333333333333,8.44453298627838,13925.06169615052
50,4229,4168,0.9855757862378813,153267.15,-3576.55889579,-0.8457221318964294,-0.02333545639616839,22,0.0,persistante,markout,-1.6845123393853225,-0.08124740217265343,-4166.864732959223,-7952.333196180292,-417.7158358709736,0.8583333333333333,8.548678880014688,15091.392628329675
100,4229,4148,0.9808465358240719,162087.83000000002,-3525.17623694,-0.8335720588649799,-0.021748555933779848,22,0.0,persistante,markout,-1.7798479982896587,0.0025235108663682793,-4107.001441095145,-8324.67110905194,14.776169915825141,0.8583333333333333,8.683695979924504,16195.653591368937
150,4229,4128,0.9761172854102624,162677.89,-3384.40674329,-0.8002853495601797,-0.020804343745114962,22,0.0,persistante,markout,-1.741766921668111,0.033582365476469145,-3942.9981475223303,-8114.931290944947,190.45776379368814,0.8583333333333333,8.817103772121472,16412.518676179046
200,4229,4108,0.9713880349964531,165128.61,-3038.2719693600006,-0.7184374484180659,-0.018399427993489443,22,0.0,persistante,markout,-1.6500407221578377,0.15025874975987805,-3539.7343332349524,-7740.4436335913615,786.5683345386369,0.8583333333333333,8.911235956317064,16830.145795262022
300,4229,4080,0.9647670844171199,166126.68,-2945.6555713299995,-0.6965371414826199,-0.017731381686132534,22,0.0,persistante,markout,-1.655611847756398,0.21979530065513309,-3431.831733588349,-7808.184442344758,1136.6657838672825,0.8583333333333333,9.099635382562987,17489.574314302088
500,4229,4040,0.9553085835895011,164040.88999999998,-2807.58657742,-0.6638889991534642,-0.017115163039044718,22,0.0,persistante,markout,-1.6277955714906016,0.2175246848524062,-3270.9746533048547,-7575.824471313206,1171.4828180283503,0.8583333333333333,9.3103579333291,17264.45447313257
750,4229,3995,0.9446677701584298,162824.66999999998,-2599.1212959300005,-0.6145947732158904,-0.015962699607682304,22,0.0,persistante,markout,-1.5553985114353173,0.27298941322577003,-3028.1024806951464,-7305.260073701358,1466.7506448908723,0.8583333333333333,9.519419272464821,17533.81083957199
1000,4229,3962,0.9368645069756444,162957.45,-2764.2904971899998,-0.6536510988862615,-0.016963265546865145,22,0.0,persistante,markout,-1.5643318698586186,0.23261850673294984,-3220.5326180854368,-7391.27987024505,1175.7493348395133,0.8583333333333333,9.661161368823716,17963.84958052663
2000,4229,3862,0.9132182549065974,157130.76,-4058.0252409,-0.959570877488768,-0.02582578510343869,22,0.0,persistante,markout,-1.8875438656160017,-0.1586398446285672,-4727.796397165049,-8821.65885803679,-877.3306282587413,0.8583333333333333,10.239069799384573,18604.80364200185
