margin,trigger,latency_ms,market,n_opp,n_filled,shares,pnl,markout
0.0,saut,500,eth-updown-5m-1790419800,11,1,25.0,-20.996925,-3.1219250000000005
0.0,saut,500,eth-updown-5m-1790420100,22,8,243.35999999999999,67.60681688,28.231616880000008
0.0,saut,500,eth-updown-5m-1790420400,8,3,120.0,-11.428359999999998,-3.328360000000001
0.0,saut,500,eth-updown-5m-1790420700,21,10,413.36,167.54562088,-10.460379120000006
0.0,saut,500,eth-updown-5m-1790421000,2,1,50.0,22.1306,-4.119400000000001
0.0,saut,500,eth-updown-5m-1790421300,6,1,50.0,-2.6662500000000002,-1.9162499999999996
0.0,saut,750,btc-updown-15m-1790419500,9,3,104.23,35.36399344,-0.0183565599999954
0.0,saut,750,btc-updown-15m-1790420400,27,8,351.89,126.68137668000003,-24.91547331999999
0.0,saut,750,btc-updown-5m-1790418900,7,0,0.0,0.0,0.0
0.0,saut,750,btc-updown-5m-1790419200,13,0,0.0,0.0,0.0
0.0,saut,750,btc-updown-5m-1790419500,7,3,76.87,33.589487000000005,2.3510370000000025
0.0,saut,750,btc-updown-5m-1790419800,9,4,200.0,155.67739999999998,-5.32260000000001
0.0,saut,750,btc-updown-5m-1790420100,4,2,100.0,-21.2173,0.28269999999999706
0.0,saut,750,btc-updown-5m-1790420400,18,6,270.0,-45.04219,78.50781
0.0,saut,750,btc-updown-5m-1790420700,11,3,60.0,21.810480000000002,-13.28952
0.0,saut,750,btc-updown-5m-1790421000,9,2,100.0,83.0592,0.5591999999999986
0.0,saut,750,btc-updown-5m-1790421300,5,0,0.0,0.0,0.0
0.0,saut,750,eth-updown-5m-1790418900,14,10,252.0,-48.574988,-19.274988
0.0,saut,750,eth-updown-5m-1790419200,7,0,0.0,0.0,0.0
0.0,saut,750,eth-updown-5m-1790419500,2,2,33.26,15.383681279999998,1.6639312799999968
0.0,saut,750,eth-updown-5m-1790419800,11,1,45.0,-37.794465,-10.344465
0.0,saut,750,eth-updown-5m-1790420100,22,8,232.12,47.455066959999996,23.842866960000006
0.0,saut,750,eth-updown-5m-1790420400,8,2,100.0,-2.8896999999999977,-6.8897
0.0,saut,750,eth-updown-5m-1790420700,21,9,347.28,154.91879264000002,-8.979207360000004
0.0,saut,750,eth-updown-5m-1790421000,2,0,0.0,0.0,0.0
0.0,saut,750,eth-updown-5m-1790421300,6,1,50.0,-2.6662500000000002,-1.9162499999999996
0.0,saut,1000,btc-updown-15m-1790419500,9,3,104.23,35.36399344,-0.03950655999999543
0.0,saut,1000,btc-updown-15m-1790420400,27,7,337.0,120.40283400000003,-30.292165999999995
0.0,saut,1000,btc-updown-5m-1790418900,7,0,0.0,0.0,0.0
0.0,saut,1000,btc-updown-5m-1790419200,13,0,0.0,0.0,0.0
0.0,saut,1000,btc-updown-5m-1790419500,7,3,104.87,44.87203100000001,2.8535810000000046
0.0,saut,1000,btc-updown-5m-1790419800,9,4,200.0,155.67739999999998,-5.32260000000001
0.0,saut,1000,btc-updown-5m-1790420100,4,2,100.0,-21.2173,0.28269999999999706
0.0,saut,1000,btc-updown-5m-1790420400,18,6,212.92000000000002,-29.864369160000006,63.93203084000001
0.0,saut,1000,btc-updown-5m-1790420700,11,4,110.0,39.98588000000001,-24.364119999999996
0.0,saut,1000,btc-updown-5m-1790421000,9,1,50.0,41.5296,0.2795999999999993
0.0,saut,1000,btc-updown-5m-1790421300,5,0,0.0,0.0,0.0
0.0,saut,1000,eth-updown-5m-1790418900,14,11,410.0,-74.782877,-32.412877
0.0,saut,1000,eth-updown-5m-1790419200,7,0,0.0,0.0,0.0
0.0,saut,1000,eth-updown-5m-1790419500,2,2,33.26,15.383681279999998,1.6639312799999968
0.0,saut,1000,eth-updown-5m-1790419800,11,1,50.0,-41.99385,-10.743849999999998
0.0,saut,1000,eth-updown-5m-1790420100,22,8,187.95999999999998,20.80415367999999,16.982353680000003
0.0,saut,1000,eth-updown-5m-1790420400,8,2,100.0,-2.8896999999999977,-6.8897
0.0,saut,1000,eth-updown-5m-1790420700,21,11,243.48000000000002,84.93444404,-7.555555960000005
0.0,saut,1000,eth-updown-5m-1790421000,2,0,0.0,0.0,0.0
0.0,saut,1000,eth-updown-5m-1790421300,6,2,86.0,0.3673619999999991,-0.862638000000002
0.0,saut,2000,btc-updown-15m-1790419500,9,3,110.0,38.032779999999995,0.08278000000000452
0.0,saut,2000,btc-updown-15m-1790420400,27,6,300.0,31.545050000000014,-22.95495
0.0,saut,2000,btc-updown-5m-1790418900,7,0,0.0,0.0,0.0
0.0,saut,2000,btc-updown-5m-1790419200,13,0,0.0,0.0,0.0
0.0,saut,2000,btc-updown-5m-1790419500,7,3,76.87,33.589487000000005,2.899737000000003
0.0,saut,2000,btc-updown-5m-1790419800,9,4,200.0,157.23935,-3.76065000000001
0.0,saut,2000,btc-updown-5m-1790420100,4,1,50.0,5.630400000000002,-2.6195999999999997
0.0,saut,2000,btc-updown-5m-1790420400,18,9,284.33,-42.014279009999996,17.70327099
0.0,saut,2000,btc-updown-5m-1790420700,11,4,200.0,77.62740000000001,-39.3726
0.0,saut,2000,btc-updown-5m-1790421000,9,0,0.0,0.0,0.0
0.0,saut,2000,btc-updown-5m-1790421300,5,0,0.0,0.0,0.0
0.0,saut,2000,eth-updown-5m-1790418900,14,11,465.0,-89.850575,-34.375575
0.0,saut,2000,eth-updown-5m-1790419200,7,4,163.0,-86.56502400000001,38.79997599999998
0.0,saut,2000,eth-updown-5m-1790419500,2,2,29.93,13.84346304,1.422513039999997
0.0,saut,2000,eth-updown-5m-1790419800,11,2,88.0,-64.116906,-8.616905999999997
0.0,saut,2000,eth-updown-5m-1790420100,22,4,110.0,-26.764580000000002,7.260420000000005
0.0,saut,2000,eth-updown-5m-1790420400,8,2,60.0,5.730830000000003,1.0308300000000035
0.0,saut,2000,eth-updown-5m-1790420700,21,9,375.64,174.21749032000002,-23.171509680000014
0.0,saut,2000,eth-updown-5m-1790421000,2,0,0.0,0.0,0.0
0.0,saut,2000,eth-updown-5m-1790421300,6,1,50.0,-2.6662500000000002,-1.9162499999999996
0.0,saut,5000,btc-updown-15m-1790419500,9,0,0.0,0.0,0.0
0.0,saut,5000,btc-updown-15m-1790420400,27,7,310.65999999999997,89.78401199999999,-18.398288000000004
0.0,saut,5000,btc-updown-5m-1790418900,7,0,0.0,0.0,0.0
0.0,saut,5000,btc-updown-5m-1790419200,13,0,0.0,0.0,0.0
0.0,saut,5000,btc-updown-5m-1790419500,7,1,26.87,12.964775000000001,1.8137250000000003
0.0,saut,5000,btc-updown-5m-1790419800,9,4,200.0,157.76,-3.2400000000000095
0.0,saut,5000,btc-updown-5m-1790420100,4,1,50.0,8.006150000000002,0.25614999999999943
0.0,saut,5000,btc-updown-5m-1790420400,18,7,319.63,-76.70795496,-22.680204959999994
0.0,saut,5000,btc-updown-5m-1790420700,11,6,260.0,102.88993000000002,-49.21006999999999
0.0,saut,5000,btc-updown-5m-1790421000,9,0,0.0,0.0,0.0
0.0,saut,5000,btc-updown-5m-1790421300,5,0,0.0,0.0,0.0
0.0,saut,5000,eth-updown-5m-1790418900,14,11,348.0,-41.06067900000001,-14.590679000000002
0.0,saut,5000,eth-updown-5m-1790419200,7,3,105.08,-61.50027755999999,26.241522439999997
0.0,saut,5000,eth-updown-5m-1790419500,2,2,4.6,2.1276287999999997,0.25312879999999954
0.0,saut,5000,eth-updown-5m-1790419800,11,4,193.38,-143.36390121,-30.946951209999995
0.0,saut,5000,eth-updown-5m-1790420100,22,4,55.0,-14.260185,3.8648149999999974
0.0,saut,5000,eth-updown-5m-1790420400,8,1,50.0,7.529600000000003,2.279600000000004
0.0,saut,5000,eth-updown-5m-1790420700,21,13,451.64,227.68620031999998,-33.879199680000006
0.0,saut,5000,eth-updown-5m-1790421000,2,0,0.0,0.0,0.0
0.0,saut,5000,eth-updown-5m-1790421300,6,2,100.0,0.668200000000005,-1.8317999999999917
0.01,carnet,0,btc-updown-15m-1790419500,30,30,605.72,14.963788620000019,-32.476611379999994
0.01,carnet,0,btc-updown-15m-1790420400,102,102,2051.8,-300.9371844999999,-127.86588449999999
0.01,carnet,0,btc-updown-5m-1790418900,41,41,1220.28,-15.385800580000012,-32.769300580000014
0.01,carnet,0,btc-updown-5m-1790419200,38,38,967.68,238.37462411,82.46042411
0.01,carnet,0,btc-updown-5m-1790419500,19,19,474.81,-24.31620146,-14.549351459999993
0.01,carnet,0,btc-updown-5m-1790419800,23,23,634.73,-271.42711664,-8.483116639999992
0.01,carnet,0,btc-updown-5m-1790420100,23,23,668.84,-180.73344109999996,-20.028341099999984
0.01,carnet,0,btc-updown-5m-1790420400,47,47,1271.48,-77.67694382,-154.46784381999998
0.01,carnet,0,btc-updown-5m-1790420700,50,50,1151.48,-93.18389951,-50.08639951
0.01,carnet,0,btc-updown-5m-1790421000,37,37,1272.2,-604.27231896,-18.657618960000043
0.01,carnet,0,btc-updown-5m-1790421300,15,15,323.64,33.89458900000001,-6.395611000000004
0.01,carnet,0,btc-updown-5m-1790421600,11,11,201.21,,-9.169196150000001
0.01,carnet,0,eth-updown-5m-1790418900,58,58,979.0,-309.37258399999996,-36.927583999999996
0.01,carnet,0,eth-updown-5m-1790419200,131,131,2533.86,49.790436270000015,-112.76466373000001
0.01,carnet,0,eth-updown-5m-1790419500,48,48,704.16,5.851831640000011,3.606431640000001
0.01,carnet,0,eth-updown-5m-1790419800,70,70,1382.37,-360.06348502,-17.371435020000014
0.01,carnet,0,eth-updown-5m-1790420100,42,42,918.58,214.51044137999997,-38.011958619999994
0.01,carnet,0,eth-updown-5m-1790420400,67,67,1169.9,99.41551579,-37.06418421
0.01,carnet,0,eth-updown-5m-1790420700,75,75,1453.15,69.55099641000001,-41.230953590000006
0.01,carnet,0,eth-updown-5m-1790421000,41,41,803.51,-118.47536647000001,12.878083529999977
0.01,carnet,0,eth-updown-5m-1790421300,30,30,472.25,86.09586974999999,10.089619749999995
0.01,carnet,0,eth-updown-5m-1790421600,19,19,348.94,-53.935736780000006,-13.969136780000003
0.01,carnet,25,btc-updown-15m-1790419500,30,30,926.04,59.387437359999986,-52.31736264000002
0.01,carnet,25,btc-updown-15m-1790420400,102,101,3274.19,-617.2354010500001,-177.96245105
0.01,carnet,25,btc-updown-5m-1790418900,41,40,1428.7,-54.728158790000016,-39.93840879000001
0.01,carnet,25,btc-updown-5m-1790419200,38,38,1507.84,272.92404645,105.16704645
0.01,carnet,25,btc-updown-5m-1790419500,19,19,813.69,-82.26539348999998,-26.420643489999993
0.01,carnet,25,btc-updown-5m-1790419800,23,23,776.11,-111.62079378,-14.277143779999994
0.01,carnet,25,btc-updown-5m-1790420100,23,23,957.1800000000001,-215.02020184999995,-28.035601849999978
0.01,carnet,25,btc-updown-5m-1790420400,47,47,1752.76,-186.01487902000002,-194.52257902
0.01,carnet,25,btc-updown-5m-1790420700,50,50,2148.48,141.71895480000003,-26.706445199999994
0.01,carnet,25,btc-updown-5m-1790421000,37,37,1742.55,-975.42519685,-18.435546850000055
0.01,carnet,25,btc-updown-5m-1790421300,15,15,562.64,50.85411767999999,-8.011082320000014
0.01,carnet,25,btc-updown-5m-1790421600,11,11,357.31,,-15.718288630000005
0.01,carnet,25,eth-updown-5m-1790418900,58,53,1408.72,-465.59349796000004,-48.542497960000006
0.01,carnet,25,eth-updown-5m-1790419200,131,129,3326.84,-1.2785258900000542,-126.18742589000001
0.01,carnet,25,eth-updown-5m-1790419500,48,44,1154.02,-25.675542209999982,-4.194142209999988
0.01,carnet,25,eth-updown-5m-1790419800,70,67,2076.24,-437.86484362000004,-74.08194362
0.01,carnet,25,eth-updown-5m-1790420100,42,42,1786.83,449.92242381999995,-72.40332618
0.01,carnet,25,eth-updown-5m-1790420400,67,66,2187.26,124.08160775,-47.93889224999999
0.01,carnet,25,eth-updown-5m-1790420700,75,73,2444.42,51.938623400000004,-66.33457659999999
0.01,carnet,25,eth-updown-5m-1790421000,41,41,1407.48,-277.41802657,14.359273429999995
0.01,carnet,25,eth-updown-5m-1790421300,30,30,894.81,77.66194007,16.24209006999999
0.01,carnet,25,eth-updown-5m-1790421600,19,18,628.0,-75.911524,-22.02152400000001
0.01,carnet,50,btc-updown-15m-1790419500,30,30,1029.2,-18.18688486000002,-77.57808486000002
0.01,carnet,50,btc-updown-15m-1790420400,102,101,3658.6,-611.9375408700001,-179.33224087000002
0.01,carnet,50,btc-updown-5m-1790418900,41,39,1492.8899999999999,-59.99111786000002,-48.21136786000001
0.01,carnet,50,btc-updown-5m-1790419200,38,38,1584.17,367.0437400900001,150.67459008999998
0.01,carnet,50,btc-updown-5m-1790419500,19,18,798.54,-74.45933671999998,-25.36083671999999
0.01,carnet,50,btc-updown-5m-1790419800,23,23,818.21,-134.99242308,-10.930273079999989
0.01,carnet,50,btc-updown-5m-1790420100,23,23,1085.25,-243.72244824999993,-23.54429824999998
0.01,carnet,50,btc-updown-5m-1790420400,47,46,2038.66,-142.97176782000003,-209.04026782000003
0.01,carnet,50,btc-updown-5m-1790420700,50,50,2198.86,141.97070212000006,-29.555797879999997
0.01,carnet,50,btc-updown-5m-1790421000,37,37,1779.22,-963.12872156,-22.286621560000054
0.01,carnet,50,btc-updown-5m-1790421300,15,15,596.32,53.86523783999998,-8.572362160000017
0.01,carnet,50,btc-updown-5m-1790421600,11,11,440.32,,-19.567514000000013
0.01,carnet,50,eth-updown-5m-1790418900,58,50,1358.0,-417.96614,-48.71114000000001
0.01,carnet,50,eth-updown-5m-1790419200,131,125,3762.75,-151.49957961000004,-103.34642961000003
0.01,carnet,50,eth-updown-5m-1790419500,48,41,1113.26,-27.048975089999985,-3.267075089999985
0.01,carnet,50,eth-updown-5m-1790419800,70,69,2332.73,-452.82925875,-70.56380875
0.01,carnet,50,eth-updown-5m-1790420100,42,42,1903.34,466.23635745,-71.72844255
0.01,carnet,50,eth-updown-5m-1790420400,67,66,2039.01,165.04628605,-25.726363949999993
0.01,carnet,50,eth-updown-5m-1790420700,75,72,2616.72,116.72714777000002,-67.85045222999999
0.01,carnet,50,eth-updown-5m-1790421000,41,41,1566.53,-330.22750851999996,14.40544147999999
0.01,carnet,50,eth-updown-5m-1790421300,30,30,1041.13,67.55281035,16.274060349999985
0.01,carnet,50,eth-updown-5m-1790421600,19,18,615.0,-79.28043400000001,-20.325434000000012
0.01,carnet,100,btc-updown-15m-1790419500,30,29,1023.0,32.12698991999999,-66.15481008000002
0.01,carnet,100,btc-updown-15m-1790420400,102,99,4101.68,-858.5721108700001,-167.04541087000004
0.01,carnet,100,btc-updown-5m-1790418900,41,38,1677.67,-73.25160300000002,-55.41835300000002
0.01,carnet,100,btc-updown-5m-1790419200,38,38,1549.24,290.76130847999997,134.25730848
0.01,carnet,100,btc-updown-5m-1790419500,19,18,900.0,-102.20539999999998,-25.205399999999987
0.01,carnet,100,btc-updown-5m-1790419800,23,23,835.44,-151.64756426999995,-19.254864269999988
0.01,carnet,100,btc-updown-5m-1790420100,23,23,1032.67,-231.60921299999993,-22.22986299999997
0.01,carnet,100,btc-updown-5m-1790420400,47,45,2121.83,-164.58202321000002,-232.27827321
0.01,carnet,100,btc-updown-5m-1790420700,50,49,2329.0,125.04851599999999,-44.266484000000005
0.01,carnet,100,btc-updown-5m-1790421000,37,37,1814.22,-937.0012015600001,-26.226301560000046
0.01,carnet,100,btc-updown-5m-1790421300,15,14,524.96,26.980437519999988,-9.472362480000017
0.01,carnet,100,btc-updown-5m-1790421600,11,11,415.32,,-18.03186900000001
0.01,carnet,100,eth-updown-5m-1790418900,58,48,1488.67,-462.22185780000007,-48.048607800000006
0.01,carnet,100,eth-updown-5m-1790419200,131,124,4254.66,70.04115306999998,-128.46244693000003
0.01,carnet,100,eth-updown-5m-1790419500,48,36,1058.4,-53.475249269999985,-7.560049269999988
0.01,carnet,100,eth-updown-5m-1790419800,70,65,2222.22,-502.08849733999995,-52.93419733999999
0.01,carnet,100,eth-updown-5m-1790420100,42,42,1892.27,469.74637624999997,-68.98597375
0.01,carnet,100,eth-updown-5m-1790420400,67,66,2600.68,274.33849452,-12.559805479999998
0.01,carnet,100,eth-updown-5m-1790420700,75,70,2753.26,240.73452561999994,-65.48297437999999
0.01,carnet,100,eth-updown-5m-1790421000,41,41,1798.63,-377.78265327,-2.6411032699999994
0.01,carnet,100,eth-updown-5m-1790421300,30,30,1015.9,84.65982862999998,12.882828629999985
0.01,carnet,100,eth-updown-5m-1790421600,19,17,610.0,-53.74809,-17.398090000000014
0.01,carnet,150,btc-updown-15m-1790419500,30,27,1002.98,-22.974910560000012,-68.63161056000001
0.01,carnet,150,btc-updown-15m-1790420400,102,98,4155.66,-994.34659458,-160.69939458000005
0.01,carnet,150,btc-updown-5m-1790418900,41,36,1634.56,-88.91259476,-52.82164476000001
0.01,carnet,150,btc-updown-5m-1790419200,38,38,1510.24,214.39652547999998,118.03752547999999
0.01,carnet,150,btc-updown-5m-1790419500,19,18,900.0,-102.20539999999998,-25.70539999999999
0.01,carnet,150,btc-updown-5m-1790419800,23,23,911.71,-204.38560662999998,-15.431156629999984
0.01,carnet,150,btc-updown-5m-1790420100,23,23,1049.96,-231.54077124999992,-18.80047124999997
0.01,carnet,150,btc-updown-5m-1790420400,47,45,2122.58,-169.75915461000002,-236.65415461
0.01,carnet,150,btc-updown-5m-1790420700,50,49,2304.66,137.31051668000003,-45.62558332
0.01,carnet,150,btc-updown-5m-1790421000,37,37,1808.44,-938.1670081200001,-26.32500812000004
0.01,carnet,150,btc-updown-5m-1790421300,15,14,542.29,29.72765923,-6.138090770000017
0.01,carnet,150,btc-updown-5m-1790421600,11,11,258.4,,-11.956714040000003
0.01,carnet,150,eth-updown-5m-1790418900,58,48,1376.33,-473.97495123999994,-43.78465124
0.01,carnet,150,eth-updown-5m-1790419200,131,123,4422.94,-36.90549173000005,-111.81319173000003
0.01,carnet,150,eth-updown-5m-1790419500,48,33,1050.0,-35.283040999999976,-4.643040999999982
0.01,carnet,150,eth-updown-5m-1790419800,70,66,2202.6,-478.9912896699999,-62.82178966999999
0.01,carnet,150,eth-updown-5m-1790420100,42,41,1828.21,431.07440907999995,-73.82004092
0.01,carnet,150,eth-updown-5m-1790420400,67,65,2646.51,296.08456273,2.9308627300000176
0.01,carnet,150,eth-updown-5m-1790420700,75,69,2795.57,223.60643098999998,-61.81191901
0.01,carnet,150,eth-updown-5m-1790421000,41,39,1815.67,-377.36993264,-0.6750826400000185
0.01,carnet,150,eth-updown-5m-1790421300,30,29,933.67,61.94181903999999,2.0324690399999783
0.01,carnet,150,eth-updown-5m-1790421600,19,17,610.0,-53.22954,-16.879540000000016
0.01,carnet,200,btc-updown-15m-1790419500,30,27,1014.66,-31.802303520000002,-66.45620352000002
0.01,carnet,200,btc-updown-15m-1790420400,102,98,4184.13,-965.6980914600001,-163.38244146000002
0.01,carnet,200,btc-updown-5m-1790418900,41,36,1334.98,-41.22441349000001,-29.942063490000013
0.01,carnet,200,btc-updown-5m-1790419200,38,38,1626.26,171.90773448,102.45663447999999
0.01,carnet,200,btc-updown-5m-1790419500,19,18,900.0,-102.20539999999998,-25.205399999999987
0.01,carnet,200,btc-updown-5m-1790419800,23,23,866.05,-238.89685657999996,-21.24380657999999
0.01,carnet,200,btc-updown-5m-1790420100,23,23,1026.41,-225.99120624999992,-18.428856249999967
0.01,carnet,200,btc-updown-5m-1790420400,47,45,2131.33,-171.67865649000004,-236.43990649
0.01,carnet,200,btc-updown-5m-1790420700,50,49,2290.24,153.78229112000002,-54.90590888
0.01,carnet,200,btc-updown-5m-1790421000,37,37,1813.44,-933.5260481200002,-28.135648120000035
0.01,carnet,200,btc-updown-5m-1790421300,15,14,587.92,35.90226503999999,-6.8285349600000185
0.01,carnet,200,btc-updown-5m-1790421600,11,11,236.4,,-9.402193040000004
0.01,carnet,200,eth-updown-5m-1790418900,58,46,1515.33,-553.00527756,-48.04122756
0.01,carnet,200,eth-updown-5m-1790419200,131,123,4142.92,29.643961159999947,-89.40653884000002
0.01,carnet,200,eth-updown-5m-1790419500,48,32,969.42,-60.77539303999999,-9.858493039999987
0.01,carnet,200,eth-updown-5m-1790419800,70,63,2134.29,-338.53769715999994,-86.68544715999997
0.01,carnet,200,eth-updown-5m-1790420100,42,41,1800.64,446.73957522,-69.16042478
0.01,carnet,200,eth-updown-5m-1790420400,67,66,3009.41,280.1470637,0.7035137000000051
0.01,carnet,200,eth-updown-5m-1790420700,75,65,2694.99,177.04667078,-78.07587922
0.01,carnet,200,eth-updown-5m-1790421000,41,40,1851.0,-387.023582,-1.1685820000000207
0.01,carnet,200,eth-updown-5m-1790421300,30,30,932.91,95.34038312000001,9.299333119999982
0.01,carnet,200,eth-updown-5m-1790421600,19,15,590.0,-35.49222000000001,-14.442220000000015
0.01,carnet,300,btc-updown-15m-1790419500,30,26,1150.0,-82.08184999999999,-86.83185
0.01,carnet,300,btc-updown-15m-1790420400,102,98,4381.21,-886.3986596199998,-170.40890962000003
0.01,carnet,300,btc-updown-5m-1790418900,41,33,1334.26,-26.71493102000001,-35.12098102000001
0.01,carnet,300,btc-updown-5m-1790419200,38,37,1535.0,136.100945,85.97594499999998
0.01,carnet,300,btc-updown-5m-1790419500,19,18,900.0,-100.68124999999999,-24.18125
0.01,carnet,300,btc-updown-5m-1790419800,23,22,924.14,-274.67516398999993,-31.10826399000003
0.01,carnet,300,btc-updown-5m-1790420100,23,23,958.7,-192.60787699999992,-17.973276999999968
0.01,carnet,300,btc-updown-5m-1790420400,47,45,2203.51,-194.05978932000008,-250.08593932000002
0.01,carnet,300,btc-updown-5m-1790420700,50,49,2094.97,137.60767924000004,-48.92107075999999
0.01,carnet,300,btc-updown-5m-1790421000,37,37,1791.88,-941.8072312400002,-27.15143124000003
0.01,carnet,300,btc-updown-5m-1790421300,15,14,624.0,47.02264799999998,-7.137352000000019
0.01,carnet,300,btc-updown-5m-1790421600,11,11,316.4,,-13.497248040000008
0.01,carnet,300,eth-updown-5m-1790418900,58,45,1592.18,-559.78533876,-57.33503876000001
0.01,carnet,300,eth-updown-5m-1790419200,131,122,4592.27,255.36973102999997,-75.29456897000003
0.01,carnet,300,eth-updown-5m-1790419500,48,30,1021.0,-44.865501999999985,-12.13050199999999
0.01,carnet,300,eth-updown-5m-1790419800,70,61,1956.14,-396.3069148799999,-75.87541487999997
0.01,carnet,300,eth-updown-5m-1790420100,42,40,1780.82,437.63937576000006,-62.79582424
0.01,carnet,300,eth-updown-5m-1790420400,67,67,2749.7,308.9234327,47.323132700000016
0.01,carnet,300,eth-updown-5m-1790420700,75,65,2713.75,182.65215979999996,-88.0285902
0.01,carnet,300,eth-updown-5m-1790421000,41,40,1791.2,-371.3007273,-2.296727300000019
0.01,carnet,300,eth-updown-5m-1790421300,30,29,854.64,40.07483347999999,-1.184466520000019
0.01,carnet,300,eth-updown-5m-1790421600,19,15,590.0,-35.49222000000001,-14.442220000000015
0.01,carnet,500,btc-updown-15m-1790419500,30,25,1066.64,-92.80780056000002,-81.31340056
0.01,carnet,500,btc-updown-15m-1790420400,102,98,4498.59,-907.1007938199999,-187.81534382000004
0.01,carnet,500,btc-updown-5m-1790418900,41,34,1289.9,-27.82554246000001,-37.427342460000006
