margin,trigger,latency_ms,hour,n_opp,n_filled,shares,pnl,markout,n_markets
0.0,saut,0,2026-09-26 11:00:00+00:00,107,107,2713.76,478.22854708,167.93794708,9
0.0,saut,25,2026-09-26 10:00:00+00:00,105,95,2628.24,119.53954739999999,124.36699739999997,11
0.0,saut,25,2026-09-26 11:00:00+00:00,107,91,2541.49,491.96905661999995,160.55640662,9
0.0,saut,50,2026-09-26 10:00:00+00:00,105,93,2483.16,31.981318630000004,124.07236862999999,11
0.0,saut,50,2026-09-26 11:00:00+00:00,107,85,2459.83,460.6003750599999,169.42502506,9
0.0,saut,100,2026-09-26 10:00:00+00:00,105,78,2129.37,-23.258504180000003,56.507195819999986,11
0.0,saut,100,2026-09-26 11:00:00+00:00,107,73,2067.27,452.88577508000003,102.56022508,9
0.0,saut,150,2026-09-26 10:00:00+00:00,105,67,1909.75,68.64049745,62.28369744999998,11
0.0,saut,150,2026-09-26 11:00:00+00:00,107,67,1918.69,309.94903594000004,64.11328594000001,9
0.0,saut,200,2026-09-26 10:00:00+00:00,105,57,1588.85,166.43962322,17.806523219999995,11
0.0,saut,200,2026-09-26 11:00:00+00:00,107,61,1631.08,280.32484483,78.10074483,9
0.0,saut,300,2026-09-26 10:00:00+00:00,105,49,1393.02,64.71561238000001,-16.75633762,11
0.0,saut,300,2026-09-26 11:00:00+00:00,107,49,1540.54,500.0314169599999,13.198816959999977,9
0.0,saut,500,2026-09-26 10:00:00+00:00,105,36,1045.18,265.6134503899999,11.57190039,11
0.0,saut,500,2026-09-26 11:00:00+00:00,107,33,1149.02,297.40039628,34.700696279999995,9
0.0,saut,750,2026-09-26 10:00:00+00:00,105,33,1043.48,179.88287567999998,-6.819874320000004,11
0.0,saut,750,2026-09-26 11:00:00+00:00,107,31,1279.17,335.87170932000004,23.076859320000004,9
0.0,saut,1000,2026-09-26 10:00:00+00:00,105,34,1190.32,134.10723239999996,-26.736267600000005,11
0.0,saut,1000,2026-09-26 11:00:00+00:00,107,33,1139.4,254.46605088,-5.752549119999996,9
0.0,saut,2000,2026-09-26 10:00:00+00:00,105,34,1292.8,-18.96160496000001,1.0926950399999797,11
0.0,saut,2000,2026-09-26 11:00:00+00:00,107,31,1269.97,244.44024131000003,-68.68120869,9
0.0,saut,5000,2026-09-26 10:00:00+00:00,105,30,982.93,-79.32648897000001,-16.34828897000001,11
0.0,saut,5000,2026-09-26 11:00:00+00:00,107,36,1491.93,351.84998735999994,-123.71996263999998,9
0.01,carnet,0,2026-09-26 10:00:00+00:00,525,525,11150.03,-607.0537267800001,-228.56172678,12
0.01,carnet,0,2026-09-26 11:00:00+00:00,492,492,10459.56,-1085.69240524,-434.6929052400001,11
0.01,carnet,25,2026-09-26 10:00:00+00:00,525,510,16222.21,-581.05926996,-382.47766996,12
0.01,carnet,25,2026-09-26 11:00:00+00:00,492,487,17339.9,-1886.64210242,-545.8038024200001,11
0.01,carnet,50,2026-09-26 10:00:00+00:00,525,500,17338.34,-716.6622866800001,-333.81338668,12
0.01,carnet,50,2026-09-26 11:00:00+00:00,492,485,18530.37,-1822.8346826399998,-550.3313326400001,11
0.01,carnet,100,2026-09-26 10:00:00+00:00,525,486,17994.24,-683.0697769600001,-361.24347696,12
0.01,carnet,100,2026-09-26 11:00:00+00:00,492,477,20025.48,-1868.2895256200002,-581.2736256200001,11
