group,K,lookback_h,delay_s,price_estimator,n_events,n_filled,n_discarded_no_trade_10s,n_wallets,n_slots,mean_price,mean_wait_s,win_rate,pnl_gross_per_share,mean_fee_per_share,pnl_per_share,pnl_lo,pnl_hi,pnl_se,pnl_bonf_lo,pnl_bonf_hi,roi,roi_lo,roi_hi,pnl_per_share_size_weighted,pnl_sw_lo,pnl_sw_hi,leader_own_pnl_per_share_same_events,leader_own_lo,leader_own_hi,leader_own_pnl_per_share_all_events,leader_price_mean,leader_taker_share
hors_echantillon,5,1,20,vwap,17282,14989,2293,80,166,0.5294576712015707,1.5434652078190674,0.522716658883181,-0.006741012318389731,0.011749312757898164,-0.018490325076287895,-0.033735497212332585,-0.003264739108673232,0.007891053702792986,-0.046960745929200125,0.009980095776624336,-0.03416497869449637,-0.06289401602493638,-0.006088769167868497,-0.015113069147322898,-0.05040181472112956,0.018579027662809545,-0.005199174938394633,-0.021261653663289703,0.010821863975814229,-0.00608038905728272,0.5208584048382702,0.6681729286474319
hors_echantillon,5,1,20,best,17282,14989,2293,80,166,0.5268676089530923,1.5434652078190674,0.522716658883181,-0.00415095006991126,0.011767898987713592,-0.015918849057624848,-0.03138441568546967,-0.0007901487739536237,0.007875603168270457,-0.044333525362745804,0.012495827247496111,-0.029554028323313337,-0.058335003128850205,-0.0014557404529253145,-0.01326787028798898,-0.048162589017460664,0.020594036380749053,-0.005199174938394633,-0.021261653663289703,0.010821863975814229,-0.00608038905728272,0.5208584048382702,0.6681729286474319
hors_echantillon,5,1,30,first,17282,14470,2812,80,166,0.5247594677038839,1.1890117484450586,0.5201105736005529,-0.004648894103331031,0.011518945798039203,-0.016167839901370232,-0.03185649986595461,-0.0013576411514227013,0.007737464744933329,-0.04408412154381468,0.01174844174107421,-0.03014822057780301,-0.05975242679963089,-0.0024938395797900214,-0.009830559460713113,-0.04786453842663967,0.024275997382754943,-0.0071887842938163134,-0.024036352275141764,0.010063433883178608,-0.00608038905728272,0.5201511290448577,0.666417971256332
hors_echantillon,5,1,30,vwap,17282,14470,2812,80,166,0.5267092524077314,1.1890117484450586,0.5201105736005529,-0.00659867880717845,0.011494912971212844,-0.018093591778391285,-0.03293180719014067,-0.0026465414327293967,0.007933725046319971,-0.04671796813006568,0.010530784573283106,-0.03361845363209288,-0.061346441798075205,-0.004873992654259048,-0.011565499955810911,-0.052790676380292924,0.022225457584437596,-0.0071887842938163134,-0.024036352275141764,0.010063433883178608,-0.00608038905728272,0.5201511290448577,0.666417971256332
hors_echantillon,5,1,30,best,17282,14470,2812,80,166,0.5242760585618106,1.1890117484450586,0.5201105736005529,-0.0041654849612577675,0.011519442144209002,-0.015684927105466772,-0.030572520783911095,-0.00030681610442879174,0.007942861570233486,-0.044342267455454644,0.0129724132445211,-0.029274092605851836,-0.05717381249759892,-0.0005753408220445543,-0.009350577929271386,-0.05044393715317901,0.02450500402690391,-0.0071887842938163134,-0.024036352275141764,0.010063433883178608,-0.00608038905728272,0.5201511290448577,0.666417971256332
hors_echantillon,5,1,60,first,17282,12781,4501,78,166,0.5297422628862687,1.2304201549174556,0.5249980439715203,-0.004744218914748456,0.01079639371506574,-0.015540612629814193,-0.031760612611492885,0.00021026480453584172,0.008219433836198446,-0.04519580815920339,0.014114582899575002,-0.028750233567986824,-0.05931942306820787,0.0003868085941687411,-0.006336617284288089,-0.04576591186103523,0.03147463524837569,-0.011078435868219284,-0.03075923970044825,0.00857667665562242,-0.00608038905728272,0.5287121246978712,0.6647571735555095
hors_echantillon,5,1,60,vwap,17282,12781,4501,78,166,0.5317841718887691,1.2304201549174556,0.5249980439715203,-0.006786127917249004,0.010758854016505925,-0.017544981933754925,-0.03401603323096221,-0.001164042228330423,0.008349698889014164,-0.04767016550476366,0.012580201637253815,-0.032338415749570755,-0.06296625219523107,-0.0021811645585164017,-0.008015971958005345,-0.04908654291026988,0.028873389108557204,-0.011078435868219284,-0.03075923970044825,0.00857667665562242,-0.00608038905728272,0.5287121246978712,0.6647571735555095
hors_echantillon,5,1,60,best,17282,12781,4501,78,166,0.5293058960964478,1.2304201549174556,0.5249980439715203,-0.0043078521249276195,0.010796871114831998,-0.015104723239759617,-0.03166322526231098,0.0013087849953923683,0.00835440672053601,-0.04524689236805637,0.015037445888537134,-0.027966387429840523,-0.059023266432311663,0.002465313738576165,-0.005850864073989438,-0.04711499392082943,0.03087404642737073,-0.011078435868219284,-0.03075923970044825,0.00857667665562242,-0.00608038905728272,0.5287121246978712,0.6647571735555095
hors_echantillon,10,1,0,first,40014,37429,2585,143,167,0.5158810124976463,1.2903363701942345,0.5147879986107029,-0.0010930138869432809,0.012447284117678443,-0.013540298004621726,-0.021213132399458438,-0.00559975337681931,0.004027636469831555,-0.028071754722253234,0.000991158713009782,-0.0256285686217568,-0.04034147346555247,-0.010622962702725206,-0.009246663001471946,-0.029270123718074696,0.00827789887282242,-0.00024874318986827686,-0.008135687849075575,0.007692901430802739,-0.0006519257525612658,0.5096439577475516,0.5560931667009852
hors_echantillon,10,1,0,vwap,40014,37429,2585,143,167,0.5180704801546668,1.2903363701942345,0.5147879986107029,-0.0032824815439638916,0.012426573746614022,-0.015709055290577915,-0.02357537371764925,-0.007946492718146517,0.0040070944900229555,-0.030166397849019776,-0.0012517127321360552,-0.029611955759326767,-0.044523086956628835,-0.014879469888145829,-0.011463719216161928,-0.032185063091663656,0.006671781310465588,-0.00024874318986827686,-0.008135687849075575,0.007692901430802739,-0.0006519257525612658,0.5096439577475516,0.5560931667009852
hors_echantillon,10,1,0,best,40014,37429,2585,143,167,0.515294472895434,1.2903363701942345,0.5147879986107029,-0.0005064742847310835,0.012445689275790248,-0.012952163560521333,-0.02084646384027354,-0.0051567822348141295,0.004013930887231633,-0.027434171406132617,0.0015298442850899506,-0.02454269068178107,-0.03961932503738562,-0.009646217535346509,-0.00861557711961421,-0.02922725727641133,0.00926724559778489,-0.00024874318986827686,-0.008135687849075575,0.007692901430802739,-0.0006519257525612658,0.5096439577475516,0.5560931667009852
hors_echantillon,10,1,1,first,40014,37294,2720,143,167,0.5163296170789349,1.2997801254893548,0.514801308521478,-0.0015283085574569657,0.012398237744359676,-0.01392654630181664,-0.02196561615419554,-0.006466711174619319,0.003987677085081567,-0.02831383209580421,0.0004607394921709255,-0.026339725011217754,-0.04153558264221147,-0.012227110367540756,-0.009976085473235271,-0.03011055845840345,0.007971082826673859,2.408636009035388e-05,-0.007736433710442445,0.007997304773719722,-0.0006519257525612658,0.5093925859168557,0.5559062167409536
hors_echantillon,10,1,1,vwap,40014,37294,2720,143,167,0.518510508346761,1.2997801254893548,0.514801308521478,-0.0037091998252829603,0.012363569026719165,-0.016072768852002123,-0.023608373246531894,-0.008047186380764532,0.003977055358867738,-0.030421732132054055,-0.0017238055719501905,-0.030276047629831097,-0.04440693780043376,-0.0151130184536267,-0.012093877524180452,-0.03268979473074873,0.0058915741993659345,2.408636009035388e-05,-0.007736433710442445,0.007997304773719722,-0.0006519257525612658,0.5093925859168557,0.5559062167409536
hors_echantillon,10,1,1,best,40014,37294,2720,143,167,0.515776770823725,1.2997801254893548,0.514801308521478,-0.0009754623022470028,0.012397808764736918,-0.013373271066983926,-0.020788950358508782,-0.005330604306232616,0.003983483625165166,-0.027745427123784746,0.0009988849898168936,-0.025319793083196065,-0.03955468576643535,-0.009973615934106986,-0.009299494932300353,-0.030006313492646593,0.008753631632139651,2.408636009035388e-05,-0.007736433710442445,0.007997304773719722,-0.0006519257525612658,0.5093925859168557,0.5559062167409536
hors_echantillon,10,1,2,first,40014,37297,2717,143,167,0.5161948555270316,1.267286913156554,0.5144113467571119,-0.0017835087699198326,0.012342915171925227,-0.014126423941845063,-0.02244392923619872,-0.00636703405111352,0.004088715414042599,-0.028878249613032734,0.0006254017293426083,-0.026727368837167087,-0.04230505802985195,-0.011946988268543448,-0.009546377789422786,-0.029683143481668967,0.009140585715525187,4.5440842403607976e-05,-0.007861014047534717,0.008044889168721222,-0.0006519257525612658,0.5089838701016213,0.5541556653580284
