leaderboard,rank,wallet,user_name,lb_pnl,lb_vol,our_pnl,our_volume,rank_pnl,rank_vol
day_pnl,1,0x1465b79bff7992bc703e1aafb3683b1089647072,JnStrtPrdctnMrkts,30296.655391402543,1000.0,,,,
day_pnl,2,0x111f73e91f85b6fe4de1ddec3de2fe32122e355b,Papeasy,26893.60124841993,0.0,,,,
day_pnl,3,0x7e3471906a6a168f57a4a2ba7ed27206b1b34cc1,Lecsoman,9774.966549880002,0.0,,,,
day_pnl,4,0x252d7bae5ec87553dcafb23e275c202ac0d3c456,getbipped,8967.608074356554,42774.689712,,,,
day_pnl,5,0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6,suntori,8490.120411285496,211685.121753,8501.667114634241,90711.37360211459,1.0,27.0
day_pnl,6,0x56ad6bd05999e0f33ea9c05a48ccb1364a46f13e,floatingraft,6224.083375316011,1695.625027,,,,
day_pnl,7,0xf53e7cc2894cba22dcdc40de936513a502ef16e3,VelvetNova27,5790.806065000128,0.0,,,,
day_pnl,8,0xe609d476ebecc64e55788b4595fc53c343a1d4d4,TahitiBob,5688.183178309584,0.0,,,,
day_pnl,9,0x8b4bca1d794779e66e023d44391b2a86c5ab541b,0x8B4bcA1D794779E66e023D44391B2A86C5ab541B-1769764313952,5245.5489482637495,0.0,,,,
day_pnl,10,0x2b5f1cc489c7b9ed74e47bc3bf5bc808e59f7750,sharkchilli0077,5069.35411725,4208.701705,-64.06998896463718,191.1556999646372,8446.0,3396.0
day_pnl,11,0x42d150e0171590b28332a61b3f4cfca0a34cdab6,notprofitabl,5030.5089408806525,0.0,,,,
day_pnl,12,0x4755188644460fc8140a18ccefc1e80b6a5e4158,schizohedgehog,4482.593336630003,123.68,,,,
day_pnl,13,0x19c3b385be5667154fc69c87d8f7914be84087c1,KatsuManager87,4451.127395000076,0.0,,,,
day_pnl,14,0x3708cef9f92678df15a0473e36c45d68a16cdaf9,0x3708CEF9f92678DF15A0473e36c45d68A16cdAf9-1780222715877,3977.60407345,106844.998732,3385.662187016482,58771.419259983515,6.0,65.0
day_pnl,15,0x36f4c21a7ed49120c9e19966df5b0f658166ab1e,snoozer,3952.6611576815008,0.0,,,,
day_pnl,16,0xe959dbf6595b9983cb120a4fba078edbcf16af51,ArtDettt,3631.15085,9044.58667,,,,
day_pnl,17,0x12390f4098dcd87de380db7c11c65cf7af2143b6,BlagmanDepend,3416.5929859999997,5239.9255809999995,394.12329205559445,4746.832448944406,183.0,566.0
day_pnl,18,0x5f376822451bd49a69b8a62e6c716d1118d238ff,norbeszbete1,3308.593400000005,0.0,,,,
day_pnl,19,0x409a9bf06267b54426dba8f6f62738d8ff838470,erwgrwegr,3196.037273725,1000.0,1748.9953100295916,4993.405144970409,30.0,553.0
day_pnl,20,0x941743de228c1339b996ae09cc84bd8179d86e5e,0x941743De228c1339B996ae09cc84BD8179D86e5e-1780214631894,3115.6343383499952,118282.62993200004,2732.575255068711,68709.6273899313,12.0,45.0
day_pnl,21,0x091ccc435273c422260279c8a8277170b2dc182e,blahblah344,3007.609385000018,0.0,,,,
day_pnl,22,0xa2f1fecf1cc7db65a46588f764b6691533052d22,elPolloLoco,2923.886623291496,30963.112763,,,,
day_pnl,23,0x4c9497941333332d29f1c235dd23200f3623ffad,spartacray,2881.49118794,309524.9767120002,2551.6728751515047,176736.5279578485,13.0,11.0
day_pnl,24,0x143d5d9aaba4691b2c648238380cbfe41b445dc3,PaciusMarkovi,2847.5337710000003,4457.746799999999,2828.5824810024833,1610.2130289975164,11.0,1128.0
day_pnl,25,0xca79076e2d13b8930e0c3a4649c06c65449a4796,EamonnD1812,2834.6894949999987,0.0,,,,
day_pnl,26,0x744c072005bde6ddab8764a7477f61d3d22ae37f,Egozic86,2672.0254463249976,52711.569529,,,,
day_pnl,27,0xe339bba7fba043520d83516ce22add16beb6e01b,12Alexander12,2644.6733213384996,5142.019734,,,,
day_pnl,28,0x5380555499c258e06330d364f3828079951ed4b3,rear,2616.9065028900022,14875.573670999998,3121.5019201501937,17459.229141849108,8.0,215.0
day_pnl,29,0x6138b966436f811bc0e3f0d35f1fb14b869b97a0,tradexplorer,2613.9672638215125,0.0,,,,
day_pnl,30,0x99f6d49711a91c4dbd9e28c48a3508fae92f37fc,0x99F6D49711a91C4DBd9e28c48a3508FAE92F37fc-1760627151725,2562.523796874999,0.0,,,,
day_pnl,31,0x1cd24cc49782240413903b4b7e7694779f917f85,bitterfish,2552.6867142445117,0.0,,,,
day_pnl,32,0x138b1b19b71472e3c1a89f076927edd974cd0467,bZk0Uo,2530.0325579310006,11285.117579000002,,,,
