wallet,n_hours_top10,pnl_in_top10_hours,n_hours_active,pnl_48h,pnl_incl_rebate_48h,volume_48h,markets_per_active_hour,name,pseudonym,taker_share_48h,pnl_outside_top10_hours
0xa6657ab4eb9d92c8bbfb1d1d52ce7205e4ca01e3,2,1717.3511279985132,33,3784.3116800145076,3796.8586806346757,19272.069287985494,2.1515151515151514,MikeAddon,Funny-Keyboarding,0.6808438686014782,2066.9605520159944
0x0c7c5204404e9d5402d258fedac59c7212bae4cb,2,898.7665939922883,48,3735.9272610213498,3735.9272610213498,121195.27195697866,35.6875,OhioRiskManagement,Palatable-Patent,1.0,2837.160667029061
0x9412cdfc1e3171e1aabb013d0f494986445d0cd0,2,2829.5074310099535,48,3297.262323121159,3541.5441872973533,61974.54384187884,4.104166666666667,gansinimen,Svelte-Chicory,0.2589891204498281,467.75489211120566
0x44832d0d2ec11187c1e77d786feb15f6a50254c6,2,1690.6798620029076,48,3243.6339740061603,3268.0100479322987,54772.92893799384,4.854166666666667,NIULAI4,Utter-Paramecium,0.6803742084374964,1552.9541120032527
0x239e726f1f4131ca78a7e5abf1fec86bfc151c10,2,810.3985109838816,46,3043.7377280531787,3727.435478697559,176057.50362294682,11.369565217391305,EZTRADENL2,Fluid-Boy-Catamaran,0.13335200037983738,2233.339217069297
0xbc5887953750f812be60e57ba6e178c847d65e72,2,940.708070999195,48,2858.192946001135,3464.0474217779933,126651.84092999887,11.979166666666666,1000monkeys,Ill-Informed-Full,0.0,1917.48487500194
0x7cf89836b082aab85b137d45bfc6b991cf2104ae,2,1067.5566340062373,48,2613.5162070434635,3378.664712722789,118606.03934897471,32.125,Alpharo28,Thin-Saint,0.004200753188746575,1545.9595730372262
0xbd0f6c867e2a852807ef8fcdd76d696053da48fd,2,2377.7329139953254,48,2150.1709589887314,2478.1860653377435,44738.87952601127,17.770833333333332,FatSlag,Tidy-Set,0.0,-227.56195500659396
0x90c7c48c0363f46320a091e4acdbf0933cbcf260,2,1502.6556520031286,5,2120.004535900371,2127.41898391444,23597.080006161817,9.4,fg0018,Striking-Neighbor-Grandmom,0.6567955442834075,617.3488838972426
0x071a80774cef3eea0c610a1d1f8a788e795d7400,2,1423.3523399838082,44,2067.139838963311,2072.186083298276,36951.38602203669,2.340909090909091,CnR89,Fixed-Garbage-Skyscraper,0.95895819385242,643.7874989795027
