group,t_rel_s,n_fills,share_of_group_fills,notional,share_of_group_notional
top10_heure,-2,14,0.00015695595143334418,310.0349439925829,0.00011240590457910973
top10_heure,-1,115,0.0012892810296310413,3732.8360520699202,0.0013533726478537538
top10_heure,0,83,0.000930524569211969,1735.8454079715716,0.0006293460691231186
top10_heure,1,7,7.847797571667209e-05,128.80776499656312,4.670039175196473e-05
top10_heure,2,120,0.0013453367265715214,2204.6159159991685,0.0007993029530675021
top10_heure,3,209,0.0023431281321120664,5019.081362002395,0.0018197122343264838
top10_heure,4,91,0.001020213684316737,1753.7563449836973,0.0006358398373764017
top10_heure,5,421,0.0047198896823884215,8854.578996987917,0.003210305744914432
top10_heure,6,430,0.004820789936881285,10860.031835850928,0.003937400367024297
top10_heure,7,99,0.0011099027994215052,3108.7083609697156,0.001127089646371611
top10_heure,8,492,0.005515880578943238,11424.357823845941,0.004142001733377365
top10_heure,9,396,0.004439611197686021,8599.668615006065,0.003117885736691223
top10_heure,10,87,0.000975369126764353,884.1466830175752,0.0003205551813139732
top10_heure,11,518,0.005807370203033734,12592.254573104068,0.004565433004913331
top10_heure,12,454,0.0050898572821955895,13866.2896560638,0.0050273456658585305
top10_heure,13,83,0.000930524569211969,1973.3448990023164,0.0007154536052046891
top10_heure,14,506,0.005672836530376582,12765.242980058876,0.004628151478241033
top10_heure,15,357,0.004002376761550276,12529.66987012508,0.004542742368623841
top10_heure,16,82,0.000919313429823873,3344.1116059264405,0.0012124371699425392
top10_heure,17,481,0.005392558045674182,11788.028170994743,0.004273853626629881
top10_heure,18,398,0.004462033476462213,10696.585838018094,0.003878141578322484
top10_heure,19,81,0.000908102290435777,2579.3963229787296,0.000935182896542752
top10_heure,20,529,0.005930692736302791,13886.947410998011,0.005034835317186379
top10_heure,21,445,0.004988957027702725,12319.276807891214,0.004466462507479762
top10_heure,22,84,0.000941735708600065,2241.830155013805,0.0008127953037870503
top10_heure,23,480,0.005381346906286086,11274.49555299451,0.004087667844750482
top10_heure,24,408,0.004574144870343173,13408.006984939346,0.004861191239724206
top10_heure,25,120,0.0013453367265715214,4064.079662076247,0.0014734679414336342
top10_heure,26,393,0.004405977779521733,11102.649208954006,0.0040253634364095054
top10_heure,27,327,0.003666042579907396,9252.205687982812,0.0033544688102466694
top10_heure,28,63,0.0007063017814500488,1478.2663600098545,0.0005359585125015806
top10_heure,29,391,0.0043835555007455404,11137.716282957545,0.004038077313508484
top10_heure,30,296,0.0033184972588764195,7727.1730900603025,0.00280155478554173
top10_heure,31,105,0.0011771696357500813,2020.8968119913982,0.0007326939708395149
top10_heure,32,402,0.004506878034014597,9881.012502099482,0.0035824482690652963
top10_heure,33,380,0.004260232967476484,9905.227934877328,0.003591227787886999
top10_heure,34,103,0.0011547473569738893,4218.626618868425,0.001529500304284284
top10_heure,35,387,0.004338710943193156,12779.39202309616,0.004633281338640165
top10_heure,36,344,0.003856631949505028,8666.024018158418,0.0031419434735998415
