K,lookback_h,delay_s,dimension,value,n_filled,share_of_events,mean_price,win_rate,pnl_per_share,pnl_lo,pnl_hi,leader_own_pnl_per_share,leader_own_lo,leader_own_hi
10,1,3,duree,5m,30342,0.8167429340511441,0.512332931130232,0.5117658690923472,-0.012813354869694519,-0.02123384096510129,-0.004407700842903907,0.0018534674694774022,-0.006978939261773799,0.010546173258309127
10,1,3,role_du_leader,maker,21800,0.5868102288021534,0.4840753493456009,0.4803211009174312,-0.01576989181989397,-0.02756616718319583,-0.004289818214205573,0.0022619952122318256,-0.00987830691534269,0.013700633010516224
10,1,3,role_du_leader,preneur,15350,0.41318977119784656,0.561964478897785,0.5636482084690554,-0.011013202662467842,-0.022199279006490682,-0.00020422628977558965,-0.0022931375440355833,-0.013331163456662874,0.00898983845872248
10,1,3,prix_du_leader,"0,30–0,70",18068,0.4863526244952894,0.5148110997306952,0.5092428603055125,-0.02181296234944455,-0.035749948180616394,-0.00844229686646006,-0.004850064672164623,-0.018524723551385073,0.009784315550551505
10,1,3,prix_du_leader,"< 0,30",9080,0.24441453566621804,0.1585853318210793,0.16299559471365638,-0.004165762824541092,-0.03467601983532371,0.026699278734150195,0.008740552218488525,-0.02083769492321159,0.040195334405054954
10,1,3,prix_du_leader,"> 0,70",10002,0.2692328398384926,0.843574845425465,0.8440311937612478,-0.00808783966866354,-0.03323185662654397,0.017439111417485522,0.0022374113855731037,-0.023166978446584198,0.02699806437698912
10,1,3,moment,S à S+60 s,7879,0.21208613728129205,0.5332457667082118,0.5220205609848966,-0.026487679747628414,-0.04968097458771436,-0.004488030846169075,-0.01055809723112973,-0.03385782329287952,0.010722354396584146
10,1,3,moment,avant S,1519,0.04088829071332436,0.5019971500050033,0.5200789993416721,0.000843683375373333,-0.050673302617700394,0.04908614584883569,0.023597350373218782,-0.028250283152763848,0.0761946914399994
10,1,3,moment,dernière minute,2960,0.07967698519515477,0.48576517404875,0.4820945945945946,-0.011238443008391661,-0.025202874021773413,0.003034799015392725,-0.00027311177454791293,-0.015301249797379516,0.013552625237870588
10,1,3,moment,milieu,24792,0.6673485868102288,0.5153741281413036,0.5160132300742175,-0.010977558791277767,-0.01954250010610466,-0.0017587301781754085,0.002511419734007791,-0.007106304721754653,0.011802374974258477
10,1,10,actif,btc,29926,0.8321098876654432,0.5056643811367139,0.5033415758871884,-0.014191579806879753,-0.022725773915477917,-0.004855019151399052,-0.0010775448803365122,-0.011179687579939541,0.008256875634131905
10,1,10,actif,eth,4169,0.11592147703258815,0.5452160724422404,0.5495322619333174,-0.008010289871240353,-0.029374823239089895,0.013507939218305523,0.0033045681429542573,-0.018188017246750794,0.024904744571235544
10,1,10,actif,sol,1869,0.05196863530196864,0.5623361793776886,0.5767790262172284,0.00220437726846621,-0.031618798268780585,0.032978552922399824,0.021671232258478872,-0.013774361801972518,0.0526973341082223
10,1,10,duree,15m,6459,0.17959626292959627,0.5337882520801053,0.5288744387676111,-0.017340474848128985,-0.043579687975626565,0.007496118294292996,-0.005667567858884661,-0.03272491283719377,0.0207404587159155
10,1,10,duree,5m,29505,0.8204037370704037,0.5086861913228437,0.5089306897136079,-0.011590239200645858,-0.019821110394798617,-0.0027356538754228464,0.0019874763731794224,-0.006877185419505777,0.010654510576569546
10,1,10,role_du_leader,maker,21193,0.5892837281726171,0.4820586188749115,0.47850705421601475,-0.015209214208995467,-0.026210575569303625,-0.0031829659900994697,0.00226730428905375,-0.009823260082539606,0.014124555587520743
10,1,10,role_du_leader,preneur,14771,0.41071627182738296,0.5578671779398753,0.5613025522984226,-0.008912277972234817,-0.019917859384403012,0.002211679954898011,-0.0017613777136140662,-0.013139382619042905,0.009652194969335687
10,1,10,prix_du_leader,"0,30–0,70",17843,0.4961350239128017,0.5132757082327187,0.5095555680098638,-0.01929036607303728,-0.03271070076927263,-0.005218274558416249,-0.00409395893579839,-0.01742446805880898,0.011192406767346109
10,1,10,prix_du_leader,"< 0,30",8704,0.24201979757535313,0.1622811098041475,0.16854319852941177,-0.0019843810891792637,-0.03222868208989317,0.02813692126708342,0.011118610007019745,-0.020481746801392378,0.04372379981645528
10,1,10,prix_du_leader,"> 0,70",9417,0.2618451785118452,0.8373846398464693,0.8360412020813422,-0.009822882002516823,-0.0367343840228286,0.016144356760260114,-0.00017990895396904612,-0.027313983799000272,0.02616099067852688
10,1,10,moment,S à S+60 s,7801,0.21691135580024468,0.5315713025436226,0.5213434175105756,-0.025233443468254773,-0.04677688244659428,-0.00422897120879976,-0.011142051273768987,-0.03429044730036832,0.009589791526337706
10,1,10,moment,avant S,1523,0.04234790345901457,0.5001818009055811,0.5219960604070912,0.004691431900984361,-0.046516776954290795,0.0558599918572228,0.02568758120464111,-0.02350851752875819,0.07599554652243197
10,1,10,moment,dernière minute,2471,0.06870759648537426,0.4409064689937677,0.4378794010522056,-0.00926974361281274,-0.022179903456834862,0.003213745661308383,-0.0059509255133445025,-0.022690411173493633,0.011828858575824814
10,1,10,moment,milieu,24169,0.6720331442553665,0.5154735361976208,0.516694939798916,-0.009986576047052201,-0.018963784635312755,-0.0006593410301817354,0.003497677286838535,-0.005848928712822115,0.01261687424414651
