cut_s,slug,flow_usd,p_market,resolved_up
30,btc-updown-5m-1790230500,-69.58553500066782,0.37054785012630653,True
30,btc-updown-15m-1790230500,27.652199000038596,0.41450058767610864,True
30,eth-updown-5m-1790230500,14.72,0.3742177565534929,True
30,btc-updown-5m-1790230800,-723.9670619973876,0.2672737813242975,False
30,eth-updown-5m-1790230800,-252.85380000017122,0.22372231886527705,False
30,sol-updown-5m-1790230800,-8.7,0.2435774350790226,False
30,btc-updown-5m-1790231100,524.6408999985248,0.8111715456252645,True
30,eth-updown-5m-1790231100,-54.38910000420462,0.8060479497783507,True
30,sol-updown-5m-1790231100,-10.8469,0.7897229684228608,True
30,btc-updown-5m-1790231400,-758.1067989894789,0.5298284680726068,False
30,btc-updown-15m-1790231400,1.8599999999176426,0.5002474567397189,True
30,btc-updown-5m-1790231700,-24.8793260025338,0.6431800723663765,True
30,eth-updown-5m-1790231700,3.5,0.7034302640215888,True
30,btc-updown-5m-1790232000,-97.7405730027247,0.36075685240950356,True
30,eth-updown-5m-1790232000,-282.55999800191216,0.22269277456386088,False
30,btc-updown-5m-1790232300,-33.95827100083012,0.381805377196364,False
30,btc-updown-15m-1790232300,-11.86,0.4327288866914098,False
30,eth-updown-5m-1790232300,3.6999999996862747,0.4670555351840274,False
30,sol-updown-15m-1790232300,10.450000000759418,0.5158135095141392,False
30,btc-updown-5m-1790232600,-177.11107599844118,0.6016892269652683,False
30,btc-updown-5m-1790232900,-37.805505996498695,0.5522992815274558,True
30,eth-updown-5m-1790232900,13.079999999980329,0.6072690283947081,True
30,btc-updown-15m-1790233200,37.74295399974842,0.3640049831253471,False
30,eth-updown-5m-1790233200,5.84000000074545,0.28908278459550923,False
30,btc-updown-5m-1790233500,257.9562269944389,0.3519968909547574,True
30,eth-updown-5m-1790233500,-44.6499979999096,0.3412954377080316,True
30,sol-updown-5m-1790233500,-19.464099000099985,0.2747629947634006,True
30,btc-updown-5m-1790233800,22.568915999828953,0.54819471977527,False
30,eth-updown-5m-1790233800,68.3160000016104,0.44244038971959687,False
30,sol-updown-5m-1790233800,10.399998000449767,0.6389854146735995,False
30,btc-updown-5m-1790234100,55.996576000555294,0.7241565054059069,True
30,btc-updown-15m-1790234100,-165.89372399974357,0.6324561456614385,True
30,eth-updown-5m-1790234100,134.29382400428534,0.6990209480061644,True
30,eth-updown-15m-1790234100,-2.4,0.6199999628,True
30,sol-updown-5m-1790234100,-4.993847000082728,0.69,True
30,sol-updown-15m-1790234100,-0.9230770000000015,0.61,True
30,btc-updown-5m-1790234400,-18.88622300059811,0.6319351777291516,True
30,eth-updown-5m-1790234400,54.54999900145711,0.6796631707365507,True
30,sol-updown-5m-1790234400,-4.3000000002040775,0.6253470975795934,False
30,btc-updown-5m-1790234700,5.9985,0.6696691799816603,True
30,eth-updown-5m-1790234700,-38.65000100312797,0.7175697455499995,True
30,sol-updown-5m-1790234700,8.55,0.5700000000000001,True
30,btc-updown-5m-1790235000,22.680766000101425,0.7781686474177777,True
30,btc-updown-15m-1790235000,6.2,0.6368777664775002,True
30,eth-updown-5m-1790235000,-2.15,0.8707817437691514,True
30,btc-updown-5m-1790235300,19.20322500146264,0.33006480869542815,False
30,eth-updown-5m-1790235300,16.000000000097167,0.33375267085424537,False
30,sol-updown-5m-1790235300,-5.21999800024247,0.2959090711898256,True
30,eth-updown-5m-1790235600,97.17999999523843,0.41782315894712835,False
30,btc-updown-5m-1790235900,548.9027850167208,0.3911806263104507,True
30,btc-updown-15m-1790235900,1.67,0.4415261509127218,True
30,eth-updown-5m-1790235900,344.07436200490565,0.4055023914969471,True
30,eth-updown-15m-1790235900,61.718824999170636,0.42120300751879697,False
30,sol-updown-5m-1790235900,13.733878000587762,0.3537931010083234,False
