duration,group,bin_start_s,n_fills,share_of_group_fills
15m,autres,370,2009,0.0037875788529046902
15m,autres,375,1782,0.0033596144927208354
15m,autres,380,2651,0.004997945016948897
15m,autres,385,1858,0.0035028977146326105
15m,autres,390,1955,0.003685772353125271
15m,autres,395,2097,0.003953485741434114
15m,autres,400,2113,0.003983650630257646
15m,autres,405,1999,0.003768725797389983
15m,autres,410,2176,0.004102424880000301
15m,autres,415,1752,0.0033030553261767133
15m,autres,420,2595,0.004892367906066536
15m,autres,425,3821,0.007203752512169648
15m,autres,430,2639,0.004975321350331248
15m,autres,435,2201,0.00414955751878707
15m,autres,440,2657,0.005009256850257721
15m,autres,445,2164,0.004079801213382653
15m,autres,450,2188,0.004125048546617951
15m,autres,455,2675,0.005043192350184194
15m,autres,460,2214,0.0041740664909561895
15m,autres,465,2416,0.004554898212353276
15m,autres,470,2657,0.005009256850257721
15m,autres,475,2197,0.004142016296581187
15m,autres,480,2677,0.005046962961287136
15m,autres,485,4274,0.008057795926985887
15m,autres,490,2409,0.004541701073492981
15m,autres,495,1994,0.0037592992696326294
15m,autres,500,2723,0.005133687016654789
15m,autres,505,2171,0.004092998352242948
15m,autres,510,2078,0.003917664935956171
15m,autres,515,3079,0.005804855792978368
15m,autres,520,2398,0.004520962712426803
15m,autres,525,2239,0.004221199129742958
15m,autres,530,2727,0.005141228238860672
15m,autres,535,2501,0.004715149184228288
15m,autres,540,2737,0.0051600812943753795
15m,autres,545,3281,0.006185687514375455
15m,autres,550,2747,0.005178934349890087
15m,autres,555,2446,0.004611457378897398
15m,autres,560,2686,0.005063930711250372
15m,autres,565,2454,0.004626539823309164
15m,autres,570,2346,0.0044229268237503255
15m,autres,575,2907,0.005480583238125403
15m,autres,580,2971,0.00560124279341953
15m,autres,585,2135,0.004025127352390002
15m,autres,590,3160,0.005957565542647497
15m,autres,595,3003,0.005661572571066593
15m,autres,600,3460,0.006523157208088715
15m,autres,605,5220,0.009841294978677194
15m,autres,610,4235,0.007984269010478528
15m,autres,615,3108,0.005859529653971019
15m,autres,620,3963,0.0074714659004784904
15m,autres,625,3274,0.00617249037551516
15m,autres,630,2661,0.005016798072463604
15m,autres,635,3406,0.006421350708309296
15m,autres,640,3075,0.005797314570772485
15m,autres,645,2875,0.005420253460478339
15m,autres,650,3510,0.006617422485662251
15m,autres,655,3045,0.005740755404228364
15m,autres,660,4015,0.007569501789154968
15m,autres,665,3918,0.007386627150662308
15m,autres,670,3130,0.005901006376103375
15m,autres,675,3137,0.0059142035149636705
15m,autres,680,3648,0.006877594651765212
15m,autres,685,3350,0.006315773597426935
15m,autres,690,2616,0.0049319593226474214
15m,autres,695,4047,0.007629831566802032
15m,autres,700,2917,0.00549943629364011
15m,autres,705,3255,0.006136669570037216
15m,autres,710,4149,0.007822132733052045
15m,autres,715,3360,0.006334626652941642
15m,autres,720,3765,0.007098175401287286
15m,autres,725,4178,0.007876806594044697
15m,autres,730,3369,0.006351594402904879
15m,autres,735,3075,0.005797314570772485
15m,autres,740,3940,0.007428103872794664
15m,autres,745,2999,0.00565403134886071
15m,autres,750,3589,0.006766361624228438
15m,autres,755,3623,0.006830462012978444
15m,autres,760,3581,0.006751279179816673
15m,autres,765,3154,0.005946253709338672
15m,autres,770,4434,0.008359444815221204
15m,autres,775,3818,0.007198096595515235
15m,autres,780,4238,0.00798992492713294
15m,autres,785,5024,0.009471775090588932
15m,autres,790,3828,0.007216949651029942
15m,autres,795,3381,0.0063742180695225276
15m,autres,800,4701,0.008862821397463886
15m,autres,805,3712,0.006998254207059338
15m,autres,810,3954,0.007454498150515254
15m,autres,815,4725,0.008908068730699185
15m,autres,820,3384,0.00637987398617694
15m,autres,825,3446,0.006496762930368125
15m,autres,830,4481,0.008448054176140326
15m,autres,835,3354,0.006323314819632818
15m,autres,840,4199,0.007916398010625582
15m,autres,845,4606,0.008683717370074168
15m,autres,850,3157,0.005951909625993085
15m,autres,855,3037,0.005725672959816597
15m,autres,860,2127,0.004010044907978236
15m,autres,865,1897,0.0035764246311399688
15m,autres,870,1774,0.0033445320483090693
15m,autres,875,1795,0.003384123464889955
15m,autres,880,1315,0.002479176800184006
15m,autres,885,1135,0.002139821800919275
15m,autres,890,732,0.001380043663676572
15m,autres,895,405,0.0007635487483456444
