duration,group,bin_start_s,n_fills,share_of_group_fills
15m,autres,90,2065,0.003893155963787051
15m,autres,95,2477,0.00466990185099299
15m,autres,100,1997,0.0037649551862870417
15m,autres,105,1784,0.003363385103823777
15m,autres,110,2685,0.005062045405698902
15m,autres,115,2000,0.0037706111029414536
15m,autres,120,2187,0.004123163241066479
15m,autres,125,3163,0.005963221459301909
15m,autres,130,2762,0.005207213933162148
15m,autres,135,2176,0.004102424880000301
15m,autres,140,2821,0.005318446960698921
15m,autres,145,2158,0.004068489380073829
15m,autres,150,1827,0.003444453242537018
15m,autres,155,2426,0.004573751267867983
15m,autres,160,2213,0.004172181185404718
15m,autres,165,1912,0.0036047042144120296
15m,autres,170,2696,0.00508278376676508
15m,autres,175,2065,0.003893155963787051
15m,autres,180,2586,0.0048754001561033
15m,autres,185,3193,0.006019780625846031
15m,autres,190,2282,0.0043022672684561985
15m,autres,195,2288,0.004313579101765023
15m,autres,200,2875,0.005420253460478339
15m,autres,205,1941,0.003659378075404681
15m,autres,210,2163,0.004077915907831182
15m,autres,215,2430,0.004581292490073866
15m,autres,220,2239,0.004221199129742958
15m,autres,225,2006,0.003781922936250278
15m,autres,230,2448,0.004615227990000339
15m,autres,235,2120,0.003996847769117941
15m,autres,240,2194,0.0041363603799267745
15m,autres,245,3957,0.007460154067169667
15m,autres,250,2812,0.005301479210735684
15m,autres,255,2294,0.004324890935073848
15m,autres,260,2748,0.0051808196554415575
15m,autres,265,1982,0.0037366756030149805
15m,autres,270,2077,0.0039157796304047
15m,autres,275,2325,0.00438333540716944
15m,autres,280,1965,0.003704625408639978
15m,autres,285,2169,0.004089227741140007
15m,autres,290,2436,0.0045926043233826905
15m,autres,295,2089,0.003938403297022349
15m,autres,300,2351,0.004432353351507679
15m,autres,305,4060,0.007654340538971151
15m,autres,310,2748,0.0051808196554415575
15m,autres,315,2386,0.004498339045809155
15m,autres,320,2400,0.004524733323529744
15m,autres,325,1940,0.0036574927698532103
15m,autres,330,2104,0.0039666828802944094
15m,autres,335,2569,0.004843349961728297
15m,autres,340,2076,0.003913894324853229
15m,autres,345,1967,0.0037083960197429196
15m,autres,350,2300,0.004336202768382672
15m,autres,355,2174,0.00409865426889736
15m,autres,360,2580,0.004864088322794475
15m,autres,365,3121,0.005884038626140138
