duree,instant,sigma,n,brier,logloss,auc,accuracy,pente_calibration
15m,S-5,ewma_k,1056,0.248363,0.689862,0.544693,0.541667,0.98382
15m,S-5,tfm_k,1056,0.248493,0.690103,0.544147,0.541667,1.05828
15m,S-5,corr,1056,0.248345,0.689832,0.544051,0.539773,0.892411
15m,S-2,park,1056,0.248716,0.690661,0.546347,0.548295,0.645645
15m,S-2,ewma,1056,0.248415,0.690035,0.547017,0.548295,0.692579
15m,S-2,tfm,1056,0.24819,0.689451,0.545654,0.548295,0.874026
15m,S-2,park_k,1056,0.248302,0.689741,0.546347,0.548295,0.971044
15m,S-2,ewma_k,1056,0.248112,0.689365,0.547017,0.548295,0.972134
15m,S-2,tfm_k,1056,0.24816,0.689413,0.545654,0.548295,1.08106
15m,S-2,corr,1056,0.248097,0.689344,0.547086,0.545455,0.882553
15m,S,park,1056,0.2482,0.689483,0.549758,0.553977,0.691202
15m,S,ewma,1056,0.247957,0.689045,0.550415,0.553977,0.717122
15m,S,tfm,1056,0.247709,0.688443,0.550569,0.553977,0.905138
15m,S,park_k,1056,0.247799,0.688669,0.549758,0.553977,1.04044
15m,S,ewma_k,1056,0.247629,0.68835,0.550415,0.553977,1.00712
15m,S,tfm_k,1056,0.247703,0.68847,0.550569,0.553977,1.13281
15m,S,corr,1056,0.247626,0.688353,0.550203,0.550189,0.919564
15m,S+2,park,1056,0.246555,0.686127,0.562548,0.552083,0.79167
15m,S+2,ewma,1056,0.246221,0.6855,0.563365,0.552083,0.818482
15m,S+2,tfm,1056,0.245892,0.684732,0.564348,0.552083,1.06886
15m,S+2,park_k,1056,0.246427,0.685866,0.562548,0.552083,1.19475
15m,S+2,ewma_k,1056,0.246123,0.685277,0.563365,0.552083,1.15094
15m,S+2,tfm_k,1056,0.246111,0.68523,0.564348,0.552083,1.33746
15m,S+2,corr,1056,0.24613,0.6853,0.562723,0.550189,1.05624
15m,S+5,park,1056,0.246899,0.686917,0.563782,0.550189,0.712463
15m,S+5,ewma,1056,0.246426,0.685928,0.564718,0.550189,0.754373
15m,S+5,tfm,1056,0.245959,0.684894,0.565862,0.550189,0.965839
15m,S+5,park_k,1056,0.246414,0.685846,0.563782,0.550189,1.07229
15m,S+5,ewma_k,1056,0.246069,0.685155,0.564718,0.550189,1.05801
15m,S+5,tfm_k,1056,0.246059,0.685134,0.565862,0.550189,1.20911
15m,S+5,corr,1056,0.246078,0.68518,0.563828,0.548295,0.987526
15m,S+10,park,1056,0.243121,0.67891,0.591692,0.572917,0.892763
15m,S+10,ewma,1056,0.242987,0.678943,0.592133,0.572917,0.906274
15m,S+10,tfm,1056,0.242356,0.677396,0.595115,0.572917,1.21323
15m,S+10,park_k,1056,0.24342,0.679651,0.591692,0.572917,1.34861
15m,S+10,ewma_k,1056,0.243247,0.679433,0.592133,0.572917,1.27781
15m,S+10,tfm_k,1056,0.242951,0.678742,0.595115,0.572917,1.51757
15m,S+10,corr,1056,0.243229,0.679395,0.591183,0.573864,1.2045
15m,S+30,park,1056,0.238163,0.670596,0.62836,0.605114,0.851419
15m,S+30,ewma,1056,0.237112,0.666969,0.629005,0.605114,0.927692
15m,S+30,tfm,1056,0.237382,0.667972,0.629264,0.605114,1.11794
15m,S+30,park_k,1056,0.238881,0.670881,0.62836,0.605114,1.3001
15m,S+30,ewma_k,1056,0.23775,0.668152,0.629005,0.605114,1.3102
15m,S+30,tfm_k,1056,0.238283,0.669574,0.629264,0.605114,1.40681
15m,S+30,corr,1056,0.237721,0.668098,0.628083,0.600379,1.2657
15m,S+60,park,1056,0.237862,0.668076,0.628083,0.577652,0.720192
15m,S+60,ewma,1056,0.236996,0.665822,0.629493,0.577652,0.740565
15m,S+60,tfm,1056,0.236015,0.663823,0.629325,0.577652,0.896909
15m,S+60,park_k,1056,0.236362,0.664657,0.628083,0.577652,1.09403
15m,S+60,ewma_k,1056,0.235518,0.662751,0.629493,0.577652,1.04637
15m,S+60,tfm_k,1056,0.235973,0.663851,0.629325,0.577652,1.12878
15m,S+60,corr,1056,0.235498,0.662678,0.629913,0.583333,1.03008
15m,S+120,park,1056,0.22783,0.650359,0.676916,0.623106,0.689211
15m,S+120,ewma,1056,0.227522,0.64813,0.677167,0.623106,0.699633
15m,S+120,tfm,1056,0.22566,0.644435,0.679714,0.623106,0.838153
15m,S+120,park_k,1056,0.22604,0.642867,0.676916,0.623106,1.06482
15m,S+120,ewma_k,1056,0.225335,0.640953,0.677167,0.623106,1.00289
15m,S+120,tfm_k,1056,0.225709,0.642909,0.679714,0.623106,1.06448
15m,S+120,corr,1056,0.225292,0.640854,0.677002,0.621212,0.992323
15m,E-90,park,1056,0.0616266,0.207239,0.976466,0.912879,0.764733
15m,E-90,ewma,1056,0.0617947,0.205768,0.976818,0.912879,0.74488
15m,E-90,tfm,1056,0.0619718,0.204424,0.97501,0.912879,0.936224
15m,E-90,park_k,1056,0.0613223,0.199305,0.976466,0.912879,1.15486
15m,E-90,ewma_k,1056,0.0605843,0.196685,0.976818,0.912879,1.01469
15m,E-90,tfm_k,1056,0.0628288,0.207115,0.97501,0.912879,1.18227
15m,E-90,corr,1056,0.0607516,0.196875,0.976664,0.910038,0.977722
15m,E-60,park,1056,0.037276,0.128824,0.990805,0.938447,0.849709
15m,E-60,ewma,1056,0.0382695,0.129584,0.990748,0.938447,0.822483
15m,E-60,tfm,1056,0.0383028,0.12842,0.99002,0.938447,1.04058
15m,E-60,park_k,1056,0.0379741,0.127015,0.990805,0.938447,1.25308
15m,E-60,ewma_k,1056,0.0380665,0.125449,0.990748,0.938447,1.0968
15m,E-60,tfm_k,1056,0.0393092,0.133262,0.99002,0.938447,1.29413
15m,E-60,corr,1056,0.0378287,0.124263,0.990816,0.938447,1.0239
15m,E-30,park,1056,0.0151066,0.0475875,0.998823,0.97822,0.924668
15m,E-30,ewma,1056,0.0153882,0.0489857,0.998798,0.97822,0.900379
15m,E-30,tfm,1056,0.0145485,0.0458252,0.998784,0.97822,1.06576
15m,E-30,park_k,1056,0.0144416,0.0458627,0.998823,0.97822,1.21857
15m,E-30,ewma_k,1056,0.0146551,0.0457589,0.998798,0.97822,1.10229
15m,E-30,tfm_k,1056,0.0144549,0.0466589,0.998784,0.97822,1.28046
15m,E-30,corr,1056,0.0146251,0.0453531,0.998784,0.97822,1.08755
15m,E-10,park,1056,0.0124446,0.0648603,0.998509,0.984848,0.724267
15m,E-10,ewma,1056,0.0124583,0.0657154,0.997596,0.984848,0.720478
15m,E-10,tfm,1056,0.0120172,0.0585613,0.999376,0.984848,0.750541
15m,E-10,park_k,1056,0.0117742,0.0517216,0.999419,0.984848,0.785205
15m,E-10,ewma_k,1056,0.0119617,0.0553571,0.999426,0.984848,0.767225
15m,E-10,tfm_k,1056,0.0116314,0.0513839,0.999376,0.984848,0.788452
15m,E-10,corr,1056,0.00916457,0.0307282,0.999555,0.985795,1.01304
tous,S-45,park,4224,0.249548,0.692244,0.532966,0.518939,1.56138
tous,S-45,ewma,4224,0.249552,0.692251,0.533221,0.518939,1.65446
tous,S-45,tfm,4224,0.249602,0.69235,0.533147,0.518939,2.1096
tous,S-45,park_k,4224,0.249651,0.692449,0.532966,0.518939,2.33512
tous,S-45,ewma_k,4224,0.24964,0.692428,0.533221,0.518939,2.3183
tous,S-45,tfm_k,4224,0.249661,0.692469,0.533147,0.518939,2.64299
tous,S-45,corr,4224,0.249503,0.692152,0.535822,0.525568,1.66353
tous,S-30,park,4224,0.248988,0.691236,0.536918,0.526515,0.782831
tous,S-30,ewma,4224,0.248944,0.691095,0.537527,0.526515,0.83019
tous,S-30,tfm,4224,0.248918,0.69102,0.537971,0.526515,1.04022
tous,S-30,park_k,4224,0.248984,0.69114,0.536918,0.526515,1.17821
tous,S-30,ewma_k,4224,0.248948,0.691059,0.537527,0.526515,1.16449
tous,S-30,tfm_k,4224,0.248986,0.691134,0.537971,0.526515,1.32142
tous,S-30,corr,4224,0.24881,0.690796,0.538537,0.526989,0.997475
tous,S-20,park,4224,0.248201,0.690037,0.553268,0.539536,0.694372
tous,S-20,ewma,4224,0.248161,0.689641,0.553703,0.539536,0.73457
tous,S-20,tfm,4224,0.248024,0.689278,0.554718,0.539536,0.934724
tous,S-20,park_k,4224,0.24803,0.689315,0.553268,0.539536,1.05381
tous,S-20,ewma_k,4224,0.247997,0.689172,0.553703,0.539536,1.04251
tous,S-20,tfm_k,4224,0.24808,0.689334,0.554718,0.539536,1.17213
tous,S-20,corr,4224,0.247888,0.688996,0.555037,0.54143,0.914002
tous,S-10,park,4224,0.246873,0.686968,0.567295,0.553741,0.69697
tous,S-10,ewma,4224,0.24664,0.686314,0.567635,0.553741,0.738942
tous,S-10,tfm,4224,0.246424,0.685851,0.567133,0.553741,0.917298
tous,S-10,park_k,4224,0.246348,0.68571,0.567295,0.553741,1.05441
tous,S-10,ewma_k,4224,0.24622,0.685434,0.567635,0.553741,1.0351
tous,S-10,tfm_k,4224,0.246451,0.685917,0.567133,0.553741,1.14886
tous,S-10,corr,4224,0.246114,0.68522,0.568646,0.552794,0.931337
tous,S-5,park,4224,0.246685,0.686534,0.573129,0.564394,0.652521
tous,S-5,ewma,4224,0.24647,0.68601,0.573506,0.564394,0.681086
tous,S-5,tfm,4224,0.245961,0.684876,0.572881,0.564394,0.850916
tous,S-5,park_k,4224,0.245719,0.684346,0.573129,0.564394,0.990679
tous,S-5,ewma_k,4224,0.245656,0.684251,0.573506,0.564394,0.960553
tous,S-5,tfm_k,4224,0.245855,0.684669,0.572881,0.564394,1.06494
tous,S-5,corr,4224,0.245629,0.68419,0.574284,0.562973,0.866591
tous,S-2,park,4224,0.245637,0.684846,0.584516,0.570549,0.662965
tous,S-2,ewma,4224,0.245345,0.68415,0.585055,0.570549,0.693369
tous,S-2,tfm,4224,0.24495,0.683151,0.584369,0.570549,0.859119
tous,S-2,park_k,4224,0.24473,0.682422,0.584516,0.570549,1.00833
tous,S-2,ewma_k,4224,0.244585,0.682204,0.585055,0.570549,0.979791
tous,S-2,tfm_k,4224,0.24492,0.682934,0.584369,0.570549,1.08099
tous,S-2,corr,4224,0.244552,0.68217,0.585445,0.569366,0.883819
tous,S,park,4224,0.244517,0.682598,0.591377,0.574337,0.689401
tous,S,ewma,4224,0.244363,0.682226,0.591693,0.574337,0.704066
tous,S,tfm,4224,0.243932,0.681085,0.59172,0.574337,0.88187
tous,S,park_k,4224,0.243722,0.680352,0.591377,0.574337,1.0491
tous,S,ewma_k,4224,0.243603,0.680174,0.591693,0.574337,0.996336
tous,S,tfm_k,4224,0.243967,0.680973,0.59172,0.574337,1.10929
tous,S,corr,4224,0.243595,0.680199,0.591767,0.571733,0.900843
tous,S+2,park,4224,0.242965,0.679927,0.601391,0.575047,0.695786
tous,S+2,ewma,4224,0.242724,0.678968,0.601642,0.575047,0.718721
tous,S+2,tfm,4224,0.242322,0.677975,0.601594,0.575047,0.895127
tous,S+2,park_k,4224,0.242198,0.677325,0.601391,0.575047,1.06192
tous,S+2,ewma_k,4224,0.241946,0.676749,0.601642,0.575047,1.01813
tous,S+2,tfm_k,4224,0.242432,0.677918,0.601594,0.575047,1.13038
tous,S+2,corr,4224,0.241962,0.676817,0.601332,0.570312,0.929827
tous,S+5,park,4224,0.242638,0.679532,0.604764,0.575758,0.664656
tous,S+5,ewma,4224,0.242299,0.678167,0.605301,0.575758,0.693857
tous,S+5,tfm,4224,0.241732,0.676738,0.604889,0.575758,0.860786
tous,S+5,park_k,4224,0.241435,0.675736,0.604764,0.575758,1.01525
tous,S+5,ewma_k,4224,0.241154,0.675061,0.605301,0.575758,0.981302
tous,S+5,tfm_k,4224,0.241711,0.676398,0.604889,0.575758,1.08589
tous,S+5,corr,4224,0.241173,0.675147,0.605224,0.571259,0.908481
tous,S+10,park,4224,0.238386,0.67044,0.628256,0.594934,0.724464
tous,S+10,ewma,4224,0.238175,0.669717,0.628814,0.594934,0.743884
tous,S+10,tfm,4224,0.237617,0.668014,0.628992,0.594934,0.940313
tous,S+10,park_k,4224,0.237594,0.667527,0.628256,0.594934,1.10651
tous,S+10,ewma_k,4224,0.237349,0.667112,0.628814,0.594934,1.05501
tous,S+10,tfm_k,4224,0.237927,0.66843,0.628992,0.594934,1.18411
tous,S+10,corr,4224,0.237356,0.667133,0.62818,0.59304,0.987481
tous,S+30,park,4224,0.226692,0.647305,0.679648,0.638968,0.763731
tous,S+30,ewma,4224,0.226076,0.64405,0.68073,0.638968,0.797219
tous,S+30,tfm,4224,0.226102,0.64435,0.680245,0.638968,0.993624
tous,S+30,park_k,4224,0.226648,0.644725,0.679648,0.638968,1.17186
tous,S+30,ewma_k,4224,0.225726,0.64204,0.68073,0.638968,1.13739
tous,S+30,tfm_k,4224,0.227106,0.645874,0.680245,0.638968,1.25564
tous,S+30,corr,4224,0.225661,0.64186,0.680258,0.635417,1.09006
tous,S+60,park,4224,0.214132,0.621006,0.720619,0.654356,0.738285
tous,S+60,ewma,4224,0.213592,0.618227,0.721785,0.654356,0.751748
tous,S+60,tfm,4224,0.212835,0.615233,0.721326,0.654356,0.955969
tous,S+60,park_k,4224,0.213613,0.615174,0.720619,0.654356,1.14973
tous,S+60,ewma_k,4224,0.212533,0.612514,0.721785,0.654356,1.08461
tous,S+60,tfm_k,4224,0.213931,0.616648,0.721326,0.654356,1.21537
