duree,instant,variante,n,brier_formule,brier_marche,d_brier,d_brier_lo,d_brier_hi,logloss_formule,logloss_marche,d_logloss,d_logloss_lo,d_logloss_hi,auc_formule,auc_marche,justesse_formule,justesse_marche,n_vwap,brier_formule_vwap,brier_marche_vwap,age_median_s,pente_calibration_formule,pente_calibration_marche
15m,S-5,brute,1046,0.248847,0.249616,-0.000768731,-0.00351856,0.00256731,0.690875,0.692401,-0.00152604,-0.00711923,0.00525108,0.541615,0.533864,0.540153,0.535373,648,0.249715,0.249331,2,0.662534,0.684051
15m,S-5,corrigée,1046,0.248533,0.249616,-0.00108286,-0.00338176,0.00155655,0.690211,0.692401,-0.00219053,-0.00683556,0.00312074,0.541104,0.533864,0.538241,0.535373,648,0.248982,0.249331,2,0.844044,0.684051
15m,S-2,brute,1046,0.248738,0.248878,-0.000139161,-0.00311812,0.00316773,0.690694,0.69092,-0.00022599,-0.0063332,0.00657015,0.543923,0.54678,0.546845,0.538241,657,0.245808,0.24709,1,0.648858,0.961119
15m,S-2,corrigée,1046,0.248353,0.248878,-0.000524407,-0.00298175,0.00209519,0.689863,0.69092,-0.00105763,-0.00598311,0.00428298,0.544051,0.54678,0.543977,0.538241,657,0.245801,0.24709,1,0.831328,0.961119
15m,S,brute,1046,0.248252,0.2487,-0.000448247,-0.00369806,0.00303554,0.689648,0.690559,-0.000911125,-0.00762414,0.00623795,0.547766,0.54647,0.552581,0.543021,791,0.247,0.247575,1,0.683071,0.955808
15m,S,corrigée,1046,0.24786,0.2487,-0.000840016,-0.00355696,0.0021185,0.688828,0.690559,-0.00173159,-0.00731716,0.004281,0.547568,0.54647,0.548757,0.543021,791,0.246719,0.247575,1,0.876484,0.955808
15m,S+2,brute,1046,0.246491,0.248963,-0.00247211,-0.00630592,0.00104968,0.686052,0.691099,-0.00504655,-0.0130902,0.00252173,0.561098,0.545797,0.550669,0.542065,716,0.24335,0.247156,2,0.789648,0.835772
15m,S+2,corrigée,1046,0.246344,0.248963,-0.00261966,-0.00577052,0.000261716,0.685734,0.691099,-0.00536535,-0.0119295,0.000699161,0.560418,0.545797,0.548757,0.542065,716,0.243846,0.247156,2,1.02309,0.835772
15m,S+5,brute,1046,0.246633,0.246286,0.000346146,-0.00222672,0.00291833,0.68635,0.685595,0.000755501,-0.00478023,0.00595913,0.56301,0.565361,0.548757,0.547801,975,0.247602,0.247478,1,0.734972,1.06544
15m,S+5,corrigée,1046,0.246243,0.246286,-4.30909e-05,-0.00211873,0.00212953,0.685515,0.685595,-8.00593e-05,-0.00431433,0.0042107,0.562008,0.565361,0.546845,0.547801,975,0.246939,0.247478,1,0.964241,1.06544
15m,S+10,brute,1046,0.243068,0.242573,0.000495288,-0.00189206,0.00301163,0.679109,0.678002,0.00110729,-0.00399699,0.00637799,0.591531,0.59779,0.572658,0.570746,962,0.242087,0.243248,0,0.900262,1.29564
15m,S+10,corrigée,1046,0.243302,0.242573,0.000729587,-0.00092238,0.00238083,0.679542,0.678002,0.00153991,-0.00183227,0.00495762,0.590493,0.59779,0.573614,0.570746,962,0.242527,0.243248,0,1.19229,1.29564
15m,S+30,brute,1046,0.236649,0.235662,0.000986874,-0.00142932,0.00352849,0.665978,0.663647,0.00233083,-0.00274459,0.00808616,0.631037,0.63848,0.607075,0.594646,891,0.23509,0.234653,1,0.946604,1.36438
15m,S+30,corrigée,1046,0.237406,0.235662,0.00174407,0.000228575,0.00339648,0.667444,0.663647,0.00379652,0.000598813,0.00761882,0.629973,0.63848,0.602294,0.594646,891,0.236158,0.234653,1,1.28996,1.36438
15m,S+60,brute,1046,0.236717,0.236106,0.000610784,-0.00213294,0.0035731,0.665269,0.66397,0.001299,-0.00544028,0.00845028,0.630569,0.62868,0.578394,0.580306,841,0.232865,0.232988,1,0.74611,0.986057
15m,S+60,corrigée,1046,0.235325,0.236106,-0.000780925,-0.00267855,0.00111437,0.662335,0.66397,-0.00163452,-0.00562692,0.00237122,0.630997,0.62868,0.58413,0.580306,841,0.231993,0.232988,1,1.03755,0.986057
15m,S+120,brute,1046,0.227852,0.225029,0.00282289,-0.000216688,0.00600966,0.648901,0.640242,0.00865835,-0.00140014,0.0176154,0.676163,0.679874,0.622371,0.630975,824,0.222752,0.220481,1.5,0.694727,1.00427
15m,S+120,corrigée,1046,0.22555,0.225029,0.000520844,-0.00136549,0.00241571,0.641407,0.640242,0.00116405,-0.00357291,0.00606599,0.675998,0.679874,0.620459,0.630975,824,0.220863,0.220481,1.5,0.986222,1.00427
15m,E-90,brute,1046,0.0615178,0.0601017,0.00141604,-0.00128401,0.00426099,0.204858,0.196434,0.00842404,-0.00587371,0.023621,0.976964,0.976307,0.913002,0.913958,651,0.0924642,0.0897544,2,0.747783,1.01015
15m,E-90,corrigée,1046,0.0604877,0.0601017,0.000385926,-0.00199293,0.00325551,0.196156,0.196434,-0.000277904,-0.0108316,0.0109664,0.97685,0.976307,0.910134,0.913958,651,0.0910741,0.0897544,2,0.982396,1.01015
15m,E-60,brute,1046,0.0376928,0.0386925,-0.000999692,-0.0045659,0.00245662,0.126236,0.129287,-0.00305103,-0.0144235,0.00902407,0.991052,0.989557,0.938815,0.942639,563,0.0700295,0.0698984,3,0.840634,1.15428
15m,E-60,corrigée,1046,0.0372685,0.0386925,-0.00142404,-0.00474626,0.00133061,0.121892,0.129287,-0.00739481,-0.0147932,-0.00111217,0.991136,0.989557,0.938815,0.942639,563,0.0692384,0.0698984,3,1.05152,1.15428
15m,E-30,brute,1046,0.0155354,0.0132439,0.0022915,-0.0020698,0.00626121,0.0494438,0.0471935,0.00225028,-0.0106768,0.0144291,0.998775,0.998965,0.978011,0.981836,348,0.046695,0.0385672,11,0.899254,1.38771
15m,E-30,corrigée,1046,0.0147569,0.0132439,0.00151302,-0.00215707,0.0048452,0.0456861,0.0471935,-0.00150743,-0.0112629,0.00722497,0.99876,0.998965,0.978011,0.981836,348,0.044355,0.0385672,11,1.08357,1.38771
