variante,groupe,delta_s,decisions,executees,taux_execution,pnl_par_part,lo,hi,pnl_total,prix_moyen,surcout_vs_ask_estime,avantage_estime,taux_gain
corrigée,E-30,0,252,239,0.948413,0.0429907,-0.000973259,0.0879173,10.2748,0.311506,0.0129132,0.223393,0.364017
corrigée,E-30,1,252,238,0.944444,0.0131069,-0.029883,0.0551,3.11944,0.347424,0.0394805,0.224021,0.369748
corrigée,E-30,2,252,232,0.920635,0.000736116,-0.04034,0.0403927,0.170779,0.36967,0.0556886,0.225658,0.37931
corrigée,E-30,3,252,230,0.912698,-0.00411374,-0.0470831,0.0356509,-0.94616,0.373691,0.0612727,0.224153,0.378261
corrigée,E-30,5,252,231,0.916667,-0.00214225,-0.0424204,0.036334,-0.494859,0.366741,0.05964,0.226127,0.372294
corrigée,E-30,10,252,207,0.821429,-0.0109079,-0.0511063,0.0264832,-2.25793,0.366661,0.0672813,0.226308,0.362319
corrigée,E-30,-1,252,252,1,0.0481742,0.00419209,0.0913353,12.1399,0.298959,0,0.223509,0.357143
corrigée,E-10,0,183,148,0.808743,-0.00154393,-0.0474051,0.0435968,-0.228502,0.178448,-0.00570627,0.334477,0.182432
corrigée,E-10,1,183,143,0.781421,0.000108984,-0.0459633,0.0478347,0.0155848,0.183208,-0.00496209,0.333444,0.188811
corrigée,E-10,2,183,138,0.754098,-0.0119105,-0.0517861,0.0290689,-1.64364,0.202646,0.00673202,0.332898,0.195652
corrigée,E-10,3,183,133,0.726776,-0.00580571,-0.0441501,0.0345177,-0.772159,0.20468,0.00320753,0.340538,0.203008
corrigée,E-10,5,183,132,0.721311,0.000176096,-0.0266224,0.0291584,0.0232447,0.185958,-0.00936673,0.340269,0.189394
corrigée,E-10,10,183,89,0.486339,-0.00127816,-0.0330071,0.0300063,-0.113756,0.16725,-0.0259936,0.350482,0.168539
corrigée,E-10,-1,183,183,1,-0.00771043,-0.0480381,0.031223,-1.41101,0.160338,0,0.333893,0.15847
