slug,asset,duration,start,end,y,price_to_beat,final_price,cl_move_bps,tie_cl,volume,liquidity,fee_type,fee_rate,fee_exponent,twap_lookback_s,resolution_rule,n_hist_points,p_pre,p_pre_age_s,p_S,p_S_age_s,p_1m,t_1m,p_2m,t_2m,p_5m,t_5m,p_10m,t_10m,nowcast_1m,nowcast_2m,nowcast_5m,nowcast_10m,bn_open1m_S,bn_close1m_S,bn_close1m_E,bn_vwap1m_S,bn_vwap1m_first,bn_vwap1m_E,bn_ohlc4_S,bn_ohlc4_first,bn_ohlc4_E,bn_win1m,bn_open1s_S,bn_win1s,bn_twap60_S,bn_vwap60_S,bn_twap30_S,bn_twap60m4_S,bn_twap60_E,bn_vwap60_E,bn_twap30_E,bn_twap60m4_E,bn_first60_S,mom5_m60,mom15_m60,mom5_m30,mom15_m30,gap_m30,mom5_m0,mom15_m0,gap_m0_1m,gap_m0_1s,sigma_s,proxy_a_close_vs_open_1m,proxy_a2_close_vs_close_1m,proxy_b_vwap_last_vs_first_1m,proxy_b_ohlc4_last_vs_first_1m,proxy_b_vwap_last_vs_prev_1m,proxy_b_ohlc4_last_vs_prev_1m,proxy_b_twap60_last_vs_first_1s,proxy_b_twap60_1s,proxy_b_vwap60_1s,proxy_b_twap30_1s,proxy_x_twap60_1s_lag4,proxy_c_window_twap_vs_open_1m,proxy_c_window_twap_vs_open_1s
sol-updown-5m-1789920000,sol,5m,2026-09-20 16:00:00+00:00,2026-09-20 16:05:00+00:00,0,108.7678389,108.6127522,-14.26868686,False,1154.223322,,crypto_fees_v2,0.07,1,60,twap,21,0.495,16,0.495,46,0.54,1789920015,0.095,1789920080,0.005,1789920253,,,0.3277643435,0.1045794333,0.001,,108.81,108.82,108.63,108.8184221,108.6741898,108.6451219,108.8075,108.71,108.6525,108.602,108.81,108.6101,108.815,108.8184221,108.815,108.8101667,108.6396667,108.6451219,108.6323333,108.6431667,108.6741667,0.002208522109,0.003406844601,0.002023733558,0.004143843123,4.594849175e-05,0.001655477247,0.00395930723,1.450012255e-05,4.594849175e-05,0.0001119153157,0,0,0,0,0,0,0,0,0,0,0,0,0
sol-updown-15m-1789920000,sol,15m,2026-09-20 16:00:00+00:00,2026-09-20 16:15:00+00:00,1,108.7678389,108.8888047,11.11528112,False,4447.447486,,crypto_fees_v2,0.07,1,60,twap,31,0.49,16,0.49,46,0.525,1789920015,0.26,1789920080,0.235,1789920253,0.52,1789920553,0.4050856869,0.2731525541,0.302587214,0.4906523418,108.81,108.82,108.89,108.8184221,108.6741898,108.9314102,108.8075,108.71,108.905,108.738,108.81,108.7353111,108.815,108.8184221,108.815,108.8101667,108.9238333,108.9314102,108.9223333,108.9256667,108.6741667,0.002208522109,0.003406844601,0.002023733558,0.004143843123,4.594849175e-05,0.001655477247,0.00395930723,1.450012255e-05,4.594849175e-05,0.0001119153157,1,1,1,1,1,1,1,1,1,1,1,0,0
btc-updown-5m-1789920300,btc,5m,2026-09-20 16:05:00+00:00,2026-09-20 16:10:00+00:00,1,80835.88086,80958.01558,15.09757141,False,30860.30455,,crypto_fees_v2,0.07,1,60,twap,21,0.475,17,0.475,47,0.515,1789920313,0.725,1789920374,0.9995,1789920553,,,0.5036159603,0.7668611459,0.999,,80866,80866,81045.8,80862.92193,80860.59269,81003.95047,80868.0025,80867.0075,81005.9025,80957.726,80866,80943.84007,80863.91817,80862.92193,80863.02067,80864.58517,80990.1345,81003.95047,81005.24433,80987.138,80865.715,-0.0004450267776,-0.0002963356945,-0.001121022791,-0.0005685177111,-0.0001337589153,-0.0005686805529,-0.0004199894514,3.806461528e-05,2.574456671e-05,4.703720122e-05,1,1,1,1,1,1,1,1,1,1,1,1,1
eth-updown-5m-1789920300,eth,5m,2026-09-20 16:05:00+00:00,2026-09-20 16:10:00+00:00,1,2607.908217,2616.902147,34.42780887,False,3775.349726,,crypto_fees_v2,0.07,1,60,twap,21,0.455,18,0.455,48,0.525,1789920312,0.495,1789920373,0.9995,1789920552,,,0.4433784592,0.555023262,0.999,,2609.24,2609.25,2619.55,2608.713035,2607.880831,2617.998017,2609.0025,2608.3825,2618.06,2614.154,2609.24,2613.5139,2608.7015,2608.713035,2608.998,2608.712667,2617.984167,2617.998017,2618.238333,2617.851833,2607.827833,-0.001390061858,0.001227003429,-0.00261964731,0.000345201889,-0.0003009954921,-0.001478259141,0.0006133911136,0.0002058141059,0.0002102357609,9.085727601e-05,1,1,1,1,1,1,1,1,1,1,1,1,1
sol-updown-5m-1789920300,sol,5m,2026-09-20 16:05:00+00:00,2026-09-20 16:10:00+00:00,1,108.6127522,108.7337772,11.13659737,False,1307.263522,,crypto_fees_v2,0.07,1,60,twap,21,0.495,18,0.495,48,0.385,1789920313,0.545,1789920373,0.995,1789920553,,,0.371302991,0.5613798594,0.999,,108.62,108.63,108.81,108.6451219,108.5715562,108.6803195,108.6525,108.6,108.765,108.748,108.62,108.7256,108.6396667,108.6451219,108.6323333,108.6431667,108.7625,108.6803195,108.7446667,108.766,108.5666667,-0.001011633875,0.001565449926,-0.001839588451,0.000921064816,-0.0002485421177,-0.001747528612,0.001105277814,-0.0001391957832,-8.898312242e-05,8.859690521e-05,1,1,1,1,1,1,1,1,1,1,1,1,1
btc-updown-5m-1789920600,btc,5m,2026-09-20 16:10:00+00:00,2026-09-20 16:15:00+00:00,1,80958.01558,81148.7644,23.53373542,False,43946.47073,,crypto_fees_v2,0.07,1,60,twap,21,0.465,16,0.465,46,0.635,1789920616,0.835,1789920676,0.9995,1789920854,,,0.5617177732,0.9866343147,0.999,,81045.79,81045.8,81160.08,81003.95047,81020.32886,81178.60791,81005.9025,81034.505,81164.105,81125.63,81045.79,81123.8194,80990.1345,81003.95047,81005.24433,80987.138,81180.92017,81178.60791,81182.62267,81181.306,81017.06917,0.001210997836,0.000942227423,0.001822120067,0.001085260489,0.0003264095232,0.00222096319,0.001534630867,0.0005165022237,0.0006870760163,5.030387281e-05,1,1,1,1,1,1,1,1,1,1,1,1,1
eth-updown-5m-1789920600,eth,5m,2026-09-20 16:10:00+00:00,2026-09-20 16:15:00+00:00,1,2616.902147,2623.536016,25.31800768,False,4973.088195,,crypto_fees_v2,0.07,1,60,twap,21,0.455,17,0.455,47,0.565,1789920615,0.715,1789920675,0.995,1789920854,,,0.5026686074,0.9319203433,0.999,,2619.55,2619.55,2623.2,2617.998017,2619.071901,2624.453035,2618.06,2619.3625,2623.8075,2623.19,2619.55,2622.911133,2617.984167,2617.998017,2618.238333,2617.851833,2624.439833,2624.453035,2624.347667,2624.481667,2619.242167,0.002774372715,0.003583259007,0.004178982615,0.003768730918,0.0003093805348,0.003939723578,0.003675314731,0.0005926374429,0.0005979277004,9.424327861e-05,1,1,1,1,1,1,1,1,1,1,1,1,1
sol-updown-5m-1789920600,sol,5m,2026-09-20 16:10:00+00:00,2026-09-20 16:15:00+00:00,1,108.7337772,108.8888047,14.24737062,False,,0,crypto_fees_v2,0.07,1,60,twap,21,0.5,18,0.5,48,0.58,1789920613,0.535,1789920673,0.985,1789920852,,,0.3098290358,0.8418882739,0.999,,108.81,108.81,108.89,108.6803195,108.7469875,108.9314102,108.765,108.7675,108.905,108.864,108.81,108.8702333,108.7625,108.6803195,108.7446667,108.766,108.9238333,108.9314102,108.9223333,108.9256667,108.7358333,0.00137924715,0.002576135384,0.001380008499,0.001564153606,-9.499717314e-05,0.001655629517,0.001563578153,0.001192517543,0.0004366360708,8.548309334e-05,1,1,1,1,1,1,1,1,1,1,1,1,1
btc-updown-5m-1789920900,btc,5m,2026-09-20 16:15:00+00:00,2026-09-20 16:20:00+00:00,0,81148.7644,81121.49794,-3.360622532,False,56852.48209,,crypto_fees_v2,0.07,1,60,twap,21,0.455,16,0.455,46,0.475,1789920914,0.655,1789920974,0.155,1789921154,,,0.5039405902,0.8471905168,0.03981109595,,81160.07,81160.08,81135.16,81178.60791,81173.14382,81146.0142,81164.105,81182.4575,81145.6475,81165.778,81160.07,81170.5373,81180.92017,81178.60791,81182.62267,81181.306,81147.67283,81146.0142,81139.15467,81148.97417,81174.0045,0.002340726346,0.003106697404,0.002325400344,0.003026497621,0.000133305202,0.00140907369,0.003061356327,-0.0002282624676,-0.0002567455758,5.325803961e-05,0,0,0,0,0,0,0,0,0,0,0,1,1
btc-updown-15m-1789920900,btc,15m,2026-09-20 16:15:00+00:00,2026-09-20 16:30:00+00:00,1,81148.7644,81210.69959,7.629391259,False,38569.70282,,crypto_fees_v2,0.07,1,60,twap,31,0.435,15,0.435,45,0.455,1789920915,0.545,1789920975,0.435,1789921155,0.135,1789921466,0.5021262067,0.6909951062,0.4161703087,0.1017166298,81160.07,81160.08,81182.64,81178.60791,81173.14382,81234.41753,81164.105,81182.4575,81228.6225,81139.13133,81160.07,81143.09782,81180.92017,81178.60791,81182.62267,81181.306,81233.82133,81234.41753,81202.95067,81239.729,81174.0045,0.002340726346,0.003106697404,0.002325400344,0.003026497621,0.000133305202,0.00140907369,0.003061356327,-0.0002282624676,-0.0002567455758,5.325803961e-05,1,1,1,1,1,1,1,1,1,1,1,0,0
