cellule,stratégie,coupure,n,accuracy,ic95_bas,ic95_haut,ic95_cluster_bas,ic95_cluster_haut,p_binom,part_up_prédit,description,auc_variable,part_variable_nulle
ETH 15m,market_pre,S−30s (marché),672,0.5461309523809523,0.5083318807744903,0.5834055914379332,0.508487875597228,0.5837740291646767,0.018549955695349375,0.5104166666666666,"prix du marché à S−30 s > 0,5 → Up (égalité → Up)",0.5571333451704545,
ETH 15m,mom5_m60:momentum,S−60s (1m),672,0.48660714285714285,0.44899999442211525,0.5243665459033102,0.44881638636773574,0.52439789934655,0.5119896824901984,0.4955357142857143,"momentum — rendement des 5 dernières min, bougies 1m closes à S−60 s",0.47436967329545454,0.001488095238095238
ETH 15m,mom5_m60:retournement,S−60s (1m),672,0.5119047619047619,0.47415099447305353,0.549523191904346,0.47411115819353206,0.5496983656159916,0.562866072605184,0.5059523809523809,"retournement — rendement des 5 dernières min, bougies 1m closes à S−60 s",0.5256303267045455,0.001488095238095238
ETH 15m,mom15_m60:momentum,S−60s (1m),672,0.47023809523809523,0.4327770028557656,0.5080375312007354,0.43250080586459544,0.507975384611595,0.1324029378216298,0.5148809523809523,"momentum — rendement des 15 dernières min, bougies 1m closes à S−60 s",0.45478515625,0.0
ETH 15m,mom15_m60:retournement,S−60s (1m),672,0.5297619047619048,0.4919624687992647,0.5672229971442345,0.492024615388405,0.5674991941354045,0.1324029378216298,0.4851190476190476,"retournement — rendement des 15 dernières min, bougies 1m closes à S−60 s",0.5452148437500001,0.0
ETH 15m,mom5_m30:momentum,S−30s (1s),672,0.47767857142857145,0.4401460952777545,0.5154648052646212,0.43991194119267407,0.5154452016644688,0.2632536627294292,0.5104166666666666,"momentum — rendement des 5 dernières min, prix 1s à S−30 s",0.4848544034090909,0.0
ETH 15m,mom5_m30:retournement,S−30s (1s),672,0.5223214285714286,0.48453519473537887,0.5598539047222455,0.4845547983355312,0.560088058807326,0.2632536627294292,0.4895833333333333,"retournement — rendement des 5 dernières min, prix 1s à S−30 s",0.5151455965909091,0.0
ETH 15m,mom15_m30:momentum,S−30s (1s),672,0.49255952380952384,0.4549092426034228,0.5302943909107025,0.45475938904681823,0.5303596585722294,0.7284827029118984,0.5252976190476191,"momentum — rendement des 15 dernières min, prix 1s à S−30 s",0.4605113636363636,0.0
ETH 15m,mom15_m30:retournement,S−30s (1s),672,0.5074404761904762,0.46970560908929754,0.5450907573965773,0.46964034142777056,0.5452406109531818,0.7284827029118984,0.47470238095238093,"retournement — rendement des 15 dernières min, prix 1s à S−30 s",0.5394886363636364,0.0
ETH 15m,gap_m30:momentum,S−30s (1s),672,0.5,0.46230327550962264,0.5376967244903773,0.4621956792592875,0.5378043207407125,1.0,0.48214285714285715,"momentum — prix à S−30 s − moyenne 1s sur (S−60, S−30] (TWAP partiel)",0.5085671164772727,0.0
ETH 15m,gap_m30:retournement,S−30s (1s),672,0.5,0.46230327550962264,0.5376967244903773,0.4621956792592875,0.5378043207407125,1.0,0.5178571428571429,"retournement — prix à S−30 s − moyenne 1s sur (S−60, S−30] (TWAP partiel)",0.4914328835227273,0.0
ETH 15m,mom5_m0:momentum,S (1m) *,672,0.5089285714285714,0.47118707203083227,0.5465685677522173,0.47113027864305,0.5467268642140928,0.6713536366495828,0.5267857142857143,"momentum — rendement des 5 dernières min, bougies 1m closes à S",0.5036310369318182,0.001488095238095238
ETH 15m,mom5_m0:retournement,S (1m) *,672,0.4895833333333333,0.45195395405950156,0.5273311328602738,0.4517872175456725,0.5273794491209941,0.616062054974651,0.47470238095238093,"retournement — rendement des 5 dernières min, bougies 1m closes à S",0.4963689630681818,0.001488095238095238
ETH 15m,mom15_m0:momentum,S (1m) *,672,0.49702380952380953,0.4593446662356186,0.5347367871700317,0.4592201585084302,0.5348274605391888,0.9078797469043397,0.5238095238095238,"momentum — rendement des 15 dernières min, bougies 1m closes à S",0.4704279119318182,0.001488095238095238
ETH 15m,mom15_m0:retournement,S (1m) *,672,0.5044642857142857,0.46674367952396856,0.5421341403675564,0.46666147187225804,0.5422670995563134,0.8470716605780363,0.47767857142857145,"retournement — rendement des 15 dernières min, bougies 1m closes à S",0.5295720880681818,0.001488095238095238
ETH 15m,gap_m0_1m:momentum,S (1m) *,672,0.5416666666666666,0.5038634745102947,0.5789961778106042,0.5039938396138935,0.5793394937194397,0.03378787173412861,0.5238095238095238,"momentum — close 1m − VWAP 1m de la bougie [S−1m, S)",0.5597922585227273,0.0
ETH 15m,gap_m0_1m:retournement,S (1m) *,672,0.4583333333333333,0.4210038221893959,0.4961365254897053,0.4206605062805603,0.49600616038610634,0.03378787173412861,0.47619047619047616,"retournement — close 1m − VWAP 1m de la bougie [S−1m, S)",0.4402077414772727,0.0
ETH 15m,gap_m0_1s:momentum,S (1s) *,672,0.5401785714285714,0.5023746770542814,0.5775257019694424,0.5024965047251425,0.5778606381320003,0.04082261987639106,0.5342261904761905,momentum — spot(S) − TWAP60(S) Binance (écart spot − TWAP),0.5616566051136365,0.0
ETH 15m,gap_m0_1s:retournement,S (1s) *,672,0.45982142857142855,0.4224742980305576,0.4976253229457186,0.4221393618679996,0.4975034952748575,0.04082261987639106,0.46577380952380953,retournement — spot(S) − TWAP60(S) Binance (écart spot − TWAP),0.43834339488636365,0.0
SOL 5m,always_up,—,2016,0.501984126984127,0.48017495588880377,0.5237857507329431,0.48033222971507006,0.5236360242531839,0.8761149204190285,1.0,toujours Up,,
SOL 5m,always_down,—,2016,0.498015873015873,0.47621424926705685,0.5198250441111962,0.4763639757468161,0.5196677702849299,0.8761149204190285,0.0,toujours Down,,
SOL 5m,market_pre,S−30s (marché),2016,0.4975198412698413,0.4757192573303321,0.5193298593924842,0.47617601378939817,0.5188636687502843,0.8411380639924303,0.7445436507936508,"prix du marché à S−30 s > 0,5 → Up (égalité → Up)",0.5087860022361149,
SOL 5m,mom5_m60:momentum,S−60s (1m),2016,0.5,0.478194431217216,0.521805568782784,0.4785669647506472,0.5214330352493528,1.0,0.5158730158730159,"momentum — rendement des 5 dernières min, bougies 1m closes à S−60 s",0.4925830275735005,0.022817460317460316
SOL 5m,mom5_m60:retournement,S−60s (1m),2016,0.49702380952380953,0.4752242868144068,0.5188346532529727,0.4757246765102423,0.5183229425373768,0.8064719594985453,0.5069444444444444,"retournement — rendement des 5 dernières min, bougies 1m closes à S−60 s",0.5074169724264996,0.022817460317460316
SOL 5m,mom15_m60:momentum,S−60s (1m),2016,0.4791666666666667,0.45741962208891446,0.5009929583827424,0.457835858529805,0.5004974748035284,0.06449511960016223,0.5297619047619048,"momentum — rendement des 15 dernières min, bougies 1m closes à S−60 s",0.47829482465395334,0.01240079365079365
SOL 5m,mom15_m60:retournement,S−60s (1m),2016,0.5183531746031746,0.4965273662689603,0.5401091699821993,0.4967015696694457,0.5400047795369036,0.10396036047034198,0.4826388888888889,"retournement — rendement des 15 dernières min, bougies 1m closes à S−60 s",0.5217051753460467,0.01240079365079365
SOL 5m,mom5_m30:momentum,S−30s (1s),2016,0.5188492063492064,0.4970232584023442,0.5406034545042522,0.497463605802319,0.5402348068960937,0.09481921569497744,0.5168650793650794,"momentum — rendement des 5 dernières min, prix 1s à S−30 s",0.5039609349164607,0.02976190476190476
