cellule,instant,décile,n,prix_moyen,freq_up,ic95_bas,ic95_haut
Tous 15m,S+5 min,"0,5–0,6",266,0.5488157894736841,0.5488721804511278,0.48879960293317365,0.6075532203527838
Tous 15m,S+5 min,"0,6–0,7",247,0.646417004048583,0.6437246963562753,0.5822175848757696,0.7008295651982213
Tous 15m,S+5 min,"0,7–0,8",254,0.7465354330708661,0.7559055118110236,0.6995228065938809,0.8046627088543633
Tous 15m,S+5 min,"0,8–0,9",208,0.8451442307692307,0.8557692307692307,0.8015692107020426,0.8970659959806865
Tous 15m,S+5 min,"0,9–1,0",59,0.9288983050847458,0.9152542372881356,0.8164797538583944,0.9632585086938003
Tous 15m,S+10 min,"0,0–0,1",309,0.047056634304207125,0.02912621359223301,0.015397443751561452,0.054419358105992036
Tous 15m,S+10 min,"0,1–0,2",208,0.14461538461538462,0.14903846153846154,0.10702514787880726,0.20378066174498718
Tous 15m,S+10 min,"0,2–0,3",157,0.2494585987261147,0.21019108280254778,0.15376493431902044,0.2804610370714657
Tous 15m,S+10 min,"0,3–0,4",153,0.34941176470588237,0.41830065359477125,0.3430755238885709,0.4975279894650293
Tous 15m,S+10 min,"0,4–0,5",125,0.45004,0.376,0.29597552334190086,0.4634189579436467
Tous 15m,S+10 min,"0,5–0,6",138,0.5415579710144927,0.5579710144927537,0.47465511928617377,0.6381467667613611
Tous 15m,S+10 min,"0,6–0,7",136,0.6505882352941177,0.6764705882352942,0.5939325249668637,0.749312975656699
Tous 15m,S+10 min,"0,7–0,8",173,0.7532080924855492,0.7398843930635838,0.6698046372932954,0.7995419417921686
Tous 15m,S+10 min,"0,8–0,9",222,0.8520495495495495,0.8333333333333334,0.7787279107032387,0.8765986544645604
Tous 15m,S+10 min,"0,9–1,0",395,0.9557088607594937,0.9746835443037974,0.9540311371481659,0.9861917483281736
