slug,duree,ecart_pb,n_achats_apres,n_marge_pos_apres,parts_marge_pos_apres,profit_apres,prix_min_apres,delai_median_s_apres,n_achats_avant,n_marge_pos_avant,parts_marge_pos_avant,profit_avant,prix_min_avant,delai_median_s_avant
btc-updown-15m-1788500700,15m,4.79224,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788500700,5m,-6.18799,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788501000,5m,-6.03553,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788501300,5m,17.0328,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788501600,15m,2.92657,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788501600,5m,-8.71791,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788501900,5m,7.3124,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788502200,5m,4.33906,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788502500,15m,-38.5072,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788502500,5m,-6.23005,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788502800,5m,-13.087,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788503100,5m,-19.2354,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788503400,15m,14.9604,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788503400,5m,-0.905886,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788503700,5m,3.2425,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788504000,5m,12.6211,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788504300,15m,-6.90841,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788504300,5m,-9.2097,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788504600,5m,-0.266556,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788504900,5m,2.57004,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788505200,15m,19.8986,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788505200,5m,10.371,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788505500,5m,5.95231,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788505800,5m,3.56336,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788506100,15m,-11.0523,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788506100,5m,-5.19125,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788506400,5m,-6.45362,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788506700,5m,0.589864,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788507000,15m,-10.8794,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788507000,5m,-0.887515,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788507300,5m,-10.3462,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788507600,5m,0.353725,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788507900,15m,-14.7378,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788507900,5m,-1.85388,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788508200,5m,-4.65738,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788508500,5m,-8.23275,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788508800,15m,10.739,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788508800,5m,-1.82281,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788509100,5m,8.47708,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788509400,5m,4.08354,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788509700,15m,29.3707,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788509700,5m,15.1687,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788510000,5m,3.959,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788510300,5m,10.2174,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788510600,15m,9.82125,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788510600,5m,14.7507,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788510900,5m,0.659522,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788511200,5m,-5.58131,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788511500,15m,11.2052,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788511500,5m,10.5005,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788511800,5m,7.80597,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788512100,5m,-7.09648,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788512400,15m,-5.98455,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788512400,5m,3.72667,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788512700,5m,-7.88539,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788513000,5m,-1.82365,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788513300,15m,-6.23747,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788513300,5m,19.8806,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788513600,5m,-31.4077,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788513900,5m,5.35824,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788514200,15m,14.8753,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788514200,5m,6.49865,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788514500,5m,11.4128,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788514800,5m,-3.03817,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788515100,15m,-14.3786,0,0,0,0,,,0,0,0,0,,
