strategy,n_orders,n_markets,n_crossing,fill_rate,share_traversal,share_queue,delay_median_s,delay_p75_s,n_scored,pnl_per_placed_c,pnl_per_executed_c,rebate_per_executed_c,pnl_total_usd,win_rate_executed,win_rate_not_executed,adverse_selection_pts,fill_rate_ic_lo,fill_rate_ic_hi,pnl_per_placed_ic_lo,pnl_per_placed_ic_hi,pnl_per_executed_ic_lo,pnl_per_executed_ic_hi,adverse_selection_ic_lo,adverse_selection_ic_hi,q_variant,rule,delay_mean_s,pnl_per_market_usd,pnl_per_market_ic_lo,pnl_per_market_ic_hi,config,note
signal,1433,1433,187,0.30425680390788556,1.0,0.0,16.0,23.0,1433.0,0.09490579204466167,0.311926605504586,0.34986,136.0,0.49311926605504586,0.5937813440320963,-10.06620779770504,0.28016582071787605,0.3258594651958881,-1.407879449388076,1.6091343281832402,-4.656160847710909,5.254506269592468,-15.820042149604628,-4.460660592565113,500,1,,,,,,
two_sided,7603,4222,845,0.5017756148888597,1.0,0.0,36.0,49.0,7603.0,-1.2652900170985126,-2.521625163826997,0.34944000000000014,-9620.0,0.45478374836173,0.5496304118268216,-9.484666346509158,0.4924972396416711,0.5106162718980874,-1.9669569855031657,-0.6346217725793002,-3.939426860163005,-1.2563034464887282,-12.284811596037892,-6.830898295819414,500,1,,,,,,
signal,1433,1433,187,0.30425680390788556,1.0,0.0,16.0,23.0,1433.0,0.09490579204466167,0.311926605504586,0.34986,136.0,0.49311926605504586,0.5937813440320963,-10.06620779770504,0.28016582071787605,0.3258594651958881,-1.407879449388076,1.6091343281832402,-4.656160847710909,5.254506269592468,-15.820042149604628,-4.460660592565113,2000,0,,,,,,
two_sided,7603,4222,845,0.5019071419176641,0.9997379454926625,0.0002620545073375262,36.0,49.0,7603.0,-1.2584506116006828,-2.5073375262054487,0.34944000000000014,-9568.0,0.4549266247379455,0.5495114866649062,-9.458486192696075,0.4926299539277418,0.5107487924054864,-1.9639800323470589,-0.6290586085017648,-3.925960417705413,-1.2495469083931543,-12.258771065994681,-6.765856267670768,2000,0,,,,,,
signal,1433,1433,187,0.30425680390788556,1.0,0.0,16.0,23.0,1433.0,0.09490579204466167,0.311926605504586,0.34986,136.0,0.49311926605504586,0.5937813440320963,-10.06620779770504,0.28016582071787605,0.3258594651958881,-1.407879449388076,1.6091343281832402,-4.656160847710909,5.254506269592468,-15.820042149604628,-4.460660592565113,2000,1,,,,,,
two_sided,7603,4222,845,0.5017756148888597,1.0,0.0,36.0,49.0,7603.0,-1.2652900170985126,-2.521625163826997,0.34944000000000014,-9620.0,0.45478374836173,0.5496304118268216,-9.484666346509158,0.4924972396416711,0.5106162718980874,-1.9669569855031657,-0.6346217725793002,-3.939426860163005,-1.2563034464887282,-12.284811596037892,-6.830898295819414,2000,1,,,,,,
signal,1433,1433,187,0.30425680390788556,1.0,0.0,16.0,23.0,1433.0,0.09490579204466167,0.311926605504586,0.34986,136.0,0.49311926605504586,0.5937813440320963,-10.06620779770504,0.28016582071787605,0.3258594651958881,-1.407879449388076,1.6091343281832402,-4.656160847710909,5.254506269592468,-15.820042149604628,-4.460660592565113,5000,0,,,,,,
two_sided,7603,4222,845,0.5017756148888597,1.0,0.0,36.0,49.0,7603.0,-1.2652900170985126,-2.521625163826997,0.34944000000000014,-9620.0,0.45478374836173,0.5496304118268216,-9.484666346509158,0.4924972396416711,0.5106162718980874,-1.9669569855031657,-0.6346217725793002,-3.939426860163005,-1.2563034464887282,-12.284811596037892,-6.830898295819414,5000,0,,,,,,
signal,1433,1433,187,0.30425680390788556,1.0,0.0,16.0,23.0,1433.0,0.09490579204466167,0.311926605504586,0.34986,136.0,0.49311926605504586,0.5937813440320963,-10.06620779770504,0.28016582071787605,0.3258594651958881,-1.407879449388076,1.6091343281832402,-4.656160847710909,5.254506269592468,-15.820042149604628,-4.460660592565113,5000,1,,,,,,
two_sided,7603,4222,845,0.5017756148888597,1.0,0.0,36.0,49.0,7603.0,-1.2652900170985126,-2.521625163826997,0.34944000000000014,-9620.0,0.45478374836173,0.5496304118268216,-9.484666346509158,0.4924972396416711,0.5106162718980874,-1.9669569855031657,-0.6346217725793002,-3.939426860163005,-1.2563034464887282,-12.284811596037892,-6.830898295819414,5000,1,,,,,,
fair_value,75574,4213,102139,0.29557784423214334,0.967767929089444,,,,,-0.7786804985841692,-2.634434595756111,0.2724673005640613,-58848.0,0.37402632285791027,0.3830866331054174,-0.9060310247507142,0.2885285183749766,0.30200071151032337,-0.9810971704581045,-0.587403572225042,-3.3170172654464722,-1.9895152002683147,,,measured,0,8.306204673650281,-13.968193686209352,-17.634838979920314,-10.56744446966602,,
fair_value,75574,4213,102139,0.3021541800089978,0.9116706809721918,,,,,-0.7531029189933046,-2.4924458068754105,0.27144339741624707,-56915.0,0.37346179111013794,0.3834164470316085,-0.9954655921470545,0.29488768591969544,0.30869632013420395,-0.9559018992285132,-0.5576898662768753,-3.1700016820796546,-1.84394497058755,,,0,0,8.267878257061529,-13.509375741751722,-17.264067951188665,-10.03606537060896,,
fair_value,75574,4213,102139,0.29257416571836875,0.9970150603771878,,,,,-0.8001296742265859,-2.7347926371489306,0.27316323730270003,-60469.0,0.3745194699470852,0.3828442100144025,-0.8324740067317316,0.28552599891685243,0.29880796285357264,-1.000818485469964,-0.6127361395417252,-3.426443023520891,-2.0847027768091837,,,500,0,8.331373524490072,-14.352955138855922,-17.91796207476032,-10.98588139213973,,
fair_value,75574,4213,102139,0.29221689999206074,0.9999094366962507,,,,,-0.8018101463466272,-2.743886976996921,0.2732838670530701,-60596.0,0.3745698243071907,0.38281921854552253,-0.824939423833182,0.28507247104048145,0.2984119439444274,-1.003016029366453,-0.6133986245202787,-3.427923776729697,-2.093159943213729,,,2000,0,8.331371128418764,-14.383099928791834,-17.931267154922143,-11.00681862221176,,
fair_value,75574,4213,102139,0.29221689999206074,0.9999547183481253,,,,,-0.8018101463466272,-2.743886976996921,0.2732838670530701,-60596.0,0.3745698243071907,0.38281921854552253,-0.824939423833182,0.28507247104048145,0.2984119439444274,-1.003016029366453,-0.6133986245202787,-3.427923776729697,-2.093159943213729,,,5000,0,8.331506973374388,-14.383099928791834,-17.931267154922143,-11.00681862221176,,
fair_value,75574,4213,102139,0.2922036679281234,1.0,,,,,-0.8013470241088205,-2.7424263007743512,0.2732818194991623,-60561.0,0.374586786215641,0.3828120618421791,-0.8225275626538076,0.2850458513076319,0.2983990580277431,-1.0024493577334086,-0.612936942475801,-3.4278878845532086,-2.091678937530869,,,measured,1,8.331386134130327,-14.374792309518158,-17.92316530307029,-10.998602195586749,,
fair_value,83220,4219,95061,0.2741047825042057,0.968304765244838,,,,,-0.703436673876472,-2.5663057296918153,0.2758478839156548,-58540.0,0.39292446626627503,0.40790279594100215,-1.497832967472712,0.26805517195774997,0.2795686037311517,-0.8721313465429053,-0.5207607314690935,-3.1802120296274543,-1.8986668441779204,,,measured,0,8.568585331638245,-13.875325906612941,-17.226597218256398,-10.35168406072107,ewma1s|m2c,marge 2 c
