half,model,label,n_orders,n_markets,n_crossing,fill_rate,share_traversal,share_queue,delay_median_s,delay_p75_s,n_scored,pnl_per_placed_c,pnl_per_executed_c,rebate_per_executed_c,pnl_total_usd,win_rate_executed,win_rate_not_executed,adverse_selection_pts,fill_rate_ic_lo,fill_rate_ic_hi,pnl_per_placed_ic_lo,pnl_per_placed_ic_hi,pnl_per_executed_ic_lo,pnl_per_executed_ic_hi,pnl_per_placed_ic_lo_adj,pnl_per_placed_ic_hi_adj,adverse_selection_ic_lo,adverse_selection_ic_hi,strategy,config,duration
2e moitié,hgb_m5,0.50/S+0,1088,1088,532,0.3704044117647059,0.7741935483870968,0.22580645161290322,14.0,23.0,1088,-0.3216911764705882,-0.8684863523573202,0.34984141718388884,-350.0,0.4913151364764268,0.5970802919708029,-10.576515549437616,0.33840803964939775,0.3994378454792947,-2.172258709308966,1.5727880572541126,-5.8748656120411615,4.342566619915847,-3.3345095611378124,2.8502711550719644,-16.6725242021225,-4.0997404259461225,signal,,
2e moitié,gap_m30,0.47/S+0,3884,3884,340,0.28398558187435635,0.9882139619220308,0.011786038077969175,19.0,26.0,3884,-0.8601956745623061,-3.029011786038074,0.34874000000000005,-3341.0,0.4397098821396192,0.5667026249550522,-12.6992742815433,0.26903220754454654,0.29844203261228114,-1.6849528186254101,-0.022811830344949505,-5.8982697519282885,-0.0817700387434999,-2.3829477035161344,0.550899119920241,-16.17317884966518,-9.256808181205372,signal,,
2e moitié,gap_m30,0.48/S+0,3598,3598,626,0.31545302946081155,0.973568281938326,0.02643171806167401,19.0,25.0,3598,-0.8560311284046687,-2.7136563876651967,0.3494147565817934,-3080.0,0.452863436123348,0.5680064961429151,-11.514306001956708,0.29955440850424875,0.33103662012389684,-1.775151861144785,0.09203476861422775,-5.584224355620265,0.2980183652107688,-2.4377065301282266,0.8759773973167772,-15.146305391536536,-7.796564890191233,signal,,
2e moitié,gap_m30,0.49/S+0,3042,3042,1182,0.3533859303090072,0.8874418604651163,0.11255813953488372,17.0,24.0,3042,-0.9122287968441811,-2.5813953488372094,0.34986,-2775.0,0.4641860465116279,0.5856634468734113,-12.14774003617834,0.33552546489356455,0.3713247736407602,-1.9204232562159522,0.18464684516550525,-5.464101256250936,0.5274768324402686,-2.617187889165629,0.8332638436122038,-15.91555403943462,-8.15508358416865,signal,,
2e moitié,gap_m30,0.50/S+0,2019,2019,2205,0.3684992570579495,0.8440860215053764,0.15591397849462366,16.0,24.0,2019,-0.8915304606240713,-2.4193548387096775,0.34995267247350015,-1800.0,0.47580645161290325,0.5890196078431372,-11.321315623023398,0.3456859125297134,0.391877451896133,-2.2066854448566624,0.4963149697329756,-6.032199469756407,1.3123767983358925,-3.016883847303733,1.2522542906727896,-16.002844573542724,-6.523763316435491,signal,,
2e moitié,hgb_m0,0.47/S+30,3986,3986,238,0.5915704967385851,0.9826123833757422,0.017387616624257845,31.0,39.0,3986,-1.5368790767686884,-2.5979643765903275,0.34871299457042276,-6126.0,0.4440203562340967,0.652948402948403,-20.892804671430625,0.5734698447943528,0.6089693013847243,-2.8134983797823474,-0.2401045330560256,-4.747797655740521,-0.41019929154065204,-3.6670735740449625,0.6797275179569195,-24.255437783395603,-17.708936938488097,signal,,
2e moitié,hgb_m0,0.48/S+30,3787,3787,437,0.6242408238711381,0.9699661590524534,0.03003384094754653,29.0,38.0,3787,-1.65619223659889,-2.6531302876480525,0.3494130090437002,-6272.0,0.45346869712351945,0.6598735066760365,-20.640480955251704,0.6062830502875929,0.6420720342841154,-2.990611203619047,-0.23941803688892305,-4.77651806373363,-0.39080804353841925,-3.80321208678622,0.6185729922480888,-23.97704565175792,-17.22207676322249,signal,,
2e moitié,hgb_m0,0.49/S+30,3356,3356,868,0.6576281287246722,0.8903488898957861,0.10965111010421387,26.0,36.0,3356,-1.3834922526817637,-2.103760761214317,0.3498310542313807,-4643.0,0.4689623923878568,0.6657963446475196,-19.683395225966276,0.6387030465334093,0.6761157397386338,-2.786676607688063,0.10021739130434665,-4.252387448840382,0.15360476468430712,-3.86761847313835,1.1193542531658134,-23.327657597131623,-16.119827010256675,signal,,
2e moitié,hgb_m0,0.50/S+30,2324,2324,1900,0.6820137693631669,0.7936908517350157,0.20630914826498423,24.0,36.0,2324,-1.0111876075731498,-1.4826498422712935,0.3499596789432854,-2350.0,0.48517350157728706,0.6603518267929634,-17.517832521567637,0.6599196212373644,0.7043493292247567,-2.80285299075203,0.8242013307074884,-4.082102961973092,1.219665496466403,-3.8185602752940633,1.8046102013239402,-21.851023676474334,-13.153969245586602,signal,,
2e moitié,hgb_m2,0.47/S+30,2984,2984,113,0.561662198391421,0.9826968973747017,0.017303102625298328,33.0,39.0,2984,-1.532171581769435,-2.72792362768496,0.34870200548750413,-4572.0,0.44272076372315033,0.6536697247706422,-21.09489610474919,0.5413518123292183,0.5814540842621501,-2.8836982625977265,-0.054332251598620936,-5.129934935920767,-0.0968129885748647,-4.014806753563181,1.1077011331323312,-24.73707071393037,-17.411056090696658,signal,,
2e moitié,hgb_m2,0.48/S+30,2884,2884,213,0.59500693481276,0.972027972027972,0.027972027972027972,31.0,39.0,2884,-1.5839112343966701,-2.66200466200466,0.349402816654608,-4568.0,0.4533799533799534,0.660958904109589,-20.75789507296356,0.5749467214708055,0.6143452705091093,-3.047769004782946,-0.07884300229433039,-5.118750922949349,-0.12817014886214387,-4.202525271716272,0.973293873243839,-24.311324483056556,-17.06855097809932,signal,,
2e moitié,hgb_m2,0.49/S+30,2616,2616,481,0.6326452599388379,0.8900302114803625,0.10996978851963746,29.0,38.0,2616,-1.2213302752293573,-1.9305135951661636,0.34982139981187743,-3195.0,0.4706948640483384,0.6618106139438086,-19.11157498954702,0.6119177756353854,0.6529598719635307,-2.7914509070709532,0.40705588986257457,-4.391779767832149,0.6584813935901479,-4.2421833368177335,1.7070516905985387,-22.978050215609827,-15.042884702575947,signal,,
