slug,duration,half,strategy,label,side,price,t_place,t_cancel,q_ahead,crossing,placed,executed,t_fill,delay_fill_s,fill_reason,y,would_win,pnl_per_share,pnl_per_placed_share,pnl_order,rebate_per_share,model
btc-updown-5m-1789108800,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789108740.0,1789108800.0,100.0,False,True,False,,,,0.0,0.0,,0.0,0.0,,
btc-updown-5m-1789108800,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789108740.0,1789108800.0,91.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,
btc-updown-5m-1789109100,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789109040.0,1789109100.0,100.0,False,True,False,,,,1.0,1.0,,0.0,0.0,,
btc-updown-5m-1789109100,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789109040.0,1789109100.0,91.0,False,True,True,1789109088.0,48.0,traversal,1.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789109400,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789109340.0,1789109400.0,100.0,False,True,False,,,,1.0,1.0,,0.0,0.0,,
btc-updown-5m-1789109400,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789109340.0,1789109400.0,91.0,False,True,True,1789109374.0,34.0,traversal,1.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789109700,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789109640.0,1789109700.0,100.0,False,True,True,1789109679.0,39.0,traversal,1.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789109700,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789109640.0,1789109700.0,91.0,False,True,False,,,,1.0,0.0,,0.0,0.0,,
btc-updown-5m-1789110000,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789109940.0,1789110000.0,100.0,False,True,True,1789109976.0,36.0,traversal,1.0,1.0,0.52,0.52,52.0,0.0034944000000000004,
btc-updown-5m-1789110000,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789109940.0,1789110000.0,91.0,False,True,False,,,,1.0,0.0,,0.0,0.0,,
btc-updown-5m-1789110300,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789110240.0,1789110300.0,100.0,False,True,False,,,,1.0,1.0,,0.0,0.0,,
btc-updown-5m-1789110300,5m,1re moitié,two_sided,0.48/S+0,down,0.48,1789110240.0,1789110300.0,91.0,False,True,True,1789110264.0,24.0,traversal,1.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
btc-updown-5m-1789110600,5m,1re moitié,two_sided,0.48/S+0,up,0.48,1789110540.0,1789110600.0,100.0,False,True,True,1789110568.0,28.0,traversal,0.0,0.0,-0.48,-0.48,-48.0,0.0034944000000000004,
